OaSIS profile code,Workplace/employer name,Profile name
00010.00,Band councils,Legislators
00010.00,Executive councils,Legislators
00010.00,Federal government,Legislators
00010.00,Local governments,Legislators
00010.00,Provincial government,Legislators
00010.00,School boards,Legislators
00010.00,Territorial governments,Legislators
00011.00,Agencies,Senior government managers and officials
00011.00,Boards,Senior government managers and officials
00011.00,Commissions,Senior government managers and officials
00011.00,Federal government departments,Senior government managers and officials
00011.00,Municipal governments,Senior government managers and officials
00011.00,Provincial government,Senior government managers and officials
00011.00,Regional governments,Senior government managers and officials
00011.00,Territorial governments,Senior government managers and officials
00012.00,Business service industries,"Senior managers - financial, communications and other business services"
00012.00,"Establishments throughout the telecommunications, finance, insurance, real estate, data processing, hosting and related services industries","Senior managers - financial, communications and other business services"
00012.00,Self-employed,"Senior managers - financial, communications and other business services"
00013.00,Membership organizations,"Senior managers - health, education, social and community services and membership organizations"
00013.00,"Organizations that deliver health, education, social or community services","Senior managers - health, education, social and community services and membership organizations"
00013.00,Self-employed,"Senior managers - health, education, social and community services and membership organizations"
00014.00,Accommodation and food services,"Senior managers - trade, broadcasting and other services"
00014.00,Establishments in broadcasting and related media services,"Senior managers - trade, broadcasting and other services"
00014.00,Other services companies,"Senior managers - trade, broadcasting and other services"
00014.00,Retail trade,"Senior managers - trade, broadcasting and other services"
00014.00,Self-employed,"Senior managers - trade, broadcasting and other services"
00014.00,Wholesale trade,"Senior managers - trade, broadcasting and other services"
00015.00,Construction,"Senior managers - construction, transportation, production and utilities"
00015.00,"Forestry, logging, fishing and agriculture","Senior managers - construction, transportation, production and utilities"
00015.00,Manufacturing companies,"Senior managers - construction, transportation, production and utilities"
00015.00,"Mining, oil and gas extraction","Senior managers - construction, transportation, production and utilities"
00015.00,Printing,"Senior managers - construction, transportation, production and utilities"
00015.00,Public utility services,"Senior managers - construction, transportation, production and utilities"
00015.00,Self-employed,"Senior managers - construction, transportation, production and utilities"
00015.00,Transportation and warehousing,"Senior managers - construction, transportation, production and utilities"
10010.00,Financial and accounting departments in companies throughout the private sector,Financial managers
10010.00,Financial and accounting units throughout the public sector,Financial managers
10011.00,Establishements throughout the private and public sector,Human resources managers
10012.00,Establishements throughout the private and public sector,Purchasing managers
10019.00,Establishements throughout the private and public sector,Other administrative services managers
10020.01,Insurance companies,Insurance managers
10020.02,Real estate firms,Real estate service managers
10020.03,Mortgage brokers,Mortgage broker managers
10020.04,Investment dealers,Securities manager
10020.04,Security and commodity exchanges,Securities manager
10020.04,Stockbrokers,Securities manager
10021.01,Banks,Banking and other investment managers
10021.01,Consumer loan companies,Banking and other investment managers
10021.01,Credit card companies,Banking and other investment managers
10021.01,Credit unions,Banking and other investment managers
10021.01,Mortgage investment companies,Banking and other investment managers
10021.01,Mutual fund investment firms,Banking and other investment managers
10021.01,Other financial establishments concerned with extending loans and financing and investments,Banking and other investment managers
10021.01,Trust companies,Banking and other investment managers
10021.02,Car dealerships,Credit managers
10021.02,Commercial or industrial organizations,Credit managers
10021.02,Department stores,Credit managers
10021.02,Insurance companies,Credit managers
10021.02,Utilities companies,Credit managers
10022.01,"Advertising, marketing and public relations firms",Advertising managers
10022.01,Commercial and industrial establishments,Advertising managers
10022.01,Consulting businesses,Advertising managers
10022.01,Government departments,Advertising managers
10022.02,"Advertising, marketing and public relations firms",Marketing managers
10022.02,Commercial and industrial establishments,Marketing managers
10022.02,Consulting businesses,Marketing managers
10022.02,Government departments,Marketing managers
10022.03,"Advertising, marketing and public relations firms",Public relation managers
10022.03,Commercial and industrial establishments,Public relation managers
10022.03,Consulting firms,Public relation managers
10022.03,Government departments,Public relation managers
10022.04,"Advertising, marketing and public relations firms",E-business managers
10022.04,Commercial and industrial establishments,E-business managers
10022.04,Consulting businesses,E-business managers
10022.04,Government departments,E-business managers
10029.00,Contact centre services,Other business services managers
10029.00,Management consulting firms,Other business services managers
10029.00,Market research,Other business services managers
10029.00,Payroll services,Other business services managers
10029.00,Security services,Other business services managers
10030.00,"Wired, wireless, satellite and other telecommunication carriers",Telecommunication carriers managers
11100.01,Private sector accounting and auditing firms/departments,Financial auditors
11100.01,Public sector accounting and auditing departments/units,Financial auditors
11100.01,Self-employed,Financial auditors
11100.02,Private sector accounting and auditing firms/departments,Accountants
11100.02,Public sector accounting and auditing departments/units,Accountants
11100.02,Self-employed,Accountants
11101.01,Banks,Financial analysts
11101.01,Brokerage houses,Financial analysts
11101.01,Establishements throughout the private and public sector,Financial analysts
11101.01,Insurance companies,Financial analysts
11101.01,Investment companies,Financial analysts
11101.01,Manufacturing firms,Financial analysts
11101.01,Trust companies,Financial analysts
11101.01,Underwriting firms,Financial analysts
11101.01,Utility companies,Financial analysts
11101.02,Brokerage houses,Investment analysts
11101.02,Fund management companies,Investment analysts
11102.00,Banks,Financial advisors
11102.00,Governments,Financial advisors
11102.00,Investment firms,Financial advisors
11102.00,Self-employed,Financial advisors
11102.00,Trust companies,Financial advisors
11103.01,Financial securities industry,Securities agents and investment dealers
11103.01,Investment companies,Securities agents and investment dealers
11103.01,Stock and commodity exchanges,Securities agents and investment dealers
11103.01,Stock brokerage firms,Securities agents and investment dealers
11103.02,Financial securities industry,Brokers
11103.02,Investment companies,Brokers
11103.02,Stock and commodity exchanges,Brokers
11103.02,Stock brokerage firms,Brokers
11109.01,Banks,Financial examiners and inspectors
11109.01,Governments,Financial examiners and inspectors
11109.01,Investment firms,Financial examiners and inspectors
11109.01,Self-employed,Financial examiners and inspectors
11109.01,Trust companies,Financial examiners and inspectors
11109.02,Banks,Financial investigators
11109.02,Governments,Financial investigators
11109.02,Investment firms,Financial investigators
11109.02,Self-employed,Financial investigators
11109.02,Trust companies,Financial investigators
11109.03,Banks,Financial Underwriters
11109.03,Governments,Financial Underwriters
11109.03,Investment firms,Financial Underwriters
11109.03,Self-employed,Financial Underwriters
11109.03,Trust companies,Financial Underwriters
11109.04,Banks,Trust officers
11109.04,Governments,Trust officers
11109.04,Investment firms,Trust officers
11109.04,Self-employment,Trust officers
11109.04,Trust companies,Trust officers
11109.05,Banks,Mortgage brokers
11109.05,Governments,Mortgage brokers
11109.05,Investment firms,Mortgage brokers
11109.05,Self-employed,Mortgage brokers
11109.05,Trust companies,Mortgage brokers
11200.00,Establishements throughout the private and public sector,Human resources professionals
11200.00,Self-employed,Human resources professionals
11201.00,Establishements throughout the private and public sector,Professional occupations in business management consulting
11201.00,Management consulting firms,Professional occupations in business management consulting
11201.00,Self-employed,Professional occupations in business management consulting
11202.00,Advertising agencies,"Professional occupations in marketing, advertising and public relations"
11202.00,Associations,"Professional occupations in marketing, advertising and public relations"
11202.00,Consulting firms,"Professional occupations in marketing, advertising and public relations"
11202.00,Corporations,"Professional occupations in marketing, advertising and public relations"
11202.00,Cultural organizations,"Professional occupations in marketing, advertising and public relations"
11202.00,Galleries,"Professional occupations in marketing, advertising and public relations"
11202.00,Governments,"Professional occupations in marketing, advertising and public relations"
11202.00,Museums,"Professional occupations in marketing, advertising and public relations"
11202.00,Public interest groups,"Professional occupations in marketing, advertising and public relations"
11202.00,Self-employed,"Professional occupations in marketing, advertising and public relations"
11202.00,Social agencies,"Professional occupations in marketing, advertising and public relations"
12010.00,Establishements throughout the private and public sector,"Supervisors, general office and administrative support workers"
12011.00,Banks,"Supervisors, finance and insurance office workers"
12011.00,Establishements throughout the private and public sector,"Supervisors, finance and insurance office workers"
12011.00,Insurance companies,"Supervisors, finance and insurance office workers"
12011.00,Other financial institutions,"Supervisors, finance and insurance office workers"
12012.00,Establishements throughout the private and public sector,"Supervisors, library, correspondence and related information workers"
12013.00,Establishements throughout the private and public sector,"Supervisors, supply chain, tracking and scheduling coordination occupations"
12100.00,Associations,Executive assistants
12100.00,Corporations,Executive assistants
12100.00,Governments,Executive assistants
12101.00,Establishements throughout the private and public sector,Human resources and recruitment officers
12102.00,Establishements throughout the private and public sector,Procurement and purchasing agents and officers
12103.00,Conference and event planning companies,Conference and event planners
12103.00,Conference centres,Conference and event planners
12103.00,Convention centres,Conference and event planners
12103.00,Governments,Conference and event planners
12103.00,Professional associations,Conference and event planners
12103.00,Self-employed,Conference and event planners
12103.00,Tourism associations,Conference and event planners
12103.00,Trade associations,Conference and event planners
12104.01,Government agencies,Excise tax revenue officers
12104.02,Government agencies,Government benefits services officers
12110.01,Courts of law,Court reporters
12110.01,Federal legislative assemblies and committees,Court reporters
12110.01,Provincial legislative assemblies and committees,Court reporters
12110.01,Self-employed,Court reporters
12110.02,Doctors' offices,Medical transcriptionists
12110.02,Hospitals,Medical transcriptionists
12110.02,Medical clinics,Medical transcriptionists
12110.02,Self-employed,Medical transcriptionists
12111.00,Clinics,Health information management occupations
12111.00,Health record consulting firms,Health information management occupations
12111.00,Hospitals,Health information management occupations
12111.00,Other health care establishments,Health information management occupations
12111.00,Workplace health and safety boards,Health information management occupations
12112.00,Establishements throughout the private and public sector,Records management technicians
12113.00,Establishements throughout the private and public sector,Statistical officers and related research support occupations
12200.00,Establishements throughout the private and public sector,Accounting technicians and bookkeepers
12200.00,Self-employed,Accounting technicians and bookkeepers
12201.01,Claims departments of insurance companies,Insurance adjusters
12201.01,Independent adjusting companies,Insurance adjusters
12201.02,Branches of insurance companies,Insurance claims examiners
12201.02,Head offices of insurance companies,Insurance claims examiners
12202.00,Branches of insurance companies,Insurance underwriters
12202.00,Head offices of insurance companies,Insurance underwriters
12203.01,Government agencies,Assessors
12203.01,Other private companies,Assessors
12203.01,Real estate firms,Assessors
12203.01,Self-employed,Assessors
12203.02,Government agencies,Business valuators
12203.02,Other private companies,Business valuators
12203.02,Real estate firms,Business valuators
12203.02,Self-employed,Business valuators
12203.03,Government agencies,Appraisers
12203.03,Other private companies,Appraisers
12203.03,Real estate firms,Appraisers
12203.03,Self-employed,Appraisers
13100.00,Establishements throughout the private and public sector,Administrative officers
13101.00,Governments,Property administrators
13101.00,Property development companies,Property administrators
13101.00,Property services management companies,Property administrators
13101.00,Real estate services management companies,Property administrators
13101.00,Strata services management companies,Property administrators
13102.00,Establishements throughout the private and public sector,Payroll administrators
13102.00,Payroll administrative companies,Payroll administrators
13110.00,Establishements throughout the private and public sector,Administrative assistants
13111.00,All levels of government,Legal administrative assistants
13111.00,Federal courts,Legal administrative assistants
13111.00,Land title offices,Legal administrative assistants
13111.00,Law office,Legal administrative assistants
13111.00,Legal departments of large firms,Legal administrative assistants
13111.00,Municipal courts,Legal administrative assistants
13111.00,Provincial or territorial courts,Legal administrative assistants
13111.00,Real estate firms,Legal administrative assistants
13112.00,Doctors' offices,Medical administrative assistants
13112.00,Hospitals,Medical administrative assistants
13112.00,Medical clinics,Medical administrative assistants
13112.00,Other medical settings,Medical administrative assistants
13200.01,Brokerage establishments,Custom brokers
13200.01,Customs brokerages,Custom brokers
13200.01,Self-employed,Custom brokers
13200.02,Self-employed,Ship brokers
13200.02,Ship or other brokerage establishments,Ship brokers
13201.01,Manufacturing and construction companies,Production logistics coordinators
13201.01,Other industrial establishments,Production logistics coordinators
13201.02,Manufacturing and construction companies,Transportation logistics coordinators
13201.02,Other industrial establishments,Transportation logistics coordinators
14100.01,Establishements throughout the private and public sector,General office support workers
14100.02,Establishements throughout the private and public sector,File clerks
14101.01,Hospitals,Receptionists
14101.01,Medical and dental offices,Receptionists
14101.01,Offices throughout the private and public sectors,Receptionists
14101.02,Hospitals,Hospital admitting clerks
14101.03,Hospitals,Switchboard and answering service operators
14101.03,Medical and dental offices,Switchboard and answering service operators
14101.03,Offices throughout the private and public sectors,Switchboard and answering service operators
14101.04,Telephone companies,Telephone operators
14102.00,Personnel departments throughout the private and public sectors,Personnel clerks
14103.00,Federal courts,Court clerks and related court services occupations
14103.00,Municipal courts,Court clerks and related court services occupations
14103.00,Provincial or territorial courts,Court clerks and related court services occupations
14110.01,Contact centres,Survey interviewers
14110.01,Government departments and agencies,Survey interviewers
14110.01,Market research and polling firms,Survey interviewers
14110.01,Other establishments,Survey interviewers
14110.01,Utility companies,Survey interviewers
14110.02,Contact centres,Statistical clerks
14110.02,Government departments and agencies,Statistical clerks
14110.02,Market research and polling firms,Statistical clerks
14110.02,Other establishments,Statistical clerks
14110.02,Utility companies,Statistical clerks
14111.00,Establishements throughout the private and public sector,Data entry clerks
14112.01,Commercial printing companies,Desktop publishing operators
14112.01,Firms that specialize in typesetting,Desktop publishing operators
14112.01,In-house printing departments of private and public sector establishments,Desktop publishing operators
14112.01,Publishing and printing companies,Desktop publishing operators
14112.02,Commercial printing companies,Typesetting input and output operators
14112.02,Firms that specialize in typesetting,Typesetting input and output operators
14112.02,In-house printing departments of private and public sector establishments,Typesetting input and output operators
14112.02,Publishing and printing companies,Typesetting input and output operators
14200.00,Establishements throughout the private and public sector,Accounting and related clerks
14201.01,Banks,Bank clerks
14201.01,Credit companies,Bank clerks
14201.02,Financial establishments throughout the private and public sectors,Insurance clerks
14201.02,Private and public insurance establishments,Insurance clerks
14201.03,Credit companies,Other financial clerks
14201.03,Financial establishments throughout the private and public sectors,Other financial clerks
14201.03,Investment firms,Other financial clerks
14202.00,Banks,Collection clerks
14202.00,Collection agencies,Collection clerks
14202.00,Credit unions,Collection clerks
14202.00,Department stores,Collection clerks
14202.00,Financial and licensing departments within governments,Collection clerks
14202.00,Loan companies,Collection clerks
14202.00,Utility companies,Collection clerks
14300.00,Establishments with library services throughout the public and private sectors,Library assistants and clerks
14300.00,Libraries,Library assistants and clerks
14301.01,Establishements throughout the private and public sector,Classified advertising clerks
14301.01,Newspapers,Classified advertising clerks
14301.01,Periodicals,Classified advertising clerks
14301.01,Publishing firms,Classified advertising clerks
14301.02,Establishements throughout the private and public sector,Correspondence clerks
14301.02,Newspapers,Correspondence clerks
14301.02,Periodicals,Correspondence clerks
14301.02,Publishing firms,Correspondence clerks
14301.03,Establishements throughout the private and public sector,Proofreaders and editorial assistants
14301.03,Newspapers,Proofreaders and editorial assistants
14301.03,Periodicals,Proofreaders and editorial assistants
14301.03,Publishing firms,Proofreaders and editorial assistants
14301.04,Establishements throughout the private and public sector,Readers and press clippers
14301.04,Newspapers,Readers and press clippers
14301.04,Periodicals,Readers and press clippers
14301.04,Publishing firms,Readers and press clippers
14301.05,Establishements throughout the private and public sector,Regulatory clerks
14301.05,Newspapers,Regulatory clerks
14301.05,Periodicals,Regulatory clerks
14301.05,Publishing firms,Regulatory clerks
14400.00,Commercial and industrial establishments,Shippers and receivers
14400.00,Manufacturing firms,Shippers and receivers
14400.00,Public sector,Shippers and receivers
14400.00,Retail sales establishments,Shippers and receivers
14400.00,Wholesale companies,Shippers and receivers
14401.00,Construction companies,Storekeepers and partspersons
14401.00,Establishements throughout the private and public sector,Storekeepers and partspersons
14401.00,Forestry companies,Storekeepers and partspersons
14401.00,Hospitals,Storekeepers and partspersons
14401.00,Manufacturing companies,Storekeepers and partspersons
14401.00,Mining companies,Storekeepers and partspersons
14401.00,Repair shops,Storekeepers and partspersons
14401.00,Retail establishments,Storekeepers and partspersons
14401.00,Warehouses,Storekeepers and partspersons
14401.00,Wholesale establishments,Storekeepers and partspersons
14402.00,Construction companies,Production logistics workers
14402.00,Industrial establishments,Production logistics workers
14402.00,Manufacturing companies,Production logistics workers
14402.00,Printing companies,Production logistics workers
14402.00,Publishing companies,Production logistics workers
14403.01,Government agencies,Purchasing control workers
14403.01,Manufacturing companies,Purchasing control workers
14403.01,Retail sales establishments,Purchasing control workers
14403.01,Wholesale companies,Purchasing control workers
14403.02,Government agencies,Inventory control workers
14403.02,Manufacturing companies,Inventory control workers
14403.02,Retail establishments,Inventory control workers
14403.02,Wholesale companies,Inventory control workers
14404.00,Commercial and industrial establishments,Dispatchers
14404.00,Emergency service agencies,Dispatchers
14404.00,"Police, fire and health departments",Dispatchers
14404.00,"Taxi, delivery and courier services",Dispatchers
14404.00,Trucking companies,Dispatchers
14404.00,Utility companies,Dispatchers
14405.00,Airlines,Transportation route and crew schedulers
14405.00,Municipal transit systems,Transportation route and crew schedulers
14405.00,Railways,Transportation route and crew schedulers
14405.00,Transportation establishments in both the private and public sectors,Transportation route and crew schedulers
14405.00,"Truck, delivery and courier services",Transportation route and crew schedulers
20010.00,Consulting engineering companies,Engineering managers
20010.00,Private sector and government establishments,Engineering managers
20010.00,Scientific research companies,Engineering managers
20011.01,Architectural firms,Architecture and urban planning managers
20011.01,Private sector and government establishments,Architecture and urban planning managers
20011.01,Scientific research companies,Architecture and urban planning managers
20011.02,Architectural firms,Science Managers
20011.02,Private sector and government establishments,Science Managers
20011.02,Scientific research companies,Science Managers
20012.00,Establishements throughout the private and public sector,Computer and information systems managers
21100.01,"Electronic, electrical and aerospace manufacturing companies",Physicists
21100.01,Hospitals,Physicists
21100.01,Power utilities,Physicists
21100.01,"Processing, manufacturing, and research and consulting firms",Physicists
21100.01,Telecommunications companies,Physicists
21100.01,University and government research laboratories,Physicists
21100.02,Governments,Astronomers
21100.02,Universities,Astronomers
21101.00,Chemical industries,Chemists
21101.00,Development laboratories,Chemists
21101.00,Educational establishments,Chemists
21101.00,Government establishments,Chemists
21101.00,Health care establishments,Chemists
21101.00,Manufacturing companies,Chemists
21101.00,Metal industries,Chemists
21101.00,Mineral industries,Chemists
21101.00,Petrochemical companies,Chemists
21101.00,Pulp and paper companies,Chemists
21101.00,Quality control laboratories,Chemists
21101.00,Research laboratories,Chemists
21101.00,Utility companies,Chemists
21102.01,"Consulting engineering, geology and geophysics firms",Geoscientists
21102.01,Education institutions,Geoscientists
21102.01,Governments,Geoscientists
21102.01,Mining and petroleum companies,Geoscientists
21102.01,Self-employed,Geoscientists
21102.02,Education institutions,Oceanographers
21102.02,Governments,Oceanographers
21102.02,Seafarming areas exploration companies,Oceanographers
21102.02,Seafloor deposits exploration companies,Oceanographers
21102.02,Self-employed,Oceanographers
21103.00,All levels of government,Meteorologists and climatologists
21103.00,Media and private consulting companies,Meteorologists and climatologists
21103.00,Natural resources and utility companies,Meteorologists and climatologists
21103.00,Self-employed,Meteorologists and climatologists
21109.01,Education institutions,Metallurgists
21109.01,Government institutions,Metallurgists
21109.01,Industrial establishments,Metallurgists
21109.02,Education institutions,Materials scientists
21109.02,Governments,Materials scientists
21109.02,Industrial establishments,Materials scientists
21109.03,Education institutions,Soil scientists
21109.03,Governments,Soil scientists
21109.03,Industrial establishments,Soil scientists
21109.04,Education institutions,Astronauts
21109.04,Governments,Astronauts
21110.01,Chemical companies,Biologists
21110.01,Environmental consulting firms,Biologists
21110.01,Governments,Biologists
21110.01,Health and educational institutions,Biologists
21110.01,Pharmaceutical and biotechnical companies,Biologists
21110.01,Resource and utility companies,Biologists
21110.02,Chemical companies,Microbiologists and cell and molecular biologists
21110.02,Environmental consulting firms,Microbiologists and cell and molecular biologists
21110.02,Governments,Microbiologists and cell and molecular biologists
21110.02,Health and educational institutions,Microbiologists and cell and molecular biologists
21110.02,Pharmaceutical and biotechnical companies,Microbiologists and cell and molecular biologists
21110.02,Resource and utilities companies,Microbiologists and cell and molecular biologists
21111.00,Consulting businesses,Forestry professionals
21111.00,Education institutions,Forestry professionals
21111.00,Federal government,Forestry professionals
21111.00,Forest industry,Forestry professionals
21111.00,Forestry-related industries,Forestry professionals
21111.00,Provincial government,Forestry professionals
21111.00,Self-employed,Forestry professionals
21112.00,"Businesses, institutions and governments that assist the farming community","Agricultural representatives, consultants and specialists"
21112.00,Self-employed,"Agricultural representatives, consultants and specialists"
21120.00,Establishements throughout the private and public sector,Public and environmental health and safety professionals
21200.00,Architectural firms,Architects
21200.00,Governments,Architects
21200.00,Private corporations,Architects
21200.00,Self-employed,Architects
21201.00,Architectural and engineering firms,Landscape architects
21201.00,Government environmental and development agencies,Landscape architects
21201.00,Landscape consulting firms,Landscape architects
21201.00,Self-employed,Landscape architects
21202.00,All levels of government,Urban and land use planners
21202.00,Engineering and other consulting companies,Urban and land use planners
21202.00,Land developers,Urban and land use planners
21202.00,Private consultants,Urban and land use planners
21203.00,All levels of government,Land surveyors
21203.00,Engineering and construction firms,Land surveyors
21203.00,Natural resource firms,Land surveyors
21203.00,Private sector land surveying establishments,Land surveyors
21203.00,Real estate development firms,Land surveyors
21203.00,Self-employed,Land surveyors
21210.01,Banks and trust companies,Mathematicians
21210.01,Governments,Mathematicians
21210.01,Insurance companies,Mathematicians
21210.01,Pension benefit consulting firms,Mathematicians
21210.01,Professional associations,Mathematicians
21210.01,Science and engineering consulting firms,Mathematicians
21210.01,Universities,Mathematicians
21210.02,Banks and trust companies,Statisticians
21210.02,Governments,Statisticians
21210.02,Insurance companies,Statisticians
21210.02,Pension benefit consulting firms,Statisticians
21210.02,Professional associations,Statisticians
21210.02,Science and engineering consulting firms,Statisticians
21210.02,Universities,Statisticians
21210.03,Banks and trust companies,Actuaries
21210.03,Governments,Actuaries
21210.03,Insurance companies,Actuaries
21210.03,Pension benefit consulting firms,Actuaries
21210.03,Professional associations,Actuaries
21210.03,Science and engineering consulting firms,Actuaries
21210.03,Self-employed,Actuaries
21210.03,Universities,Actuaries
21211.00,Banks,Data scientists
21211.00,Consulting businesses,Data scientists
21211.00,Information technology departments in the private and public sectors,Data scientists
21211.00,Universities,Data scientists
21220.00,Information technology consulting firms,Cybersecurity specialists
21220.00,Information technology departments in the private and public sectors,Cybersecurity specialists
21220.00,Self-employed,Cybersecurity specialists
21221.00,Information technology consulting firms,Business system specialists
21221.00,Information technology departments in the private and public sectors,Business system specialists
21222.00,Information technology consulting firms,Information systems specialists
21222.00,Information technology departments in the private and public sectors,Information systems specialists
21222.00,Self-employed,Information systems specialists
21223.01,Information technology consulting firms,Database analysts
21223.01,Information technology departments in the private and public sectors,Database analysts
21223.02,Information technology consulting firms,Data administrators
21223.02,Information technology departments in the private and public sectors,Data administrators
21230.00,Computer software development firms,Computer systems developers and programmers
21230.00,Information technology consulting firms,Computer systems developers and programmers
21230.00,Information technology departments in the private and public sectors,Computer systems developers and programmers
21230.00,Self-employed,Computer systems developers and programmers
21231.00,Information technology consulting firms,Software engineers and designers
21231.00,Information technology departments in the private and public sectors,Software engineers and designers
21231.00,Information technology research and development firms,Software engineers and designers
21231.00,Self-employed,Software engineers and designers
21232.00,"Computer software, computer and video game development firms",Software developers and programmers
21232.00,Information technology consulting firms,Software developers and programmers
21232.00,Information technology departments in the private and public sectors,Software developers and programmers
21232.00,Self-employed,Software developers and programmers
21233.00,Advertising agencies,Web designers
21233.00,Computer software firms,Web designers
21233.00,Information technology consulting firms,Web designers
21233.00,Information technology departments in the private and public sectors,Web designers
21233.00,Self-employed,Web designers
21234.00,Advertising agencies,Web developers and programmers
21234.00,Computer software firms,Web developers and programmers
21234.00,Information technology consulting firms,Web developers and programmers
21234.00,Information technology departments in the private and public sectors,Web developers and programmers
21234.00,Self-employed,Web developers and programmers
21300.00,All levels of government,Civil engineers
21300.00,Construction firms,Civil engineers
21300.00,Consulting engineering firms,Civil engineers
21300.00,Industries,Civil engineers
21300.00,Self-employed,Civil engineers
21301.00,All levels of government,Mechanical engineers
21301.00,Construction firms,Mechanical engineers
21301.00,Consulting engineering companies,Mechanical engineers
21301.00,Industries,Mechanical engineers
21301.00,Self-employed,Mechanical engineers
21310.00,Consulting businesses,Electrical and electronics engineers
21310.00,Electrical power utilities,Electrical and electronics engineers
21310.00,Governments,Electrical and electronics engineers
21310.00,Manufacturers of electrical and electronic equipment,Electrical and electronics engineers
21310.00,Manufacturing industries,Electrical and electronics engineers
21310.00,Processing industries,Electrical and electronics engineers
21310.00,Telecommunications companies,Electrical and electronics engineers
21310.00,Transportation industries,Electrical and electronics engineers
21311.01,Computer and telecommunication hardware manufacturers,Computer and telecommunications hardware engineers
21311.01,"Engineering, manufacturing and telecommunications firms",Computer and telecommunications hardware engineers
21311.01,"Governmental, educational and research institutions",Computer and telecommunications hardware engineers
21311.01,Information technology consulting firms,Computer and telecommunications hardware engineers
21311.01,Information technology departments in the private and public sectors,Computer and telecommunications hardware engineers
21311.02,Computer and telecommunication hardware manufacturers,Network system and data communication engineers
21311.02,"Engineering, manufacturing and telecommunications firms",Network system and data communication engineers
21311.02,"Governmental, educational and research institutions",Network system and data communication engineers
21311.02,Information technology consulting firms,Network system and data communication engineers
21311.02,Information technology departments in the private and public sectors,Network system and data communication engineers
21320.00,Consulting businesses,Chemical engineers
21320.00,Education institutions,Chemical engineers
21320.00,Governments,Chemical engineers
21320.00,Manufacturing industries,Chemical engineers
21320.00,Processing industries,Chemical engineers
21320.00,Research institutions,Chemical engineers
21321.00,Consulting businesses,Industrial and manufacturing engineers
21321.00,Financial institutions,Industrial and manufacturing engineers
21321.00,Government institutions,Industrial and manufacturing engineers
21321.00,Health care and other institutions,Industrial and manufacturing engineers
21321.00,Manufacturing firms,Industrial and manufacturing engineers
21321.00,Processing companies,Industrial and manufacturing engineers
21321.00,Self-employed,Industrial and manufacturing engineers
21322.00,Consulting engineering companies,Metallurgical and materials engineers
21322.00,Education institutions,Metallurgical and materials engineers
21322.00,Governments,Metallurgical and materials engineers
21322.00,Manufacturing firms,Metallurgical and materials engineers
21322.00,Metal processing companies,Metallurgical and materials engineers
21322.00,Mining companies,Metallurgical and materials engineers
21322.00,Research institutions,Metallurgical and materials engineers
21330.00,Consulting engineering companies,Mining engineers
21330.00,Education institutions,Mining engineers
21330.00,Governments,Mining engineers
21330.00,Manufacturing,Mining engineers
21330.00,Mining companies,Mining engineers
21330.00,Research institutions,Mining engineers
21331.00,Consulting engineering companies,Geological engineers
21331.00,Education institutions,Geological engineers
21331.00,Electrical utilities,Geological engineers
21331.00,Governments,Geological engineers
21331.00,Mining companies,Geological engineers
21331.00,Petroleum companies,Geological engineers
21331.00,Research institutions,Geological engineers
21332.00,Consulting companies,Petroleum engineers
21332.00,Education institutions,Petroleum engineers
21332.00,Governments,Petroleum engineers
21332.00,Petroleum producing companies,Petroleum engineers
21332.00,Research institutions,Petroleum engineers
21332.00,Well logging or testing companies,Petroleum engineers
21390.00,Air transport carriers,Aerospace engineers
21390.00,Aircraft and spacecraft manufacturers,Aerospace engineers
21390.00,Education institutions,Aerospace engineers
21390.00,Governments,Aerospace engineers
21390.00,Research institutions,Aerospace engineers
21399.01,Consulting engineering firms,Agricultural and bio-resource engineers
21399.01,Education institutions,Agricultural and bio-resource engineers
21399.01,Governments,Agricultural and bio-resource engineers
21399.01,Industries,Agricultural and bio-resource engineers
21399.01,Research facilities,Agricultural and bio-resource engineers
21399.02,Consulting engineering firms,Biomedical engineers
21399.02,Education institutions,Biomedical engineers
21399.02,Governments,Biomedical engineers
21399.02,Industries,Biomedical engineers
21399.02,Medical institutions,Biomedical engineers
21399.02,Research facilities,Biomedical engineers
21399.03,Consulting engineering firms,Engineering physicists and engineering scientists
21399.03,Educational institutions,Engineering physicists and engineering scientists
21399.03,Governments,Engineering physicists and engineering scientists
21399.03,Industry,Engineering physicists and engineering scientists
21399.03,Research facilities,Engineering physicists and engineering scientists
21399.04,Consulting engineering firms,Marine and naval engineers
21399.04,Education institutions,Marine and naval engineers
21399.04,Governments,Marine and naval engineers
21399.04,Industry,Marine and naval engineers
21399.04,Research facilities,Marine and naval engineers
21399.05,Consulting engineering firms,Textile engineers
21399.05,Education institutions,Textile engineers
21399.05,Governments,Textile engineers
21399.05,Industry,Textile engineers
21399.05,Research facilities,Textile engineers
22100.01,"Chemical, petrochemical and pharmaceutical companies",Chemical technologists
22100.01,Consulting engineering companies,Chemical technologists
22100.01,Manufacturing industries,Chemical technologists
22100.01,Processing industries,Chemical technologists
22100.01,Quality control laboratories,Chemical technologists
22100.01,Research and development laboratories,Chemical technologists
22100.01,"Utilities, health, education and government establishments",Chemical technologists
22100.02,"Chemical, petrochemical and pharmaceutical companies",Chemical technicians
22100.02,Consulting engineering firms,Chemical technicians
22100.02,Manufacturing industries,Chemical technicians
22100.02,Processing industries,Chemical technicians
22100.02,Quality control laboratories,Chemical technicians
