Code SIPeC,Etiquette SIPeC,Code Holland - 1,Code Holland - 2,Code Holland - 3
52119.03,Chefs électriciens/chefs électriciennes de plateau et éclairagistes,R,i,
52119.04,Coordonnateurs/coordonnatrices des cascades et truqueurs/truqueuses,R,A,
52119.05,Maquilleurs/maquilleuses,A,R,
52119.06,Costumiers/costumières,E,A,i
52119.07,Chefs d'atelier de décors et chefs accessoiristes,A,R,e
52120.01,Designers graphiques,A,R,E
52120.02,Illustrateurs/illustratrices,A,R,E
52121.00,Designers d'intérieur et décorateurs/décoratrices d'intérieur,A,E,r
53100.01,Techniciens/techniciennes en restauration et en conservation,R,A,
53100.02,Encadreurs/encadreuses de tableaux,R,A,c
53100.03,Interprètes de musée,S,E,
53100.04,"Adjoints/adjointes à la conservation, les agents/agentes des services de vulgarisation, les techniciens/techniciennes en muséologie et les catalogueurs/catalogueuses et registraires de musée",R,C,I
53100.05,Taxidermistes,R,A,c
53110.00,Photographes,A,R,i
53111.01,Grutiers/grutières en cinéma et radiotélédiffusion,R,C,I
53111.02,Projectionnistes de cinéma,R,C,I
53111.03,Accessoiristes et constructeurs/constructrices de décors,R,C,a
53111.04,Assistants/assistantes au script,C,e,r
53111.05,Machinistes et monteurs-régleurs/monteuses-régleuses de plateau,R,C,
53111.06,Habilleurs/habilleuses,R,s,
53111.07,Assistants/assistants à la réalisation,C,R,i
53120.01,Danseurs/danseuses,A,R,
53120.02,Professeurs/professeures de danse,S,A,E
53121.01,Acteurs/actrices et comédiens/comédiennes,A,E,
53121.02,Professeurs/professeures d'art dramatique,S,A,
53121.03,Artistes de cirque,A,E,r
53122.01,Peintres,A,R,i
53122.02,Sculpteurs/sculpteures,A,R,i
53122.03,Professeurs/professeures d'art,A,S,R
53123.01,Ensembliers/ensemblières de théâtre,A,R,E
53123.02,Dessinateurs/dessinatrices de mode,A,E,R
53123.03,Concepteurs/conceptrices d'expositions,A,R,e
53124.01,Artisans sculpteurs/artisanes sculpteures,A,R,
53124.02,Souffleurs/souffleuses de verre,R,A,
53124.03,Orfèvres,R,A,
53124.04,Potiers/potières,R,A,
53124.05,Artisans vitraillistes/artisanes vitraillistes,A,R,
53124.06,Confectionneurs/confectionneuses d'instruments musicaux,R,A,i
53124.07,Tisserands/tisserandes,R,A,
53124.08,Professeurs/professeures d'artisanat,S,A,E
53124.09,Décorateurs floraux/décoratrices florales,A,R,e
53125.00,Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure,R,A,C
53200.00,Athlètes,R,e,
53201.01,Entraîneurs/entraîneuses,S,E,I
53201.02,Dépisteurs sportifs/dépisteuses sportives,E,I,S
53202.00,Arbitres et officiels/officielles de sports,E,C,S
54100.01,Animateurs/animatrices et responsables de programmes de sports et de loisirs,S,E,C
54100.02,Évaluateurs/évaluatrices de la condition physique,S,I,c
55109.01,Amuseurs publics/amuseuses publiques,A,E,R
55109.02,Magiciens/magiciennes et illusionnistes,A,R,e
55109.03,Mannequins et modèles,A,E,
55109.04,Influenceurs,E,a,
60010.00,Directeurs/directrices des ventes corporatives,E,C,I
60020.00,Directeurs/directrices - commerce de détail et de gros,E,C,I
60030.00,Directeurs/directrices de la restauration et des services alimentaires,E,C,I
60031.00,Directeurs/directrices des services d'hébergement,E,C,I
60040.00,Directeurs/directrices du service à la clientèle et des services personnels,E,C,I
62010.00,Superviseurs/superviseures des ventes - commerce de détail,E,C,S
62020.00,Superviseurs/superviseures des services alimentaires,E,C,S
62021.00,Gouvernants principaux/gouvernantes principales,E,C,R
62022.00,"Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes",E,C,S
62023.01,Superviseurs/superviseures des représentants au service à la clientèle - services financiers,E,C,S
62023.02,Superviseurs/superviseures des représentants au service à la clientèle (sauf services financiers),E,C,S
62024.00,Surveillants/surveillantes des services de nettoyage,E,C,S
62029.00,Surveillants/surveillantes des autres services,E,C,S
62100.00,Spécialistes des ventes techniques - commerce de gros,E,C,I
62101.00,Acheteurs/acheteuses des commerces de détail et de gros,E,C,I
62200.01,Premiers chefs/premières chefs,E,R,A
62200.02,Sous-chefs,E,R,A
62200.03,Chefs spécialisés/chefs spécialisées,E,R,A
62201.01,Directeurs/directrices de funérailles,E,C,s
62201.02,Embaumeurs/embaumeuses,R,C,A
62202.01,Bijoutiers/bijoutières et personnel assimilé,R,A,C
62202.02,Horlogers-rhabilleurs/horlogères-rhabilleuses,R,C,I
63100.00,Agents/agentes et courtiers/courtières d'assurance,E,C,S
63101.00,Agents/agentes et vendeurs/vendeuses en immobilier,E,C,I
63102.00,Représentants/représentantes des ventes financières,E,C,S
63200.00,Cuisiniers/cuisinières,R,C,E
63201.00,Bouchers/bouchères - commerce de gros et de détail,R,C,e
63202.00,Boulangers-pâtissiers/boulangères-pâtissières,R,C,e
63210.01,Coiffeurs/coiffeuses,A,E,S
63210.02,Barbiers/barbières,R,E,S
63211.01,Esthéticiens/esthéticiennes,S,R,E
63211.02,Cosméticiens/cosméticiennes,S,R,A
63211.03,Électrolystes,S,R,E
63211.04,Manucures et pédicures,R,E,A
63211.05,Spécialistes du cuir chevelu,R,E,S
63211.06,Tatoueurs/tatoueuses,A,R,E
63211.07,Techniciens/techniciennes en greffe de cheveux (non médicaux),R,S,A
63220.01,Fabricants/fabricantes de chaussures,R,C,A
63220.02,Cordonniers/cordonnières,R,C,E
63221.00,Tapissiers-garnisseurs/tapissières-garnisseuses,R,C,E
64100.01,Vendeurs/vendeuses - commerce de détail,E,C,s
64100.02,Décorateurs/décoratrices - étalagistes,A,E,R
64101.00,Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique),E,C,s
64200.01,"Tailleurs/tailleuses, Couturiers/couturières et Retoucheurs/retoucheuses",R,A,E
64200.02,Fourreurs/fourreuses,R,A,E
64200.03,Modistes,R,A,E
64201.01,Conseillers imagistes/conseillères imagistes,S,A,E
64201.02,Conseillers/conseillères en services de mariage,E,S,A
64201.03,Conseillers/conseillères en perte de poids,S,E,C
64300.00,Maîtres d'hôtel et hôtes/hôtesses,E,S,c
64301.00,Barmans/barmaids,E,R,S
64310.00,Conseillers/conseillères en voyages,E,S,C
64311.01,Agents/agentes de bord - transport aérien,E,S,C
64311.02,"Commissaires de bord, directeurs/directrices du service à la clientèle et directeurs/directrices de service aux passagers",E,C,s
64311.03,Commissaires de marine,E,C,s
64312.01,Agents/agentes aux passagers et de billetterie - transport aérien,C,E,s
64312.02,Agents/agentes de fret aérien et d'escale,C,E,R
64312.03,Agents/agentes de réservations,C,E,s
64313.01,Agents/agentes de billetterie et personnel assimilé (sauf transport aérien),C,E,s
64313.02,Représentants/représentantes du service à la clientèle en matière de fret (sauf transport aérien),C,E,s
64314.00,Réceptionnistes d'hôtel,C,E,s
64320.01,Guides touristiques,S,E,c
64320.02,Guides itinérants/guides itinérantes,E,C,s
64321.00,Travailleurs/travailleuses dans les casinos,C,E,r
64322.00,Guides d'activités récréatives et sportives de plein air,S,E,R
64400.00,Représentants/représentantes au service à la clientèle - institutions financières,C,E,S
64401.00,Représentants/représentantes des services postaux,C,R,S
64409.00,Autres préposés/autres préposées aux services d'information et aux services à la clientèle,E,C,S
64410.01,Gardiens/gardiennes de sécurité,R,C,E
64410.02,Gardiens/gardiennes de voiture blindée,R,C,E
64410.03,Agents/agentes de sécurité d'entreprises,R,C,E
64410.04,Enquêteurs privés/enquêteuses privées,E,C,R
64410.05,Agents/agentes de prévention des vols,E,C,I
65100.00,Caissiers/caissières,C,E,R
65101.00,Préposés/préposées de stations-service,R,C,e
65102.00,"Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins",C,R,e
65109.01,Distributeurs/distributrices et Démonstrateurs/démonstratrices,E,C,
65109.02,Vendeurs/vendeuses de porte à porte,E,C,
65109.03,Préposés/préposées à la sollicitation par téléphone et télévendeurs/télévendeuses,E,C,
65200.00,Serveurs/serveuses d'aliments et de boissons,S,E,C
65201.01,Serveurs/serveuses au comptoir et préparateurs/préparatrices d'aliments,R,C,S
65201.02,Aides de cuisine,R,C,
65201.03,Aides de services alimentaires,R,C,S
65201.04,Plongeurs/plongeuses,R,c,
65202.00,Coupeurs/coupeuses de viande et poissonniers/poissonnières - commerce de gros et de détail,R,C,e
65210.01,Préposés/préposées aux services à la clientèle et porteurs/porteuses de bagages,R,C,e
65210.02,Préposés/préposées aux passagers à bord de navires et au service ferroviaire,R,S,E
65210.03,Travailleurs/travailleuses en installations,R,c,
65211.01,Exploitants/exploitantes d'attraction foraine,E,R,C
65211.02,"Préposés/préposées dans les parcs d'attractions, les sports et les loisirs",E,R,C
65220.00,Soigneurs/soigneuses d'animaux et travailleurs/travailleuses en soins des animaux,R,E,C
65229.00,Autre professions de soutien dans les services personnels,E,c,r
65310.01,Préposés/préposées à l'entretien ménager et au nettoyage - travaux légers,R,C,
65310.02,Préposés/préposées à l'entretien ménager,R,C,s
65311.01,Nettoyeurs/nettoyeuses de tapis et de meubles rembourrés,R,C,
65311.02,Ramoneurs/ramoneuses et Nettoyeurs/nettoyeuses au jet de sable,R,c,
65311.03,Nettoyeurs/nettoyeuses de fournaises et de systèmes de ventilation,R,c,
65311.04,Nettoyeurs/nettoyeuses de véhicules,R,c,
65311.05,Nettoyeurs/nettoyeuses de vitres,R,c,
65312.00,Concierges et nettoyeurs/nettoyeuses – gros travaux,R,C,e
65320.01,Opérateurs/opératrices de machines de nettoyage à sec et de blanchisseries,R,C,
65320.02,Assembleurs/assembleuses et inspecteurs/inspectrices de machines de nettoyage à sec et de blanchisseries,R,C,I
65320.03,"Repasseurs/repasseuses, presseurs/presseuses et finisseurs/finisseuses",R,c,
65329.01,Préposés/préposées de salon de coiffure,R,e,
65329.02,Portiers/portières,R,C,
65329.03,Préposés/préposées de salon funéraire,S,E,R
65329.04,Préposés/préposées de laverie automatique,R,C,e
65329.05,Préposés/préposées de terrain de stationnement et préposés/préposées aux voitures,R,C,E
65329.06,Placeurs/placeuses et receveurs/receveuses de billets,S,C,E
65329.07,Autres travailleurs élémentaires/travailleuses élémentaires des services,R,E,C
70010.00,Directeurs/directrices de la construction,E,R,C
70011.00,Gestionnaires en construction et rénovation domiciliaire,E,R,C
70012.01,Directeurs/directrices d'exploitation d'immeubles,E,C,R
70012.02,Directeurs/directrices de l'entretien d'immeubles,E,C,R
70020.01,Directeurs/directrices des transports - opérations,E,C,I
70020.02,Directeurs/directrices des transports - mouvement du fret,E,C,I
70021.00,Directeurs/directrices des services postaux et de messageries,E,C,i
72010.00,"Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",E,R,C
72011.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en électricité et en télécommunications,E,C,R
72012.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en tuyauterie,E,R,C
72013.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en charpenterie,E,R,C
72014.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des autres métiers de la construction et des services de réparation et d'installation,E,C,R
72020.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en mécanique,E,C,R
72021.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd,E,C,R
72022.00,Surveillants/surveillantes de l'imprimerie et du personnel assimilé,E,C,R
72023.00,Surveillants/surveillantes des opérations du transport ferroviaire,E,C,i
72024.00,Surveillants/surveillantes du transport routier et du transport en commun,E,C,i
72025.00,Superviseurs/superviseures de services postaux et de messageries,E,C,i
72100.01,Machinistes,R,C,
72100.02,Vérificateurs/vérificatrices d'usinage et d'outillage,R,C,i
72101.01,Outilleurs-ajusteurs/outilleuses-ajusteuses,R,C,i
72101.02,Modeleurs/modeleuses sur métal et Moulistes de moules en métal,R,C,i
72102.00,Tôliers/tôlières,R,C,i
72103.00,Chaudronniers/chaudronnières,R,C,i
72104.00,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques,R,C,i
72105.00,Monteurs/monteuses de charpentes métalliques,R,C,i
72106.01,Soudeurs/soudeuses,R,C,i
72106.02,Opérateurs/opératrices de machines à souder et à braser,R,C,i
72200.00,Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques),R,I,C
72201.00,Électriciens industriels/électriciennes industrielles,R,I,C
72202.00,Électriciens/électriciennes de réseaux électriques,R,C,I
72203.00,Monteurs/monteuses de lignes électriques et de câbles,R,I,C
72204.00,Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications,R,I,C
72205.01,Installateurs/installatrices et réparateurs/réparatrices de téléphones,R,I,C
72205.02,Installateurs/installatrices et réparateurs/réparatrices de réseaux commutés,R,I,C
72205.03,Vérificateurs/vérificatrices de services de télécommunications,R,I,C
72205.04,Techniciens/techniciennes en matériel de télécommunications,R,I,C
72205.05,Techniciens/techniciennes en montage d'installations de câblodistribution,R,I,C
72300.00,Plombiers/plombières,R,C,I
72301.01,Tuyauteurs/tuyauteuses et monteurs/monteuses d'appareils de chauffage,R,C,I
72301.02,Poseurs/poseuses de gicleurs,R,C,I
72302.00,Monteurs/monteuses d'installations au gaz,R,C,I
72310.00,Charpentiers-menuisiers/charpentières-menuisières,R,C,I
72311.00,Ébénistes,R,C,i
72320.00,Briqueteurs-maçons/briqueteuses-maçonnes,R,C,
72321.00,Calorifugeurs/calorifugeuses,R,C,i
72400.01,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles,R,C,I
72400.02,Mécaniciens/mécaniciennes et monteurs/monteuses de machines dans l'industrie du textile,R,I,C
72401.00,Mécaniciens/mécaniciennes d'équipement lourd,R,C,I
72402.00,"Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation",R,C,I
72403.00,Réparateurs/réparatrices de wagons,R,C,I
72404.01,Mécaniciens/mécaniciennes d'aéronefs,R,C,I
72404.02,Contrôleurs/contrôleuses d'aéronefs,R,C,I
72405.00,Ajusteurs/ajusteuses de machines,R,C,I
72406.00,Constructeurs/constructrices et mécaniciens/mécaniciennes d'ascenseurs,R,C,I
72410.01,Mécaniciens/mécaniciennes de véhicules automobiles,R,I,C
72410.02,Réparateurs/réparatrices de véhicules automobiles,R,I,C
72410.03,Mécaniciens/mécaniciennes de camions et de remorques,R,I,C
72411.00,"Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages",R,C,I
72420.00,Installateurs/installatrices de brûleurs à l'huile et à combustibles solides,R,I,C
72421.01,Réparateurs/réparatrices de petits appareils électroménagers,R,I,C
72421.02,Réparateurs/réparatrices de gros appareils électroménagers,R,I,C
72422.00,Électromécaniciens/électromécaniciennes,R,I,C
72423.01,"Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",R,I,C
72423.02,Technicien/technicienne de véhicules récréatifs,R,I,C
72429.00,Autres réparateurs/réparatrices de petits moteurs et de petits équipements,R,C,I
72500.00,Grutiers/grutières,R,C,i
72501.00,Foreurs/foreuses de puits d'eau,R,I,C
72600.01,Pilotes aériens,R,C,I
72600.02,Mécaniciens de bord,R,C,I
72600.03,Instructeurs/instructrices de vol,S,R,I
72601.01,Contrôleurs/contrôleuses de la circulation aérienne,E,C,I
72601.02,Agents/agentes de régulation des vols,E,C,I
72601.03,Spécialistes de l'information de vol,E,C,I
72602.00,Officiers/officières de pont du transport par voies navigables,R,E,C
72603.00,Officiers mécaniciens/officières mécaniciennes du transport par voies navigables,R,E,C
72604.01,Contrôleurs/contrôleuses de la circulation ferroviaire,C,R,E
72604.02,Régulateurs/régulatrices de la circulation maritime,C,R,E
72999.01,Armuriers/armurières,R,C,I
72999.02,Serruriers/serrurières,R,C,i
72999.03,Installateurs-réparateurs/installatrices-réparatrices de coffres-forts et de chambres fortes,R,C,I
72999.04,Ajusteurs/ajusteuses de scies,R,C,I
72999.05,Monteurs/monteuses de matrices,R,C,I
72999.06,Scaphandriers/scaphandrières,R,I,C
73100.00,Finisseurs/finisseuses de béton,R,I,c
73101.00,Carreleurs/carreleuses,R,C,i
73102.01,Plâtriers/plâtrières,R,C,
73102.02,Poseurs/poseuses de systèmes intérieurs,R,C,
73102.03,Latteurs/latteuses,R,C,
73110.01,Couvreurs/couvreuses,R,C,
73110.02,Poseurs/poseuses de bardeaux,R,C,
73111.00,Vitriers/vitrières,R,C,i
73112.00,Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur),R,C,a
73113.00,Poseurs/poseuses de revêtements d'intérieur,R,C,
73200.00,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",R,C,i
73201.00,Préposés à l’entretien général et surintendants/surintendantes,R,C,I
73202.00,Fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine,R,C,i
73209.00,Autres réparateurs/réparatrices et préposés/préposées à l'entretien,R,C,I
73300.01,Conducteurs/conductrices de camions sur longue distance,R,C,E
73300.02,Conducteurs routiers/conductrices routières et conducteurs/conductrices de camions locaux,R,C,e
73301.01,Conducteurs/conductrices d'autobus et de tramways,R,C,E
73301.02,Conducteurs/conductrices d'autobus scolaires,R,C,s
73301.03,Opérateurs/opératrices de métro et de systèmes légers sur rail,R,C,
73310.01,Mécaniciens/mécaniciennes de locomotive,R,C,e
73310.02,Mécaniciens/mécaniciennes de locomotive de cour de triage,R,C,e
73311.01,Chefs de train,E,R,C
73311.02,Serre-freins,R,C,i
73400.00,Conducteurs/conductrices d'équipement lourd,R,C,i
73401.00,Opérateurs/opératrices de presses à imprimer,R,C,i
73402.01,"Foreurs/foreuses de mines à ciel ouvert, de carrières et de chantiers de construction",R,I,C
73402.02,"Dynamiteurs/dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction",R,I,C
74100.01,Trieurs/trieuses de courrier,C,R,
74100.02,Commis à la salle du courrier,C,R,
74101.00,Facteurs/factrices,R,C,s
74102.00,Messagers/messagères,R,C,
74200.01,Ouvriers/ouvrières de gare de triage du transport ferroviaire,R,C,i
74200.02,Ouvriers/ouvrières à l'entretien de la voie ferrée,R,C,
74201.01,Matelots de salle des machines du transport par voies navigables,R,C,i
74201.02,Matelots de pont du transport par voies navigables,R,C,i
74202.00,Agents/agentes de piste dans le transport aérien,R,C,
74203.00,Préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds,R,C,
74204.01,Personnel d'entretien des canalisations d'eau,R,C,i
74204.02,Personnel d'entretien des canalisations de gaz,R,C,I
74205.00,Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé,R,C,
75100.00,Débardeurs/débardeuses,R,C,
75101.01,Manutentionnaires qui travaillent manuellement,R,C,
75101.02,Manutentionnaires qui utilisent des appareils de manutention,R,C,
75110.00,Aides de soutien des métiers et manoeuvres en construction,R,c,
75119.00,Autres manoeuvres et aides de soutien de métiers,R,c,
75200.01,Chauffeurs/chauffeuses de taxi et de limousine,R,E,s
75200.02,Chauffeurs/chauffeuses,R,E,C
75201.00,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte,R,E,C
75210.01,Personnel des écluses,R,C,
75210.02,Conducteurs/conductrices de bacs à câble,R,C,e
75210.03,Ouvriers/ouvrières au débarcadère de traversiers,R,C,e
75210.04,Opérateurs de bateaux,R,C,E
75211.01,Manoeuvres dans le transport ferroviaire,R,c,
75211.02,Manoeuvres dans le transport routier,R,c,
75212.00,Manoeuvres à l'entretien des travaux publics,R,C,
80010.00,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche,E,C,I
80020.00,Gestionnaires en agriculture,E,R,C
80021.00,Gestionnaires en horticulture,E,R,C
80022.00,Gestionnaires en aquaculture,E,R,C
82010.00,Surveillants/surveillantes de l'exploitation forestière,E,R,C
82020.00,Surveillants/surveillantes de l'exploitation des mines et des carrières,E,R,C
82021.00,Entrepreneurs/entrepreneuses et surveillants/surveillantes du forage et des services reliés à l'extraction de pétrole et de gaz,E,R,C
82030.01,Entrepreneurs/entrepreneuses de services agricoles,E,R,C
82030.02,Surveillants/surveillantes d’exploitations agricoles,E,R,C
82031.00,"Entrepreneurs/entrepreneuses et superviseurs/superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",E,R,C
83100.00,"Mineurs/mineuses d'extraction et de préparation, mines souterraines",R,I,
83101.01,Foreurs/foreuses et personnel à l'entretien des puits de pétrole et de gaz,R,E,C
83101.02,Travailleurs/travailleuses en diagraphie et en mise à l'essai des puits et travailleurs assimilés/travailleuses assimilées,R,C,i
83110.00,Conducteurs/conductrices de machines d'abattage d'arbres,R,I,C
83120.00,Capitaines et officiers/officières de bâtiments de pêche,R,E,I
83121.00,Pêcheurs indépendants/pêcheuses indépendantes,R,E,I
84100.00,Travailleurs/travailleuses d'entretien et de soutien des mines souterraines,R,c,
84101.01,Travailleurs/travailleuses au forage de puits de pétrole et de gaz,R,C,I
84101.02,Travailleurs/travailleuses à l'entretien de puits de pétrole et de gaz,R,c,i
84110.00,Opérateurs/opératrices de scies à chaîne et d'engins de débardage,R,,
84111.00,Ouvriers/ouvrières en sylviculture et en exploitation forestière,R,c,i
84120.01,Ouvriers spécialisés/ouvrières spécialisées dans l'élevage du bétail,R,,
84120.02,Opérateurs/opératices de machineries agricoles,R,,
84121.00,Matelots de pont sur les bateaux de pêche,R,,
85100.00,Manoeuvres aux soins du bétail,R,,
85101.00,Manoeuvres à la récolte,R,,
85102.00,Manoeuvres de l'aquaculture et de la mariculture,R,c,
85103.00,Manoeuvres de pépinières et de serres,R,c,
85104.00,Trappeurs/trappeuses et chasseurs/chasseuses,R,I,e
85110.00,Manoeuvres des mines,R,c,
85111.00,"Manoeuvres de forage et d'entretien des puits de pétrole et de gaz, et personnel assimilé",R,,
85120.00,Manoeuvres de l'exploitation forestière,R,,
85121.00,Manoeuvres en aménagement paysager et en entretien des terrains,R,,
90010.00,Directeurs/directrices de la fabrication,E,C,I
90011.01,Directeurs/directrices du service des eaux,E,C,I
90011.02,Directeurs/directrices de réseaux de distribution d'électricité,E,C,I
90011.03,Directeurs/directrices de l'approvisionnement en gaz naturel et Directeurs/directrices de la distribution de produits pétroliers,E,C,I
90011.04,Directeurs/directrices de services de lutte contre la pollution de l'eau,E,C,I
90011.05,Directeurs/directrices de systèmes de gestion des déchets,E,C,I
92010.00,Surveillants/surveillantes dans la transformation des métaux et des minerais,E,R,C
92011.00,"Surveillants/surveillantes dans le raffinage du pétrole, dans le traitement du gaz et des produits chimiques et dans les services d'utilité publique",E,R,C
92012.00,Surveillants/surveillantes dans la transformation des aliments et des boissons,E,R,C
92013.00,Surveillants/surveillantes dans la fabrication de produits en caoutchouc et en plastique,E,R,C
92014.00,Surveillants/surveillantes dans la transformation des produits forestiers,E,R,C
92015.00,"Surveillants/surveillantes dans la transformation et la fabrication de produits textiles, de tissus, de fourrure et de cuir",E,R,C
92020.00,Surveillants/surveillantes dans la fabrication de véhicules automobiles,E,R,C
92021.00,Surveillants/surveillantes dans la fabrication de matériel électronique et d'appareils électriques,E,R,C
92022.00,Surveillants/surveillantes dans la fabrication de meubles et d'accessoires,E,R,C
92023.00,Surveillants/surveillantes dans la fabrication d'autres produits métalliques et de pièces mécaniques,E,R,C
92024.00,Surveillants/surveillantes dans la fabrication et le montage de produits divers,E,R,C
92100.01,Mécaniciens/mécaniciennes de centrales,R,I,C
92100.02,Opérateurs/opératrice de réseaux électriques,R,I,C
92101.01,Opérateurs/opératrices d'installations du traitement de l'eau,R,I,C
92101.02,Opérateurs/opératrices d'installations du traitement des déchets liquides,R,I,C
93100.00,Opérateurs/opératrices de poste central de contrôle et de conduite de procédés industriels dans le traitement des métaux et des minerais,R,I,C
93101.00,Opérateurs/opératrices de salle de commande centrale et de conduite de procédés industriels dans le raffinage du pétrole et le traitement du gaz et des produits chimiques,R,I,C
93102.00,"Opérateurs/opératrices au contrôle de la réduction en pâte des pâtes et papiers, de la fabrication du papier et du couchage",R,I,C
93200.01,Monteurs/monteuses d'aéronefs,R,C,
93200.02,Contrôleurs/contrôleuses du montage d'aéronefs,R,C,I
94100.00,Opérateurs/opératrices de machines dans le traitement des métaux et des minerais,R,C,i
94101.01,Mouleurs/mouleuses et Noyauteurs/noyauteuses,R,C,
94101.02,Fondeurs/fondeuses de métaux,R,C,
94101.03,Opérateurs/opératrices de fours de fonderie,R,C,
94102.01,Opérateurs/opératrices de matériel de régulation des procédés de fabrication de verre,R,C,I
94102.02,Opérateurs/opératrices de machines à former le verre,R,C,A
94102.03,Opérateurs/opératrices de machines à finir le verre,R,C,A
94102.04,Coupeurs/coupeuses de verre,R,C,
94103.01,Opérateurs/opératrices de machines et travailleurs/travailleuses en façonnage et en finition de produits en béton,R,C,
94103.02,Opérateurs/opératrices de machines à façonner et à finir des produits en argile,R,C,A
94103.03,Travailleurs spécialisés/travailleuses spécialisées dans le façonnage et la finition de la pierre,R,C,A
94104.00,Contrôleurs/contrôleuses et essayeurs/essayeuses dans la transformation des métaux et des minerais,R,C,I
94105.01,Opérateurs/opératrices de machines à travailler les métaux légers et lourds,R,C,
94105.02,Opérateurs/opératrices de machines à forger,R,C,
94106.00,Opérateurs/opératrices de machines d'usinage,R,C,
94107.00,Opérateurs/opératrices de machines d'autres produits métalliques,R,C,
94110.00,Opérateurs/opératrices d'installations de traitement des produits chimiques,R,C,i
94111.01,Opérateurs/opératrices de malaxeur - plasturgie,R,C,i
94111.02,Opérateurs/opératrices de calandre - plasturgie,R,C,i
94111.03,Opérateurs/opératrices de machines à extruder - plasturgie,R,C,i
94111.04,Opérateurs/opératrices de machines à mouler - plasturgie,R,C,i
94112.01,Opérateurs/opératrices de machines de transformation du caoutchouc,R,C,i
94112.02,Assembleurs/assembleuses d'articles en caoutchouc,R,C,
94112.03,Vérificateurs/vérificatrices d'articles en caoutchouc,R,C,I
94120.00,Opérateurs/opératrices de machines à scier dans les scieries,R,C,i
94121.00,Opérateurs/opératrices de machines dans la fabrication et la finition du papier dans les usines de pâte à papier,R,C,i
94122.00,Opérateurs/opératrices de machines à façonner le papier,R,C,
94123.01,Classeurs/classeuses de bois d'œuvre,R,C,i
94123.02,Autres vérificateurs/vérificatrices et classeurs/classeuses dans la transformation du bois,R,C,I
94124.00,Opérateurs/opératrices de machines à travailler le bois,R,C,
94129.00,Autres opérateurs/opératrices de machines dans la transformation du bois,R,C,
94130.01,"Opérateurs/opératrices de machines de traitement des fibres et des fils textiles, du cuir et des peaux",R,C,i
94130.02,"Teinturiers/teinturières et finisseurs/finisseuses de produits textiles, de cuirs et de peaux",R,C,i
94131.00,"Tisseurs/tisseuses, tricoteurs/tricoteuses et autres opérateurs/opératrices de machines textiles",R,C,i
94132.00,Opérateurs/opératrices de machines à coudre industrielles,R,C,
94133.00,"Contrôleurs/contrôleuses et trieurs/trieuses dans la fabrication de produits textiles, de tissus, de fourrure et de cuir",R,C,I
94140.01,Opérateurs/opératrices de procédés industriels dans la transformation des aliments et des boissons,R,C,i
94140.02,Opérateurs/opératrices de machines dans la transformation des aliments et des boissons,R,C,i
94141.01,Bouchers industriels/bouchères industrielles,R,C,
94141.02,Découpeurs/découpeuses de viande industrielle,R,C,
94141.03,Préparateurs/préparatrices de volaille,R,C,
94142.01,Opérateurs/opératrices de machines dans les usines de transformation du poisson et de fruits de mer,R,C,
94142.02,Nettoyeurs-coupeurs/nettoyeuses-coupeuses de poisson et de fruits de mer dans les usines de transformation du poisson et de fruits de mer,R,C,
94143.00,Échantillonneurs/échantillonneuses et trieurs/trieuses dans la transformation des aliments et des boissons,R,C,I
94150.00,Opérateurs/opératrices d'équipement d'impression sans plaque,R,C,
