Code de profil SIPeC,Codes exclus,Appellation d'emploi
32102.00,33102.00,assistant technicien/assistante technicienne en soins médicaux d'urgence (non paramédical)
32123.02,32103.03,
32200.01,31209.03,
32200.01,31209.04,
32200.01,31303.02,
32200.02,31209.03,
32200.02,31209.04,
32200.02,31303.02,
32209.01,31209.03,
32209.01,31303.02,
32209.02,31209.04,
32209.03,31209.03,
32209.05,31209.03,
32209.06,31209.03,
33109.02,32101.02,
33109.04,32101.02,
33109.06,31303.05,
33109.06,32101.02,
33109.07,31303.05,
33109.08,31303.05,
33109.08,32101.02,
41100.00,42200.05,juge de paix
41100.00,42200.05,juge de la citoyenneté
41101.00,41400.03,agent/agente de brevets
41101.00,42200.03,notaire public/notaire publique (à l'extérieur du Québec)
41101.00,42200.04,
41220.00,41301.00,psychoéducateur/psychoéducatrice
41220.00,52100.01,bibliothécaire d'école secondaire
41221.00,41301.00,psychoéducateur/psychoéducatrice
41221.00,42203.00,éducateur spécialisé/éducatrice spécialisée pour personnes ayant une déficience développementale
41221.00,52100.01,bibliothécaire d'école élémentaire
41310.01,64410.04,détective privé/détective privée
41320.00,31200.00,psychologue scolaire
41321.00,12104.02,agent/agente d'assurance-emploi
41321.00,42203.00,formateur/formatrice en milieu de travail pour personnes ayant une déficience
41401.00,41403.01,analyste des politiques du travail
41402.00,41403.05,
41407.00,42200.05,
41409.02,41221.00,
42100.00,64410.04,détective privé/détective privée
42101.00,32102.00,ambulancier paramédical/ambulancière paramédicale
42200.04,41400.03,
42201.00,54100.01,animateur/animatrice d'activités en gériatrie
42203.00,31112.02,thérapeute en audiologie et en orthophonie
42203.00,31203.00,ergothérapeute - conseiller/conseillère en réadaptation
42204.00,31102.00,médecin missionnaire
44100.01,44101.00,aide familial résident/aide familiale résidente - personnes âgées
44100.01,44101.00,aide familial résident/aide familiale résidente - personnes handicapées
44100.02,44101.00,aide familial résident/aide familiale résidente - personnes handicapées
51100.00,51101.02,conservateur/conservatrice de bibliothèque
51100.00,52100.01,bibliothécaire au niveau primaire
51100.00,52100.01,bibliothécaire au niveau secondaire
51101.01,53123.03,concepteur/conceptrice de musée
51101.01,53100.04,
51101.02,53123.03,concepteur/conceptrice de musée
51101.02,53100.04,
51102.00,52100.02,assistant/assistante dans les services d'archives
51110.00,51114.01,traducteur-réviseur/traductrice-réviseure
51110.00,52113.00,monteur/monteuse de son
51110.00,51120.05,
51111.01,51121.02,auteur-compositeur/auteure-compositrice
51111.02,51121.02,auteur-compositeur/auteure-compositrice
51111.03,51121.02,auteur-compositeur/auteure-compositrice
51114.01,41409.05,
51114.02,41409.05,
51114.03,41409.05,
51114.04,41409.05,
52110.00,52112.00,opérateur/opératrice à la transmission vidéo
52110.00,53111.07,assistant/assistante en audiovisuel
52110.00,53122.01,artiste vidéo
52110.00,51120.07,
52113.00,53111.07,assistant/assistante à l'enregistrement - studio d'enregistrement
52119.01,53123.01,concepteur/conceptrice d'éclairage
52119.02,53123.01,concepteur/conceptrice d'éclairage
52119.03,53123.01,concepteur/conceptrice d'éclairage
52119.07,53123.01,concepteur/conceptrice d'éclairage
52120.01,10022.01,
52120.02,10022.01,
53100.01,53123.03,concepteur/conceptrice d'expositions muséologiques
53100.02,53123.03,concepteur/conceptrice d'expositions muséologiques
53100.03,53123.03,concepteur/conceptrice d'expositions muséologiques
53100.04,53123.03,concepteur/conceptrice d'expositions muséologiques
53100.05,53123.03,concepteur/conceptrice d'expositions muséologiques
53120.01,51120.03,
53120.02,51120.03,
53200.00,54100.01,instructeur/instructrice en sport
53201.01,31204.01,thérapeute du sport
54100.01,41406.03,
54100.02,41406.03,
60010.00,62100.00,surveillant technico-commercial/surveillante technico-commerciale
60030.00,62200.01,premier chef/première chef
62010.00,62100.00,surveillant technico-commercial/surveillante technico-commerciale
62020.00,65200.00,serveur/serveuse de banquet en chef
62020.00,72024.00,surveillant/surveillante de service de cantine ambulante
62021.00,62024.00,superviseur/superviseure de préposés à l'entretien des chambres
62021.00,62024.00,surveillant/surveillante de l'entretien ménager
62024.00,72014.00,surveillant/surveillante de l'entretien de bâtiments
62201.01,00014.00,directeur général/directrice générale de pompes funèbres
62201.01,41301.00,conseiller/conseillère de personnes en deuil
62201.01,65329.03,préposé/préposée de salon funéraire
62202.01,53124.03,orfèvre
62202.01,94219.01,monteur/monteuse de bijoux
62202.02,94219.01,assembleur/assembleuse d'horloges et de montres
63100.00,10020.01,directeur/directrice des assurances
63101.00,12102.00,agent/agente des droits de passage
63101.00,13101.00,agent/agente de location
63101.00,11109.05,
63102.00,10021.01,directeur/directrice des prêts et du crédit - banque ou société de fiducie
63201.00,64100.01,commis-vendeur/commis-vendeuse de poissons et de fruits de mer
63201.00,65202.00,commis-boucher/commis-bouchère - commerce de gros ou de détail
63202.00,62200.03,chef pâtissier/chef pâtissière
63210.01,41210.00,professeur/professeure de coiffure - collège communautaire
63210.02,41210.00,professeur/professeure de coiffure - collège communautaire
63211.01,52119.05,"maquilleur/maquilleuse - cinéma, diffusion et arts de la scène"
63211.02,52119.05,"maquilleur/maquilleuse - cinéma, diffusion et arts de la scène"
64100.01,65102.00,commis aux stocks - commerce de détail
64100.02,65102.00,commis aux stocks - commerce de détail
64101.00,50011.00,directeur/directrice de redevances - arts
64200.01,53123.02,couturier/couturière - haute couture
64201.01,63211.02,
64201.01,63211.04,
64201.01,65229.00,
64201.03,65229.00,
64310.00,12103.00,coordonnateur/coordonnatrice de congrès
64310.00,64312.01,agent/agente de billetterie - transport aérien
64311.01,65200.00,
64311.02,65200.00,
64311.03,65200.00,
64312.01,65210.03,manutentionnaire de bagages
64312.03,64310.00,
64313.01,62022.00,
64313.01,64310.00,
64320.01,53100.03,interprète de musée
64320.01,53100.03,interprète historique
64320.01,64322.00,
64320.02,53100.03,interprète de musée
64320.02,53100.03,interprète historique
64320.02,64322.00,
65320.03,64200.01,
70012.01,70020.01,directeur/directrice de l'exploitation du transport
70012.01,70020.02,directeur/directrice du trafic de fret
70012.02,70020.01,directeur/directrice de l'exploitation du transport
70012.02,70020.02,directeur/directrice du trafic de fret
70012.02,73201.00,surintendant/surintendante des immeubles
70021.00,72025.00,maître/maîtresse de poste
72010.00,22302.01,programmeur/programmeuse en conception et fabrication assistées par ordinateur (CFAO)
72010.00,22302.01,programmeur/programmeuse de machines de mesure des coordonnées à commande numérique par ordinateur (MMC/CNC)
72011.00,72020.00,contremaître/contremaîtresse de mécaniciens-électriciens
72022.00,12010.00,superviseur/superviseure d'opérateurs d'équipement d'éditique
72024.00,14404.00,répartiteur/répartitrice de camions
72024.00,14404.00,répartiteur/répartitrice de taxis
72024.00,72604.01,régulateur/régulatrice de trains
72025.00,12013.00,superviseur/superviseure de l'expédition et de la réception
72102.00,72404.01,tôlier/tôlière d'aéronefs
72104.00,72105.00,monteur/monteuse de structures d'acier
72401.00,72410.01,diéséliste - véhicules automobiles
72402.00,72421.01,réparateur/réparatrice de climatiseurs ménagers pour fenêtres
72402.00,72421.02,réparateur/réparatrice de réfrigérateurs ménagers
72404.01,72405.00,ajusteur/ajusteuse au montage de moteurs d'aéronef
72404.01,22231.03,
72404.02,22231.03,
72405.00,93200.01,
72410.01,72423.02,
72410.02,72423.02,
72410.03,72423.02,
72422.00,22313.02,mécanicien/mécanicienne en équipement électrique d'aéronef
72423.01,72020.00,
72600.03,41210.00,instructeur/instructrice d'école de formation au sol
72603.00,21399.04,
72999.06,42100.00,policier-plongeur/policière-plongeuse
73112.00,52121.00,décorateur/décoratrice d'intérieur
73209.00,72999.02,
73300.01,14404.00,répartiteur/répartitrice du transport routier
73300.01,41210.00,formateur/formatrice d'opérateurs d'équipement lourd - collège communautaire
73300.01,75211.02,aide-chauffeur/aide-chauffeuse de camion
73300.02,14404.00,répartiteur/répartitrice du transport routier
73300.02,41210.00,formateur/formatrice d'opérateurs d'équipement lourd - collège communautaire
73300.02,75211.02,aide-chauffeur/aide-chauffeuse de camion
73310.01,72604.01,
73310.01,73301.03,
73310.02,72604.01,
73310.02,73301.03,
73400.00,75101.02,conducteur/conductrice de chariot élévateur à fourche
73400.00,75101.02,opérateur/opératrice de chariot de manutention
73401.00,53124.07,sérigraphiste - métiers d'art
75101.01,12013.00,superviseur/superviseure de la distribution en entrepôt
75101.01,75211.02,aide-déménageur/aide-déménageuse
75101.02,12013.00,superviseur/superviseure de la distribution en entrepôt
75101.02,75211.02,aide-déménageur/aide-déménageuse
75200.01,14404.00,répartiteur/répartitrice de taxis
75201.00,75211.02,aide de camion de livraison
80010.00,20011.02,directeur/directrice de recherche en foresterie
80022.00,22110.02,technicien/technicienne en aquaculture
80022.00,85102.00,employé/employée de soutien en aquaculture
80022.00,85102.00,travailleur/travailleuse de soutien en aquaculture
83120.00,72603.00,chef mécanicien/chef mécanicienne de bateau de pêche
84111.00,85103.00,manoeuvre de pépinière forestière
84111.00,22114.01,
85104.00,64322.00,guide de chasse
85104.00,73202.00,piégeur/piégeuse au contrôle des animaux
