OaSIS profile code,Additional information (EN)
14202.00,Progression to senior or supervisory positions is possible with experience.
14300.00,Progression to more senior positions is possible with experience and post-secondary education related to library science.
14301.01,Progression to supervisory positions is possible with experience.
14301.02,Progression to supervisory positions is possible with experience.
14301.03,Progression to supervisory positions is possible with experience.
14301.04,Progression to supervisory positions is possible with experience.
14301.05,Progression to supervisory positions is possible with experience.
14400.00,Progression to supervisory positions is possible with additional training or experience.
14401.00,The Red Seal endorsement allows for interprovincial mobility.
14401.00,Progression to supervisory positions is possible with additional training or experience.
14401.00,"Partspersons may specialize in a particular line of parts such as automotive parts, recreational vehicle parts, marine parts, heavy equipment parts, agricultural machinery parts, heating, ventilating and air conditioning parts or refrigeration parts."
14402.00,Progression to coordination positions is possible with experience.
14403.01,The duties of purchasing and inventory control workers may overlap in some establishments.
14403.01,Progression to supervisory positions or more senior occupations such as purchasing agent or retail buyer is possible with additional training or experience.
14403.02,The duties of purchasing and inventory control workers may overlap in some establishments.
14403.02,Progression to supervisory positions or more senior occupations such as purchasing agent or retail buyer is possible with additional training or experience.
14405.00,Mobility between occupations in this group is limited due to the requirement of specific transportation sector experience.
14405.00,Progression to supervisory positions is possible with experience.
20010.00,"Mobility to other technical managerial positions, or to research or senior management positions is possible with experience."
20011.01,Progression to senior management positions in the respective fields is possible with experience.
20011.02,Progression to senior management positions in the respective fields is possible with experience.
21100.01,Mobility between specializations within physics and within astronomy is possible with experience.
21100.01,Physicists may work closely with and perform some of the duties of engineers.
21100.01,Progression to management positions is possible with experience.
21100.01,"Physicists may specialize in fields such as aeronomy and space, acoustics, atomic and molecular physics, biophysics, condensed matter or solid state physics, electromagnetics, fluids and aerodynamics, health physics, medical physics, metrology, particle physics, optics and laser physics, nuclear physics and plasma physics."
21100.02,Mobility between specializations within physics and within astronomy is possible with experience.
21100.02,"Mobility is possible to the fields of meteorology, geophysics and other fields of science."
21100.02,Progression to management positions is possible with experience.
21100.02,"Astronomers may specialize in fields such as astrophysics, observational or optical astronomy and radio astronomy."
21101.00,Mobility between occupations in this group is possible with experience.
21101.00,"Mobility is possible with experience, to occupations concerned with plant management, technical sales and the development and management of regulatory programs and teaching professions."
21102.01,Mobility between specializations in this group is possible with experience.
21102.01,Progression to supervisory or higher level positions is possible with experience in this unit group.
21102.01,"Advancement to management positions in mining, petroleum and other industries is possible with experience."
21102.01,"Geologists may specialize in fields such as coal geology, environmental geology, geochronology, hydrogeology, mineral deposits or mining, petroleum geology, stratigraphy, tectonics, volcanology or in other fields."
21102.01,"Geochemists may specialize in analytical geochemistry, hydrogeochemistry, mineral or petroleum geochemistry or in other fields."
21102.01,"Geophysicists may specialize in areas, such as petroleum geology, earth physics, geodesy, geoelectromagnetism, seismology or in other fields."
21102.02,Mobility between specializations in this group is possible with experience.
21102.02,Progression to supervisory or higher level positions is possible with experience in this unit group.
21102.02,"Advancement to management positions in mining, petroleum and other industries is possible with experience."
21102.02,"Oceanographers may specialize in biological, chemical, geological or physical oceanography, or in other fields related to the study of oceans."
21109.01,Mobility between specializations in this group may be possible with experience.
21109.01,"Mobility is possible with experience, to other fields of physical science or to management or regulatory program management."
21109.02,Mobility between specializations in this group may be possible with experience.
21109.02,"Mobility is possible with experience, to other fields of physical science or to management or regulatory program management."
21109.03,Mobility between specializations in this group may be possible with experience.
21109.03,"Mobility is possible with experience, to other fields of physical science or to management or regulatory program management."
21109.04,Mobility between specializations in this group may be possible with experience.
21109.04,"Mobility is possible with experience, to other fields of physical science or to management or regulatory program management."
21110.01,"Biologists and related scientists may specialize at the macroscopic level, in fields such as botany, zoology, ecology and marine biology or, at the cellular and molecular level, in fields such as genetics, immunology, pharmacology, toxicology, physiology, pathology, bacteriology, virology, biotechnology and bioinformatics."
21110.02,"Biologists and related scientists may specialize at the macroscopic level, in fields such as botany, zoology, ecology and marine biology or, at the cellular and molecular level, in fields such as genetics, immunology, pharmacology, toxicology, physiology, pathology, bacteriology, virology, biotechnology and bioinformatics."
21111.00,Supervisory and senior occupations in this unit group require additional experience.
21111.00,"With experience, mobility is possible to management positions in government and industry."
21112.00,Progression to management positions is possible with experience.
21112.00,"Agricultural representatives, consultants and specialists may specialize in specific aspects of agriculture such as animal science, field crops, horticulture, soil science, irrigation or drainage, farm management, marketing, agricultural economics, land use, and environmental management, appraisal or extension and education."
21200.00,"Progression to senior positions, such as chief architect, is possible with experience."
21200.00,"Architects may specialize in a particular type of construction such as residential, commercial, industrial or institutional."
21202.00,Progression to management positions in planning is possible with experience.
21203.00,"Federal statutes require a separate licence from the Association of Canada Land Surveyors to survey areas such as national parks, Aboriginal lands, offshore areas and northern territories."
21210.03,"With experience, actuaries may progress to managerial positions in consulting, insurance and finance. They may also be self-employed."
21230.00,Progression to information systems analyst is possible with experience.
21232.00,Progression to software engineer is possible with experience.
21300.00,There is considerable mobility between civil engineering specializations at the less senior levels.
21300.00,Supervisory and senior positions in this unit group require experience.
21300.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21301.00,Supervisory and senior positions in this unit group require experience.
21301.00,"Mechanical engineers work closely with civil, electrical, aerospace, chemical, industrial and other engineers, and mobility is possible between some fields of specialization in these disciplines."
21301.00,There is considerable mobility between mechanical engineering specializations at the less senior levels.
21301.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21310.00,Supervisory and senior positions in this unit group require experience.
21310.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21310.00,"Electrical and electronics engineers may specialize in a number of areas including electrical design for residential, commercial or industrial installations, electrical power generation and transmission, and instrumentation and control systems."
21311.01,Supervisory and senior positions in this unit group require experience.
21311.01,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21311.01,"Computer engineers may specialize in a number of areas including analog and digital signal processing, fibre optics, integrated circuits, lasers, microprocessors, microwaves and radio astronomy."
21311.02,Supervisory and senior positions in this unit group require experience.
21311.02,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21320.00,There is considerable mobility between chemical engineering specializations at the less senior levels.
21320.00,Supervisory and senior positions in this unit group require experience.
21320.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21320.00,Chemical engineers work closely with chemists and other scientists and engineers and mobility is possible between some fields of specialization.
21320.00,"Chemical engineers may specialize in the products and processes of a particular industry such as pulp and paper manufacturing, pharmaceuticals, petroleum refining, energy processing, plastics, metal extraction and refining, or adhesives and coatings production. They may also specialize in functional areas of various industries such as process control, pollution control or fermentation processes."
21321.00,"Industrial engineers develop and implement organizational and management systems, and manufacturing engineers design production processes."
21321.00,There is considerable mobility between industrial engineering specializations at the less senior levels.
21321.00,Supervisory and senior positions in this unit group require experience.
21321.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21322.00,Metallurgical engineers research and develop new alloys and systems for extracting metal from ores; materials engineers research and develop new non-metallic materials with physical characteristics to meet specific requirements.
21322.00,There is considerable mobility between engineering specializations at the less senior levels.
21322.00,Supervisory and senior positions in this unit group require experience.
21322.00,Metallurgical and materials engineers work closely with other engineers and scientists and mobility is possible between some fields of specialization.
21322.00,"Engineers often work in a multidisciplinary environment and acquire knowledge and skills through work experience that may allow them to practise in associated areas of science, engineering, sales, marketing or management."
21330.00,Supervisory and senior positions in this unit group require experience.
21330.00,"Mining engineers work closely with geologists, geological engineers, metallurgical engineers, and other engineers and scientists, and mobility is possible between some fields of specialization."
