OaSIS profile code,Additional information (EN)
22310.02,"Progression to managerial positions in engineering, production or operations is possible with experience."
22311.00,Progression to supervisory positions is possible with experience.
22312.00,Progression to supervisory positions is possible with experience.
22312.00,The Red Seal endorsement allows for interprovincial mobility.
22313.01,An AME licence can be obtained by fulfilling the education and training requirements as stated above and passing Transport Canada AME examinations.
22313.01,Progression to supervisory positions within specific areas of expertise is possible with experience.
22313.01,"Aircraft mechanics and technicians who work in repair and overhaul shops service and test electrical, electronic and instrument components."
22313.01,"Avionics mechanics and technicians who work in maintenance hangars troubleshoot, repair, install and inspect aircraft systems and components."
22313.02,An AME licence can be obtained by fulfilling the education and training requirements as stated above and passing Transport Canada AME examinations.
22313.02,Progression to supervisory positions within specific areas of expertise is possible with experience.
22313.02,"Aircraft mechanics and technicians who work in repair and overhaul shops service and test electrical, electronic and instrument components."
22313.02,"Avionics mechanics and technicians who work in maintenance hangars troubleshoot, repair, install and inspect aircraft systems and components."
22313.03,"Avionics inspectors, maintenance technicians and mechanics may acquire further endorsements to their AME licence allowing them to inspect and certify a broader range of aircraft and avionics systems."
22313.03,An AME licence can be obtained by fulfilling the education and training requirements as stated above and passing Transport Canada AME examinations.
22313.03,Progression to supervisory positions within specific areas of expertise is possible with experience.
22313.03,"Avionics mechanics and technicians who work in maintenance hangars troubleshoot, repair, install and inspect aircraft systems and components."
22313.04,"Avionics inspectors, maintenance technicians and mechanics may acquire further endorsements to their AME licence allowing them to inspect and certify a broader range of aircraft and avionics systems."
22313.04,An AME licence can be obtained by fulfilling the education and training requirements as stated above and passing Transport Canada AME examinations.
22313.04,Progression to supervisory positions within specific areas of expertise is possible with experience.
30010.00,There is little or no mobility between departments in different medical specializations.
30010.00,Progression to senior management positions in health care services is possible with experience.
30010.00,"Managers in health care specialize in administering the provision of specific health care services such as dietetics, clinical medicine, laboratory medicine, nursing, physiotherapy or surgery."
31100.01,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.02,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.03,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.04,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.05,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.06,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.07,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.08,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.09,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.10,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.11,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.12,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.13,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31100.14,"Progression to management positions, such as director of laboratory medicine is possible with experience."
31101.01,"Progression to management positions, such as chief of surgery, is possible with experience."
31101.02,"Progression to management positions, such as chief of surgery, is possible with experience."
31101.03,"Progression to management positions, such as chief of surgery, is possible with experience."
31101.04,"Progression to management positions, such as chief of surgery, is possible with experience."
31101.05,"Progression to management positions, such as chief of surgery, is possible with experience."
31102.00,General practitioners and family physicians may become specialist physicians with additional training.
31103.00,The duties of veterinarians performing research may be similar to those of some biologists.
31103.00,"In its regulations, the 'Ordre des médecins vétérinaires du Québec (OMVQ)' recognizes only the following specialties: Animal behavioural medicine; Laboratory animal medicine; Large animal internal medicine; Large animal surgery; Pet internal medicine; Pet surgery; Veterinary anesthesiology; Veterinary clinical pathology; Veterinary dermatology; Veterinary emergency and intensive care; Veterinary medical imaging; Veterinary microbiology; Veterinary neurology; Veterinary oncology; Veterinary ophthalmology; Veterinary pathology; Veterinary theriogenology; and Zoological medicine."
31110.01,Certification by the National Dental Examining Board of Canada entitles dentists or graduates of approved dental programs to practise dentistry in any province in Canada provided requirements set out by the provincial and territorial licensing authorities are met.
31110.01,"Dentists, with further education, training and licensing, can specialize and practice in such areas as oral and maxillofacial surgery, orthodontics, pediatric dentistry, periodontics, endodontics, prosthodontics, oral pathology, oral radiology or public health dentistry."
31110.02,Certification by the National Dental Examining Board of Canada entitles dentists or graduates of approved dental programs to practise dentistry in any province in Canada provided requirements set out by the provincial and territorial licensing authorities are met.
31110.03,Certification by the National Dental Examining Board of Canada entitles dentists or graduates of approved dental programs to practise dentistry in any province in Canada provided requirements set out by the provincial and territorial licensing authorities are met.
31110.04,Certification by the National Dental Examining Board of Canada entitles dentists or graduates of approved dental programs to practise dentistry in any province in Canada provided requirements set out by the provincial and territorial licensing authorities are met.
31111.00,"Optometrists may specialize in fitting visual aids for people who are partially blind, fitting contact lenses or correcting special vision problems."
31112.01,"Progression into management positions, such as chief audiologist or director of speech-language pathology, is possible with experience."
31112.02,"Progression into management positions, such as chief audiologist or director of speech-language pathology, is possible with experience."
31121.00,"Dietitions and nutritionists are protected titles and used interchangeably in Nova Scotia, Quebec and Alberta. In these provinces, nutritionists require the same level of education and training as dietitians."
31121.00,"In some provinces, dietitians who work as Public Health Nutritionists and dietetic education program coordinators may require a Master’s degree."
31121.00,Dietitians and nutritionists may progress to management positions through additional experience.
31121.00,"Dietitians and nutritionists may specialize in areas such as administrative dietetics, clinical dietetics, community dietetics, public health nutrition or research dietetics."
31200.00,"Psychological associates may be granted permission by provincial regulatory authorities to perform duties normally restricted to psychologists, specifically diagnosing psychological disorders and communicating diagnoses to clients."
31200.00,"Sub-specialties include behavioural psychology, child psychology, cognitive psychology, developmental psychology, educational psychology, industrial psychology, neuropsychology, social psychology or sports psychology."
31201.00,The scope of practice of chiropractors varies by province.
31202.00,"Progression to management positions, such as director of physiotherapy, is possible through experience and additional training."
