Code de profil professionnel SIPeC,Etiquette
64400.00,Représentants/représentantes au service à la clientèle - institutions financières
64401.00,Représentants/représentantes des services postaux
64409.00,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
64410.01,Gardiens/gardiennes de sécurité
64410.02,Gardiens/gardiennes de voiture blindée
64410.03,Agents/agentes de sécurité d'entreprises
64410.04,Enquêteurs privés/enquêteuses privées
64410.05,Agents/agentes de prévention des vols
65100.00,Caissiers/caissières
65101.00,Préposés/préposées de stations-service
65102.00,"Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins"
65109.01,Distributeurs/distributrices et Démonstrateurs/démonstratrices
65109.02,Vendeurs/vendeuses de porte à porte
65109.03,Préposés/préposées à la sollicitation par téléphone et télévendeurs/télévendeuses
65200.00,Serveurs/serveuses d'aliments et de boissons
65201.01,Serveurs/serveuses au comptoir et préparateurs/préparatrices d'aliments
65201.02,Aides de cuisine
65201.03,Aides de services alimentaires
65201.04,Plongeurs/plongeuses
65202.00,Coupeurs/coupeuses de viande et poissonniers/poissonnières - commerce de gros et de détail
65210.01,Préposés/préposées aux services à la clientèle et porteurs/porteuses de bagages
65210.02,Préposés/préposées aux passagers à bord de navires et au service ferroviaire
65210.03,Travailleurs/travailleuses en installations
65211.01,Exploitants/exploitantes d'attraction foraine
65211.02,"Préposés/préposées dans les parcs d'attractions, les sports et les loisirs"
65220.00,Soigneurs/soigneuses d'animaux et travailleurs/travailleuses en soins des animaux
65229.00,Autre professions de soutien dans les services personnels
65310.01,Préposés/préposées à l'entretien ménager et au nettoyage - travaux légers
65310.02,Préposés/préposées à l'entretien ménager
65311.01,Nettoyeurs/nettoyeuses de tapis et de meubles rembourrés
65311.02,Ramoneurs/ramoneuses et Nettoyeurs/nettoyeuses au jet de sable
65311.03,Nettoyeurs/nettoyeuses de fournaises et de systèmes de ventilation
65311.04,Nettoyeurs/nettoyeuses de véhicules
65311.05,Nettoyeurs/nettoyeuses de vitres
65312.00,Concierges et nettoyeurs/nettoyeuses – gros travaux
65320.01,Opérateurs/opératrices de machines de nettoyage à sec et de blanchisseries
65320.02,Assembleurs/assembleuses et inspecteurs/inspectrices de machines de nettoyage à sec et de blanchisseries
65320.03,"Repasseurs/repasseuses, presseurs/presseuses et finisseurs/finisseuses"
65329.01,Préposés/préposées de salon de coiffure
65329.02,Portiers/portières
65329.03,Préposés/préposées de salon funéraire
65329.04,Préposés/préposées de laverie automatique
65329.05,Préposés/préposées de terrain de stationnement et préposés/préposées aux voitures
65329.06,Placeurs/placeuses et receveurs/receveuses de billets
65329.07,Autres travailleurs élémentaires/travailleuses élémentaires des services
70010.00,Directeurs/directrices de la construction
70011.00,Gestionnaires en construction et rénovation domiciliaire
70012.01,Directeurs/directrices d'exploitation d'immeubles
70012.02,Directeurs/directrices de l'entretien d'immeubles
70020.01,Directeurs/directrices des transports - opérations
70020.02,Directeurs/directrices des transports - mouvement du fret
70021.00,Directeurs/directrices des services postaux et de messageries
72010.00,"Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé"
72011.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en électricité et en télécommunications
72012.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en tuyauterie
72013.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en charpenterie
72014.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des autres métiers de la construction et des services de réparation et d'installation
72020.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en mécanique
72021.00,Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd
72022.00,Surveillants/surveillantes de l'imprimerie et du personnel assimilé
72023.00,Surveillants/surveillantes des opérations du transport ferroviaire
72024.00,Surveillants/surveillantes du transport routier et du transport en commun
72025.00,Superviseurs/superviseures de services postaux et de messageries
72100.01,Machinistes
72100.02,Vérificateurs/vérificatrices d'usinage et d'outillage
72101.01,Outilleurs-ajusteurs/outilleuses-ajusteuses
72101.02,Modeleurs/modeleuses sur métal et Moulistes de moules en métal
72102.00,Tôliers/tôlières
72103.00,Chaudronniers/chaudronnières
72104.00,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques
72105.00,Monteurs/monteuses de charpentes métalliques
72106.01,Soudeurs/soudeuses
72106.02,Opérateurs/opératrices de machines à souder et à braser
72200.00,Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques)
72201.00,Électriciens industriels/électriciennes industrielles
72202.00,Électriciens/électriciennes de réseaux électriques
72203.00,Monteurs/monteuses de lignes électriques et de câbles
72204.00,Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications
72205.01,Installateurs/installatrices et réparateurs/réparatrices de téléphones
72205.02,Installateurs/installatrices et réparateurs/réparatrices de réseaux commutés
72205.03,Vérificateurs/vérificatrices de services de télécommunications
72205.04,Techniciens/techniciennes en matériel de télécommunications
72205.05,Techniciens/techniciennes en montage d'installations de câblodistribution
72300.00,Plombiers/plombières
72301.01,Tuyauteurs/tuyauteuses et monteurs/monteuses d'appareils de chauffage
72301.02,Poseurs/poseuses de gicleurs
72302.00,Monteurs/monteuses d'installations au gaz
72310.00,Charpentiers-menuisiers/charpentières-menuisières
72311.00,Ébénistes
72320.00,Briqueteurs-maçons/briqueteuses-maçonnes
72321.00,Calorifugeurs/calorifugeuses
72400.01,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
72400.02,Mécaniciens/mécaniciennes et monteurs/monteuses de machines dans l'industrie du textile
72401.00,Mécaniciens/mécaniciennes d'équipement lourd
72402.00,"Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation"
72403.00,Réparateurs/réparatrices de wagons
72404.01,Mécaniciens/mécaniciennes d'aéronefs
72404.02,Contrôleurs/contrôleuses d'aéronefs
72405.00,Ajusteurs/ajusteuses de machines
72406.00,Constructeurs/constructrices et mécaniciens/mécaniciennes d'ascenseurs
72410.01,Mécaniciens/mécaniciennes de véhicules automobiles
72410.02,Réparateurs/réparatrices de véhicules automobiles
72410.03,Mécaniciens/mécaniciennes de camions et de remorques
72411.00,"Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages"
72420.00,Installateurs/installatrices de brûleurs à l'huile et à combustibles solides
72421.01,Réparateurs/réparatrices de petits appareils électroménagers
72421.02,Réparateurs/réparatrices de gros appareils électroménagers
72422.00,Électromécaniciens/électromécaniciennes
72423.01,"Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé"
72423.02,Technicien/technicienne de véhicules récréatifs
72429.00,Autres réparateurs/réparatrices de petits moteurs et de petits équipements
72500.00,Grutiers/grutières
72501.00,Foreurs/foreuses de puits d'eau
72600.01,Pilotes aériens
72600.02,Mécaniciens de bord
72600.03,Instructeurs/instructrices de vol
72601.01,Contrôleurs/contrôleuses de la circulation aérienne
72601.02,Agents/agentes de régulation des vols
72601.03,Spécialistes de l'information de vol
72602.00,Officiers/officières de pont du transport par voies navigables
72603.00,Officiers mécaniciens/officières mécaniciennes du transport par voies navigables
72604.01,Contrôleurs/contrôleuses de la circulation ferroviaire
72604.02,Régulateurs/régulatrices de la circulation maritime
72999.01,Armuriers/armurières
72999.02,Serruriers/serrurières
72999.03,Installateurs-réparateurs/installatrices-réparatrices de coffres-forts et de chambres fortes
72999.04,Ajusteurs/ajusteuses de scies
72999.05,Monteurs/monteuses de matrices
72999.06,Scaphandriers/scaphandrières
73100.00,Finisseurs/finisseuses de béton
73101.00,Carreleurs/carreleuses
73102.01,Plâtriers/plâtrières
73102.02,Poseurs/poseuses de systèmes intérieurs
73102.03,Latteurs/latteuses
73110.01,Couvreurs/couvreuses
73110.02,Poseurs/poseuses de bardeaux
73111.00,Vitriers/vitrières
73112.00,Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur)
73113.00,Poseurs/poseuses de revêtements d'intérieur
73200.00,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial"
73201.00,Préposés à l’entretien général et surintendants/surintendantes
73202.00,Fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine
73209.00,Autres réparateurs/réparatrices et préposés/préposées à l'entretien
73300.01,Conducteurs/conductrices de camions sur longue distance
73300.02,Conducteurs routiers/conductrices routières et conducteurs/conductrices de camions locaux
73301.01,Conducteurs/conductrices d'autobus et de tramways
73301.02,Conducteurs/conductrices d'autobus scolaires
73301.03,Opérateurs/opératrices de métro et de systèmes légers sur rail
73310.01,Mécaniciens/mécaniciennes de locomotive
73310.02,Mécaniciens/mécaniciennes de locomotive de cour de triage
73311.01,Chefs de train
73311.02,Serre-freins
73400.00,Conducteurs/conductrices d'équipement lourd
73401.00,Opérateurs/opératrices de presses à imprimer
73402.01,"Foreurs/foreuses de mines à ciel ouvert, de carrières et de chantiers de construction"
73402.02,"Dynamiteurs/dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction"
74100.01,Trieurs/trieuses de courrier
74100.02,Commis à la salle du courrier
74101.00,Facteurs/factrices
74102.00,Messagers/messagères
74200.01,Ouvriers/ouvrières de gare de triage du transport ferroviaire
74200.02,Ouvriers/ouvrières à l'entretien de la voie ferrée
74201.01,Matelots de salle des machines du transport par voies navigables
74201.02,Matelots de pont du transport par voies navigables
74202.00,Agents/agentes de piste dans le transport aérien
74203.00,Préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds
74204.01,Personnel d'entretien des canalisations d'eau
74204.02,Personnel d'entretien des canalisations de gaz
74205.00,Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé
75100.00,Débardeurs/débardeuses
75101.01,Manutentionnaires qui travaillent manuellement
75101.02,Manutentionnaires qui utilisent des appareils de manutention
75110.00,Aides de soutien des métiers et manoeuvres en construction
75119.00,Autres manoeuvres et aides de soutien de métiers
75200.01,Chauffeurs/chauffeuses de taxi et de limousine
75200.02,Chauffeurs/chauffeuses
75201.00,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75210.01,Personnel des écluses
75210.02,Conducteurs/conductrices de bacs à câble
75210.03,Ouvriers/ouvrières au débarcadère de traversiers
75210.04,Opérateurs de bateaux
75211.01,Manoeuvres dans le transport ferroviaire
75211.02,Manoeuvres dans le transport routier
75212.00,Manoeuvres à l'entretien des travaux publics
80010.00,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche
80020.00,Gestionnaires en agriculture
80021.00,Gestionnaires en horticulture
80022.00,Gestionnaires en aquaculture
82010.00,Surveillants/surveillantes de l'exploitation forestière
82020.00,Surveillants/surveillantes de l'exploitation des mines et des carrières
82021.00,Entrepreneurs/entrepreneuses et surveillants/surveillantes du forage et des services reliés à l'extraction de pétrole et de gaz
82030.01,Entrepreneurs/entrepreneuses de services agricoles
82030.02,Surveillants/surveillantes d’exploitations agricoles
82031.00,"Entrepreneurs/entrepreneuses et superviseurs/superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture"
83100.00,"Mineurs/mineuses d'extraction et de préparation, mines souterraines"
83101.01,Foreurs/foreuses et personnel à l'entretien des puits de pétrole et de gaz
83101.02,Travailleurs/travailleuses en diagraphie et en mise à l'essai des puits et travailleurs assimilés/travailleuses assimilées
83110.00,Conducteurs/conductrices de machines d'abattage d'arbres
83120.00,Capitaines et officiers/officières de bâtiments de pêche
83121.00,Pêcheurs indépendants/pêcheuses indépendantes
84100.00,Travailleurs/travailleuses d'entretien et de soutien des mines souterraines
84101.01,Travailleurs/travailleuses au forage de puits de pétrole et de gaz
84101.02,Travailleurs/travailleuses à l'entretien de puits de pétrole et de gaz
84110.00,Opérateurs/opératrices de scies à chaîne et d'engins de débardage
84111.00,Ouvriers/ouvrières en sylviculture et en exploitation forestière
84120.01,Ouvriers spécialisés/ouvrières spécialisées dans l'élevage du bétail
84120.02,Opérateurs/opératices de machineries agricoles
84121.00,Matelots de pont sur les bateaux de pêche
85100.00,Manoeuvres aux soins du bétail
85101.00,Manoeuvres à la récolte
85102.00,Manoeuvres de l'aquaculture et de la mariculture
85103.00,Manoeuvres de pépinières et de serres
85104.00,Trappeurs/trappeuses et chasseurs/chasseuses
85110.00,Manoeuvres des mines
85111.00,"Manoeuvres de forage et d'entretien des puits de pétrole et de gaz, et personnel assimilé"
85120.00,Manoeuvres de l'exploitation forestière
85121.00,Manoeuvres en aménagement paysager et en entretien des terrains
90010.00,Directeurs/directrices de la fabrication
90011.01,Directeurs/directrices du service des eaux
90011.02,Directeurs/directrices de réseaux de distribution d'électricité
90011.03,Directeurs/directrices de l'approvisionnement en gaz naturel et Directeurs/directrices de la distribution de produits pétroliers
90011.04,Directeurs/directrices de services de lutte contre la pollution de l'eau
90011.05,Directeurs/directrices de systèmes de gestion des déchets
92010.00,Surveillants/surveillantes dans la transformation des métaux et des minerais
92011.00,"Surveillants/surveillantes dans le raffinage du pétrole, dans le traitement du gaz et des produits chimiques et dans les services d'utilité publique"
92012.00,Surveillants/surveillantes dans la transformation des aliments et des boissons
92013.00,Surveillants/surveillantes dans la fabrication de produits en caoutchouc et en plastique
92014.00,Surveillants/surveillantes dans la transformation des produits forestiers
92015.00,"Surveillants/surveillantes dans la transformation et la fabrication de produits textiles, de tissus, de fourrure et de cuir"
92020.00,Surveillants/surveillantes dans la fabrication de véhicules automobiles
92021.00,Surveillants/surveillantes dans la fabrication de matériel électronique et d'appareils électriques
92022.00,Surveillants/surveillantes dans la fabrication de meubles et d'accessoires
92023.00,Surveillants/surveillantes dans la fabrication d'autres produits métalliques et de pièces mécaniques
92024.00,Surveillants/surveillantes dans la fabrication et le montage de produits divers
92100.01,Mécaniciens/mécaniciennes de centrales
92100.02,Opérateurs/opératrice de réseaux électriques
92101.01,Opérateurs/opératrices d'installations du traitement de l'eau
92101.02,Opérateurs/opératrices d'installations du traitement des déchets liquides
93100.00,Opérateurs/opératrices de poste central de contrôle et de conduite de procédés industriels dans le traitement des métaux et des minerais
93101.00,Opérateurs/opératrices de salle de commande centrale et de conduite de procédés industriels dans le raffinage du pétrole et le traitement du gaz et des produits chimiques
93102.00,"Opérateurs/opératrices au contrôle de la réduction en pâte des pâtes et papiers, de la fabrication du papier et du couchage"
93200.01,Monteurs/monteuses d'aéronefs
93200.02,Contrôleurs/contrôleuses du montage d'aéronefs
94100.00,Opérateurs/opératrices de machines dans le traitement des métaux et des minerais
94101.01,Mouleurs/mouleuses et Noyauteurs/noyauteuses
94101.02,Fondeurs/fondeuses de métaux
94101.03,Opérateurs/opératrices de fours de fonderie
94102.01,Opérateurs/opératrices de matériel de régulation des procédés de fabrication de verre
94102.02,Opérateurs/opératrices de machines à former le verre
94102.03,Opérateurs/opératrices de machines à finir le verre
94102.04,Coupeurs/coupeuses de verre
94103.01,Opérateurs/opératrices de machines et travailleurs/travailleuses en façonnage et en finition de produits en béton
94103.02,Opérateurs/opératrices de machines à façonner et à finir des produits en argile
94103.03,Travailleurs spécialisés/travailleuses spécialisées dans le façonnage et la finition de la pierre
94104.00,Contrôleurs/contrôleuses et essayeurs/essayeuses dans la transformation des métaux et des minerais
94105.01,Opérateurs/opératrices de machines à travailler les métaux légers et lourds
94105.02,Opérateurs/opératrices de machines à forger
94106.00,Opérateurs/opératrices de machines d'usinage
94107.00,Opérateurs/opératrices de machines d'autres produits métalliques
94110.00,Opérateurs/opératrices d'installations de traitement des produits chimiques
94111.01,Opérateurs/opératrices de malaxeur - plasturgie
94111.02,Opérateurs/opératrices de calandre - plasturgie
94111.03,Opérateurs/opératrices de machines à extruder - plasturgie
94111.04,Opérateurs/opératrices de machines à mouler - plasturgie
94112.01,Opérateurs/opératrices de machines de transformation du caoutchouc
94112.02,Assembleurs/assembleuses d'articles en caoutchouc
94112.03,Vérificateurs/vérificatrices d'articles en caoutchouc
94120.00,Opérateurs/opératrices de machines à scier dans les scieries
94121.00,Opérateurs/opératrices de machines dans la fabrication et la finition du papier dans les usines de pâte à papier
94122.00,Opérateurs/opératrices de machines à façonner le papier
94123.01,Classeurs/classeuses de bois d'œuvre
94123.02,Autres vérificateurs/vérificatrices et classeurs/classeuses dans la transformation du bois
94124.00,Opérateurs/opératrices de machines à travailler le bois
94129.00,Autres opérateurs/opératrices de machines dans la transformation du bois
94130.01,"Opérateurs/opératrices de machines de traitement des fibres et des fils textiles, du cuir et des peaux"
94130.02,"Teinturiers/teinturières et finisseurs/finisseuses de produits textiles, de cuirs et de peaux"
94131.00,"Tisseurs/tisseuses, tricoteurs/tricoteuses et autres opérateurs/opératrices de machines textiles"
94132.00,Opérateurs/opératrices de machines à coudre industrielles
94133.00,"Contrôleurs/contrôleuses et trieurs/trieuses dans la fabrication de produits textiles, de tissus, de fourrure et de cuir"
94140.01,Opérateurs/opératrices de procédés industriels dans la transformation des aliments et des boissons
94140.02,Opérateurs/opératrices de machines dans la transformation des aliments et des boissons
94141.01,Bouchers industriels/bouchères industrielles
94141.02,Découpeurs/découpeuses de viande industrielle
94141.03,Préparateurs/préparatrices de volaille
94142.01,Opérateurs/opératrices de machines dans les usines de transformation du poisson et de fruits de mer
94142.02,Nettoyeurs-coupeurs/nettoyeuses-coupeuses de poisson et de fruits de mer dans les usines de transformation du poisson et de fruits de mer
94143.00,Échantillonneurs/échantillonneuses et trieurs/trieuses dans la transformation des aliments et des boissons
94150.00,Opérateurs/opératrices d'équipement d'impression sans plaque
94151.01,"Cadreurs/cadreuses graphiques, les scannéristes, les pelliculeurs et les assembleurs"
94151.02,Acidograveurs et les graveurs
94151.03,"Techniciens/Techniciennes de prépresse, les clicheurs, les tireurs d'épreuves photographiques, et les opérateurs d’équipement de prémise en train et à la préparation de dossiers"
94152.00,Opérateurs/opératrices de machines à relier et de finition
94153.00,Développeurs/développeuses de films et de photographies
94200.01,Assembleurs/assembleuses de véhicules automobiles
94200.02,Contrôleurs/contrôleuses et vérificateurs/vérificatrices de véhicules automobiles
94201.01,Assembleurs/assembleuses de matériel électronique
94201.02,Contrôleurs et les vérificateurs de matériel électronique
94202.01,"Monteurs/monteuses  dans la fabrication de matériel, d'appareils et d'accessoires électriques"
94202.02,"Contrôleurs/contrôleuses dans la fabrication de matériel, d'appareils et d'accessoires électriques"
94203.01,"Assembleurs/assembleuses,  dans la fabrication de transformateurs et de moteurs électriques industriels"
94203.02,Ajusteurs et câbleurs dans la fabrication de transformateurs et de moteurs électriques industriels
94203.03,Vérificateurs dans la fabrication de transformateurs et de moteurs électriques industriels
94204.01,Monteurs/monteuses de matériel mécanique
94204.02,Contrôleurs/contrôleuses de matériel mécanique
94205.01,Opérateurs/opératrices de machines dans la fabrication d'appareils électriques
94205.02,Contrôleurs/contrôleuses et essayeurs/essayeuses dans la fabrication d'appareils électriques
94210.01,Monteurs/monteuses de meubles et d'accessoires
94210.02,Finisseurs de meubles
94210.03,Restaurateurs/Restauratrices de meubles
94210.04,Contrôleurs/contrôleuses de meubles et d'accessoires
94211.01,Monteurs/monteuses d'autres produits en bois
94211.02,Contrôleurs/contrôleuses d'autres produits en bois
94212.01,Assembleurs/assembleuses et finisseurs/finisseuses de produits en plastique
94212.02,Contrôleurs/contrôleuses de produits en plastique
94213.01,Peintres et enduiseurs/enduiseuses – secteur industriel
94213.02,Opérateurs/opératrices d'équipement de métallisation et de galvanisation et personnel assimilé
94219.01,Monteurs/monteuses et finisseurs/finisseuses de produits divers
94219.02,Contrôleurs/controlleuses de produits divers
95100.00,Manoeuvres dans le traitement des métaux et des minerais
95101.00,Manoeuvres en métallurgie
95102.00,Manoeuvres dans le traitement des produits chimiques et les services d'utilité publique
95103.00,Manoeuvres dans le traitement des pâtes et papiers et la transformation du bois
95104.00,Manoeuvres dans la fabrication des produits en caoutchouc et en plastique
95105.01,Manoeuvres des produits du textile
95105.02,Coupeurs/coupeuses de tissu
95105.03,Coupeurs/coupeuses de fourrure
95105.04,Coupeurs/coupeuses de cuir
95106.00,Manoeuvres dans la transformation des aliments et des boissons
95107.00,Manoeuvres dans la transformation du poisson et des fruits de mer
95109.00,"Autres manoeuvres des services de transformation, de fabrication et d'utilité publique"
