Code de profil professionnel SIPeC,Etiquette
21300.00,Ingénieurs civils/ingénieures civiles
21301.00,Ingénieurs mécaniciens/ingénieures mécaniciennes
21310.00,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes
21311.01,Ingénieurs informaticiens/ingénieures informaticiennes et ingénieurs/ingénieures en matériel de télécommunications
21311.02,Ingénieurs/ingénieures en systèmes de réseaux et ingénieurs/ingénieures de la communication de données
21320.00,Ingénieurs chimistes/ingénieures chimistes
21321.00,Ingénieurs/ingénieures d'industrie et de fabrication
21322.00,Ingénieurs/ingénieures métallurgistes et des matériaux
21330.00,Ingénieurs miniers/ingénieures minières
21331.00,Ingénieurs/ingénieures géologiques
21332.00,Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole
21390.00,Ingénieurs/ingénieures en aérospatiale
21399.01,Ingénieurs agricoles/ingénieures agricoles et en bio-ressources
21399.02,Ingénieurs biomédicaux/ingénieures biomédicales
21399.03,Ingénieurs physiciens/ingénieures physiciennes et scientifiques en génie
21399.04,Ingénieurs navals/ingénieures navales
21399.05,Ingénieurs/ingénieures en textiles
22100.01,Technologues en chimie
22100.02,Techniciens/techniciennes en chimie
22101.01,Technologues en géologie et en minéralogie
22101.02,Techniciens/techniciennes en géologie et en minéralogie
22110.01,Technologues en biologie
22110.02,Techniciens/techniciennes en biologie
22111.01,Inspecteurs/inspectrices du poisson et des produits de la pêche
22111.02,Inspecteurs/inspectrices de fruits et de légumes
22111.03,Inspecteurs/inspectrices de produits céréaliers
22111.04,Inspecteurs/inspectrices de viandes
22111.05,Inspecteurs/inspectrices en protection des végétaux
22112.00,Technologues et techniciens/techniciennes en sciences forestières
22113.00,Techniciens/techniciennes du milieu naturel et de la pêche
22114.01,Spécialistes des arbres et des arbustes et techniciens/techniciennes en service d'entretien d'arbres
22114.02,Responsables de l'entretien d'un terrain de golf
22114.03,Horticulteurs/horticultrices
22114.04,"Concepteurs-paysagistes/conceptrices-paysagistes, techniciens/techniciennes et technologues en architecture paysagère"
22114.05,Jardiniers-paysagistes/jardinières-paysagistes
22114.06,Paysagistes
22114.07,Spécialistes de pelouses
22210.00,Technologues et techniciens/techniciennes en architecture
22211.00,Designers industriels/designers industrielles
22212.01,Technologues en dessin
22212.02,Techniciens/techniciennes en dessin
22213.01,Technologues en arpentage et en techniques géodésiques
22213.02,Techniciens/techniciennes en arpentage et en techniques géodésiques
22214.01,Technologues et techniciens/techniciennes en cartographie
22214.02,Technologues et techniciens/techniciennes en photogrammétrie
22214.03,Technologues et techniciens en levés aériens et en télédétection
22214.04,Technologues et techniciens/techniciennes en systèmes d'information géographique (SIG)
22214.05,Technologues et techniciens/techniciennes en météorologie
22220.01,Opérateurs/opératrices en informatique et opérateurs/opératrices de réseau
22220.02,Techniciens/techniciennes Web
22221.00,Agents/agentes de soutien aux utilisateurs
22222.00,Évaluateurs/évaluatrices de systèmes informatiques
22230.00,Vérificateurs/vérificatrices et inspecteurs/inspectrices des essais non destructifs
22231.01,Inspecteurs/inspectrices des anomalies des véhicules motorisés
22231.02,Enquêteurs/enquêteuses d'accidents ferroviaires
22231.03,Inspecteurs/inspectrices de la navigabilité aérienne
22231.04,Inspecteurs/inspectrices des poids et mesures
22231.05,Vérificateurs/vérificatrices d'appareils de forage de pétrole et de gaz
22232.00,Spécialistes de l'hygiène et de la sécurité au travail
22233.00,Inspecteurs/inspectrices en construction
22300.01,Technologues en génie civil
22300.02,Techniciens/techniciennes en génie civil
22301.01,Technologues en génie mécanique
22301.02,Techniciens/techniciennes en génie mécanique
22302.01,Technologues en génie industriel et en génie de fabrication
22302.02,Techniciens/techniciennes en génie industriel et en génie de fabrication
22303.00,Estimateurs/estimatrices en construction
22310.01,Technologues en génie électronique et électrique
22310.02,Techniciens/techniciennes en génie électronique et électrique
22311.00,Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
22312.00,Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels
22313.01,Mécaniciens/mécaniciennes et techniciens/techniciennes d'instruments d'aéronefs
22313.02,Mécaniciens/mécaniciennes et techniciens/techniciennes en équipement électrique d'aéronef
22313.03,Mécaniciens/mécaniciennes et techniciens/techniciennes en avionique
22313.04,Inspecteurs/inspectrices en avionique
