Code SIPeC - Final,Etiquette SIPeC - Final,Estimation des caracteristiques quantifiables,Obtention d'information,"Identification d'objets, d'actions et d'evenements","Inspection d'equipements, de structures ou de materiaux","Surveillance de processus, de materiels ou d'environnements",Controler des machines et des processus,Developper des instructions techniques,Taches administratives,Entretien electronique,Manipuler et deplacer des objets,Utiliser des ordinateurs,Gerer des ressources,Entretien mecanique,"Manoeuvrer des vehicules, appareils ou equipements mecaniques",Performer des activites physiques,Traiter de l'information,Analyser des donnees ou de l'information,Elaborer des objectifs et des strategies,Evaluer l'information pour verifier la conformite,Juger de la qualite,Prendre des decisions,Planifier et organiser,Etablissement du calendrier du travail et des activites,Pensee creative,Appliquer de nouvelles connaissances,Offrir du soutien et soins a d'autres personnes,Encadrer et former des personnes,Communiquer avec des gens de l'exterieur de l'organisation,Communiquer avec les collegues de travail,Coordonner le travail et les activites d'autres personnes,Etablir et maintenir des relations interpersonnelles,Interpreter l'information pour d'autres personnes,Executer  taches pour  public ou travailler directement,Fournir des conseils et avis,Resoudre des conflits et negocier avec d'autres personnes,Vendre ou influencer d'autres personnes,Mener des activites de dotation,Superviser des subalternes,Developper une equipe,Former et enseigner
11101.01,Analystes financiers/analystes financières,5,4,5,1,4,0,0,3,0,0,4,3,0,0,0,5,5,3,5,4,3,3,1,4,3,3,2,3,4,2,3,3,1,3,2,3,1,1,1,1
11101.02,Analystes en placements,5,4,5,1,4,0,0,3,0,0,4,3,0,0,0,5,5,3,5,4,3,3,3,4,3,3,2,3,4,2,3,4,2,3,2,3,1,1,1,1
11102,Conseillers financiers/conseillères financières,3,5,3,0,3,0,0,4,0,0,3,3,0,0,0,4,5,5,5,4,5,3,3,3,4,3,3,5,4,3,4,4,3,5,3,5,3,3,3,2
11103.01,Agents/agentes en valeurs et agents/agentes en placements,3,4,3,0,2,0,0,3,0,0,4,2,0,0,0,3,4,4,4,4,4,3,3,2,3,3,2,3,4,2,3,3,3,3,3,5,2,2,2,1
11103.02,Négociateurs/négociatrices en valeurs,3,3,3,0,2,0,0,3,0,0,5,3,0,0,0,3,3,3,3,2,3,3,1,2,3,3,2,3,4,2,3,3,2,3,2,4,2,1,1,2
11109.01,Inspecteurs/inspectrices et vérificateurs financiers/vérificatrices financières,3,5,3,0,3,0,0,4,0,0,3,3,0,0,0,3,5,3,5,4,4,3,3,2,4,3,4,5,4,4,3,4,1,3,3,3,2,3,3,3
11109.02,Investigateurs financiers/investigatrices financières,3,5,4,0,3,0,0,4,0,0,4,3,0,0,0,4,4,4,5,4,3,3,4,3,4,3,4,4,4,4,4,4,2,4,4,3,3,4,3,3
11109.03,Preneurs/preneuses ferme,3,5,4,1,3,0,0,4,0,0,4,4,0,0,0,4,4,3,5,4,3,3,4,2,4,3,4,4,4,4,4,4,2,4,4,4,3,4,3,3
11109.04,Agents/agentes de fiducie,3,4,4,1,3,0,0,3,0,0,3,4,0,0,0,4,5,4,5,4,4,4,4,3,4,3,4,4,4,4,4,4,2,3,4,4,2,3,3,3
11109.05,Courtiers/courtières en hypothèques,2,4,3,0,2,0,0,3,0,0,3,3,0,0,0,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,1,2,2,2
11200,Professionnels/professionnelles en ressources humaines,2,4,3,0,1,0,0,3,0,0,3,2,0,0,0,4,5,3,4,3,3,5,3,3,3,3,3,3,4,2,4,3,1,4,4,3,3,3,3,3
11201,Professionnels/professionnelles des services-conseils en gestion aux entreprises,5,5,4,2,5,0,0,4,0,0,3,4,0,0,0,5,5,5,4,5,5,5,5,4,4,3,4,5,5,5,5,5,4,5,5,5,4,4,5,3
11202,"Professionnels/professionnelles en publicité, en marketing et en relations publiques",3,4,2,1,2,0,0,3,0,1,3,3,0,0,1,3,4,4,2,3,3,5,4,4,4,3,4,5,5,3,5,4,3,5,4,5,3,3,3,3
12010,Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,3,3,2,2,3,0,0,3,1,1,3,3,0,0,1,3,2,2,3,2,3,3,3,2,3,3,4,3,3,3,3,2,2,3,4,3,4,5,3,3
12011,Superviseurs/superviseures de commis de finance et d'assurance,3,3,3,2,3,0,0,3,1,1,3,3,0,0,1,3,3,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,4,4,3,3
12012,"Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",3,3,3,2,3,0,0,3,1,1,3,3,0,0,1,3,3,3,3,3,3,3,3,3,3,3,4,2,3,4,3,3,2,3,4,3,4,5,3,3
12013,"Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",3,3,2,2,3,0,0,3,1,2,3,3,2,2,2,3,3,3,3,2,3,3,4,2,3,3,4,2,3,4,3,2,2,3,4,3,3,4,4,3
12100,Adjoints/adjointes de direction,2,5,2,1,2,2,1,2,2,1,3,2,3,5,3,3,3,2,5,1,0,1,2,5,3,3,2,1,3,3,3,3,3,3,3,2,2,2,2,2
12101,Agents/agentes des ressources humaines et de recrutement,1,3,3,0,2,0,0,3,0,1,3,2,0,0,0,3,3,2,3,3,3,3,3,2,3,3,3,3,4,2,3,3,2,4,4,2,4,2,2,2
12102,Agents/agentes en approvisionnement aux achats,3,3,3,2,3,0,0,3,0,0,2,5,0,0,1,3,4,2,3,3,3,3,3,3,3,2,3,4,4,3,3,3,2,3,4,3,4,3,2,3
12103,Planificateurs/planificatrices de congrès et d'événements,3,4,3,2,3,2,1,3,1,2,3,4,1,1,3,3,3,3,2,3,3,5,5,4,3,3,3,5,3,5,4,3,5,3,5,5,3,4,4,3
12104.01,Agents/agentes de taxes d'accise,2,4,2,0,3,0,0,4,0,1,3,1,0,0,1,4,3,2,4,3,3,3,3,2,3,2,2,4,3,2,3,3,3,2,3,1,1,1,2,2
12104.02,Agents/agentes de services de prestations gouvernementales,1,3,2,0,3,0,0,3,0,0,2,0,0,0,0,3,3,1,4,2,2,3,2,0,3,3,1,3,3,1,3,3,4,1,3,0,1,1,2,1
12110.01,Sténographes judiciaires,1,3,2,2,2,0,0,5,1,1,3,0,0,0,0,3,1,1,3,1,1,3,0,0,4,1,0,3,3,1,2,2,3,0,1,0,0,0,0,0
12110.02,Transcripteurs médicaux/transcriptrices médicales,0,3,1,0,0,0,0,3,0,1,2,0,0,0,0,3,1,1,1,1,1,2,1,0,2,1,0,1,2,1,2,1,0,0,1,0,0,0,1,0
12111,Personnel en gestion de l’information sur la santé,0,3,2,0,2,0,0,4,0,0,3,1,0,0,0,4,3,1,3,1,2,3,1,2,3,1,1,2,3,1,2,2,2,1,1,0,0,2,2,1
