Code,Nom,Type de Structure,Categorie,Description
A02a03,Force dynamique,Descripteur,Habiletés,L’habileté d’exercer une force musculaire de façon répétée ou continue. Cela implique une endurance musculaire et une résistance à la fatigue musculaire. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A02a04,Force explosive,Descripteur,Habiletés,"L’habileté d'exercer de brèves impulsions de force musculaire pour se propulser, (sauter ou sprinter), pour lancer un objet ou pour appliquer une force à l'aide d'un outil. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A02b,"Flexibilité, équilibre et coordination",Groupe de similitudes,Habiletés,
A02b01,Coordination de plusieurs membres,Descripteur,Habiletés,"L’habileté de coordonner deux ou plusieurs membres, tels que deux bras, deux jambes, ou une jambe et un bras, tout en étant en position assise, debout ou allongée. Cela ne comprend pas l’exécution des activités pendant que le corps entier est en mouvement. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A02b02,Coordination globale du corps,Descripteur,Habiletés,"L’habileté de coordonner les mouvements des bras, des jambes et du torse lorsque l’ensemble du corps est en mouvement. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A02b03,Équilibre global du corps,Descripteur,Habiletés,L’habileté de maintenir ou de rétablir l’équilibre du corps ou de rester debout lorsque l’on est dans une position instable. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A02b04,Flexibilité corporelle,Descripteur,Habiletés,"L’habileté de se pencher, s'étirer, se tourner ou atteindre quelque chose avec le corps, les bras et/ou les jambes. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A02b05,Souplesse dynamique,Descripteur,Habiletés,"L’habileté à se pencher, s'étirer, se tourner ou s'étirer les bras, les jambes ou le corps rapidement et de façon répétée. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A02c,Endurance,Groupe de similitudes,Habiletés,
A02c01,Endurance,Descripteur,Habiletés,L’habileté d’effectuer des activités physiques intenses pendant de longues périodes sans s’essouffler. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A03,Habiletés psychomotrices,Sous-Categorie,Habiletés,Habiletés nécessaires pour manipuler et contrôler des objets.
A03a,Habiletés de manipulations fines,Groupe de similitudes,Habiletés,
A03a01,Stabilité des bras et des mains,Descripteur,Habiletés,L’habilité de garder la main et le bras stables tout en les déplaçant ou en les maintenant dans une position précise. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
