OaSIS profile code,Employment requirement
11100.02,"Chartered professional accountants, chartered accountants (CPA, CA) require a university degreeandcompletion of a professional training program approved by a provincial Institute of Chartered Accountants and, depending on the province, either two years or 30 months of on-the-job training andmembership in a provincial Institute of Chartered Accountants upon successful completion of the Uniform Evaluation (UFE)."
11100.02,"Chartered professional accountants, certified general accountants (CPA, CGA) and chartered professional accountants, certified management accountants (CPA, CMA) require a university degree andcompletion of an approved training program and several years of on-the-job training andcertification with a regulatory body is required in all provinces and territories."
11100.02,"To act as a trustee in bankruptcy proceedings, auditors and accountants must hold a licence as a trustee in bankruptcy."
11100.02,Licensing by the provincial or territorial governing body is usually required for accountants and auditors practising public accounting.
11101.01,"A bachelor's degree in commerce, business administration, accounting, finance or economics andon-the-job training and industry courses and programs are usually required."
11101.01,A master's degree in business administration (MBA) (concentration in finance) or in finance may be required.
11101.01,"The Chartered Financial Analyst (CFA) designation, available through a program conducted by the CFA Institute or an other recognized financial designations (CFP, CIM or others), is usually required."
11101.01,"Other designations, such as Chartered Professional Accountant (CPA) and Certified Treasury Professional (CTP), may be required by some employers."
11101.02,"A bachelor's degree in commerce, business administration, accounting, finance or economics andon-the-job training and industry courses and programs are usually required."
11101.02,A master's degree in business administration (MBA) (concentration in finance) or in finance may be required.
11101.02,"Other designations, such as Chartered Professional Accountant (CPA) and Certified Treasury Professional (CTP), may be required by some employers."
11102.00,"A bachelor's degree in business administration, commerce, economics or a related field is usually required."
11102.00,"The designation Certified Financial Planner, awarded by the Financial Planners Standards Council of Canada, may be required."
11102.00,"To sell regulated financial products and investments, such as annuities, RRSPs and life insurance, a licence is required from the appropriate governing body."
11102.00,Certification as a Financial Planner is required in Quebec.
11102.00,"Various training programs and courses are offered by financial institutes and organizations, such as the Canadian Securities Institute, Institute of Canadian Bankers, CFA Institute, Investment Funds Institute, Canadian Institute of Financial Planning, and Trust Companies Institute of Canada, and may be required by employers."
11103.01,"A bachelor's or master's degree in economics, business or other discipline is usually required."
11103.01,"A recognized financial designation may be required (CFA, CFP, CIM or others)."
11103.01,"Securities sales representatives and brokers require completion of industry investment and sales training programs and completion of licensing courses such as the Canadian Securities Course and the Conduct and Practices Handbook Course offered by the Canadian Securities Institute, or acceptable alternatives such as completion of one or more levels of the CFA Program, offered by CFA Institute."
11103.01,Specialized courses are also available for securities sales representatives and brokers who want to trade in specific investment products such as securities options and futures contracts.
11103.01,"Licensure by the provincial securities commission in the province of employment or a recognized self-regulatory organization is required for securities agents, investment dealers and brokers."
11103.02,"A bachelor's or master's degree in economics, business or other discipline is usually required."
11103.02,"A recognized financial designation may be required (CFA, CFP, CIM or others)."
11103.02,"Securities sales representatives and brokers require completion of industry investment and sales training programs and completion of licensing courses such as the Canadian Securities Course and the Conduct and Practices Handbook Course offered by the Canadian Securities Institute, or acceptable alternatives such as completion of one or more levels of the CFA Program, offered by CFA Institute."
11103.02,Specialized courses are also available for securities sales representatives and brokers who want to trade in specific investment products such as securities options and futures contracts.
11103.02,"Licensure by the provincial securities commission in the province of employment or a recognized self-regulatory organization is required for securities agents, investment dealers and brokers."
11109.01,"A bachelor's degree in business administration, commerce, economics or a related field is usually required."
11109.01,"Various training programs and courses are offered by financial institutes and organizations, such as the Canadian Securities Institute, Institute of Canadian Bankers, CFA Institute, Investment Funds Institute and Trust Companies Institute of Canada, and may be required by employers."
11109.01,"A recognized financial designation may be required (CFA, CIM or others)."
11109.01,Financial examiners and inspectors may require a recognized accounting designation.
11109.02,"A bachelor's degree in business administration, commerce, economics or a related field is usually required."
11109.02,"Various training programs and courses are offered by financial institutes and organizations, such as the Canadian Securities Institute, Institute of Canadian Bankers, CFA Institute, Investment Funds Institute and Trust Companies Institute of Canada, and may be required by employers."
11109.02,"A recognized financial designation may be required (CFA, CIM or others)."
11109.03,"A bachelor's degree in business administration, commerce, economics or a related field is usually required."
11109.03,"Various training programs and courses are offered by financial institutes and organizations, such as the Canadian Securities Institute, Institute of Canadian Bankers, CFA Institute, Investment Funds Institute and Trust Companies Institute of Canada, and may be required by employers."
11109.03,"A recognized financial designation may be required (CFA, CIM or others)."
11109.04,"A bachelor's degree in business administration, commerce, economics or a related field is usually required."
11109.04,"Various training programs and courses are offered by financial institutes and organizations, such as the Canadian Securities Institute, Institute of Canadian Bankers, CFA Institute, Investment Funds Institute and Trust Companies Institute of Canada, and may be required by employers."
11109.04,"A recognized financial designation may be required (CFA, CIM or others)."
11109.05,"A bachelor's degree in business administration, commerce, economics or a related field is usually required."
11109.05,"Various training programs and courses are offered by financial institutes and organizations, such as the Canadian Securities Institute, Institute of Canadian Bankers, CFA Institute, Investment Funds Institute and Trust Companies Institute of Canada, and may be required by employers."
11109.05,"A recognized financial designation may be required (CFA, CIM or others)."
11109.05,"Mortgage brokers require a mortgage broker licence in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Newfoundland and Labrador and Nova Scotia."
11200.00,"A university degree or college diploma in human resources management or a related field, such as business administration, industrial relations, commerce or psychology orcompletion of a professional development program in human resources administration is required."
11200.00,Some employers may require human resources professionals to hold a Certified Human Resources Professional (CHRP) designation.
11201.00,"A bachelor's degree or college diploma in business administration, commerce or a related discipline is usually required."
11201.00,A graduate degree in business administration may be required.
11201.00,Some establishments may require management consultants to be certified by a provincial management consulting association.
11201.00,Certification as a quality auditor may be required for some occupations in this unit group.
11201.00,Occupations in health information management consulting may require certification by the Canadian Health Information Management Association (CHIMA).
11202.00,"A university degree or college diploma in business marketing, public relations, communications, journalism, museology or a discipline related to a particular subject matter is usually required."
11202.00,Practitioners in public relations may require an APR (Accredited in Public Relations) designation.
12010.00,Completion of secondary school is required.
12010.00,Completion of college courses related to area supervised is usually required.
12010.00,Experience in the occupation supervised is usually required.
12011.00,"Completion of a college program or courses in bookkeeping, accounting or a related subject is required."
12011.00,Experience in the clerical occupation supervised is required.
12012.00,Completion of secondary school is required.
12012.00,Completion of college courses related to area supervised may be required.
12012.00,Experience in the clerical occupation supervised is usually required.
12013.00,"Completion of a post-secondary education program of two to three years in business, supply chain, production or manufacturing management and related is usually required."
12013.00,Several years of experience in the occupation supervised are usually required.
12100.00,Completion of secondary school is required.
12100.00,"A bachelor's degree in public administration, political science or a related discipline is usually required."
12100.00,Experience in a related administrative occupation is usually required.
12101.00,"A college diploma in a field related to personnel management such as business administration, industrial relations, commerce or completion of a professional development program in personnel administration is usually required."
12101.00,Certification as a Certified Human Resources Professional (CHRP) may be required.
12101.00,Some experience in a clerical or administrative position related to personnel administration may be required.
12102.00,"Procurement and purchasing agents and officers usually require a bachelor's degree or college diploma in business administration, commerce or economics."
12102.00,"Procurement and purchasing agents and officers purchasing specialized materials or business services may require a related university degree or college diploma. For example, a bachelor's degree or college diploma in engineering may be required for purchasers of industrial products."
12102.00,A certificate in purchasing from the Purchasing Management Association of Canada (PMAC) may be required.
12102.00,Previous experience as a purchasing clerk or as an administrative clerk may be required.
12102.00,Certification from the International Right of Way Association (IRWA) may be required.
12102.00,"Sourcing specialists and analysts usually require a bachelor's degree or college diploma in economics, logistics, operations management, finance, engineering, mathematics, or statistical analysis."
12102.00,Previous work experience in supply chain for sourcing specialists and analysts is usually required.
12103.00,"A university degree or college diploma in business, tourism or hospitality administration is usually required."
12103.00,Several years of experience in hospitality or tourism administration or in public relations are usually required and may substitute for formal education requirements.
12103.00,"Certification relating to special events, meetings or conference management may be required."
12104.01,A bachelor's degree or college diploma is usually required.
12104.01,Several years of related administrative or regulatory experience may be required.
12104.01,Completion of specialized government training is required.
12104.02,A bachelor's degree or college diploma is usually required.
12104.02,Several years of related administrative or regulatory experience may be required.
12104.02,Completion of specialized government training is required.
12110.01,Court reporters require completion of secondary school.
12110.01,Completion of a college or other program in court reporting is usually requiredandthe Chartered Shorthand Reporter (CSR) certificate may be required for court reporters.
12110.01,Occupations working in Braille usually require education in Unified English Braille (UEB) competence and related studies of 1-2 years.
12110.02,Medical transcriptionists require completion of secondary school.
12110.02,Completion of a recognized medical transcription program is usually requiredandthe Certified Medical Transcriptionist (CMT) certificate may be required for medical transcriptors.
12110.02,Occupations working in Braille usually require education in Unified English Braille (UEB) competence and related studies of 1-2 years.
12111.00,Health information management technicians and related workers require completion of a recognized two-year college diploma program in health record technology or health information management.
12111.00,Health information management technicians and related workers are eligible to write the Canadian Health Information Management Association national certification examination which may be required by employers.
12112.00,Records management technicians usually require completion of a two- to three-year college program in information or records management technology.
12112.00,Two to three years' experience in a records management environment may be required.
12113.00,Completion of secondary school is required.
12113.00,"A college diploma or undergraduate degree in a social science, commerce, statistics or a related field is usually required."
12200.00,Completion of secondary school is required.
12200.00,"Completion of a college program in accounting, bookkeeping or a related field orcompletion of two years (first level) of a recognized professional accounting program (e.g., Chartered Accounting, Certified General Accounting) orcourses in accounting or bookkeeping combined with several years of experience as a financial or accounting clerk are required."
12201.01,Completion of secondary school is required.
12201.01,"A bachelor's degree, college diploma or some post-secondary education orseveral years of experience as a clerk in the claims department or other general insurance experience is required."
12201.01,Several years of on-the-job training and completion of insurance industry courses and training programs are required.
12201.01,Independent adjusters require a provincial licence issued by the Superintendent of Insurance in the province or territory of employment.
12201.02,Completion of secondary school is required.
12201.02,"A bachelor's degree, college diploma or some post-secondary education orseveral years of experience as a clerk in the claims department or other general insurance experience is required."
12201.02,Several years of on-the-job training and completion of insurance industry courses and training programs are required.
12202.00,"Completion of secondary school and some general insurance experience ora bachelor's degree, college diploma or some post-secondary education is required."
12202.00,Several years of on-the-job training and completion of insurance industry underwriting courses and training programs are required.
12203.01,Assessors require a college diploma in municipal assessment andaccreditation with the municipal assessment association of the province.
12203.02,"Business valuators usually require a bachelor's degree or college diploma in accounting, business or commerce andaccreditation with the Canadian Institute of Chartered Business Valuators based on successful completion of its business and security valuation program."
12203.03,Appraisers require a college diploma or vocational training in the field of appraisal orseveral years of experience in a position related to the field of appraisal.
12203.03,"In Quebec, membership with l'Ordre des évaluateurs agréés du Québec (OEAQ) is required to use the title chartered appraiser."
12203.03,"Real estate appraisers usually require several years of experience as a real estate agent, right-of-way agent or property administrator and may require Canadian residential appraiser certification."
12203.03,"Appraisers of residential, commercial or industrial property require accreditation with the Appraisal Institute of Canada."
13100.00,Completion of secondary school is required.
13100.00,A university degree or college diploma in business or public administration may be required.
13100.00,Experience in a senior clerical or executive secretarial position related to office administration is usually required.
13100.00,Project management certification may be required by some employers.
