OaSIS profile code,Employment requirement
21321.00,A bachelor's degree in industrial engineering or in a related engineering discipline is required.
21321.00,A master's degree or doctorate in a related engineering discipline may be required.
21321.00,Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports and to practise as a Professional Engineer (P.Eng.).
21321.00,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21322.00,"A bachelor's degree in metallurgical, materials, ceramic or chemical engineering or in a related engineering discipline is required."
21322.00,A master's degree or doctorate in a related engineering discipline may be required.
21322.00,Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports and to practise as a Professional Engineer (P.Eng.).
21322.00,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21330.00,A bachelor's degree in mining engineering or in a related engineering discipline is required.
21330.00,A master's degree or doctorate in a related engineering discipline may be required.
21330.00,Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports and to practise as a Professional Engineer (P.Eng.).
21330.00,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21331.00,A bachelor's degree in geological engineering or in a related discipline is required.
21331.00,A master's degree or doctorate in a related engineering discipline may be required.
21331.00,Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports and to practise as a Professional Engineer (P.Eng.).
21331.00,"Engineers are eligible for registration following graduation from an accredited educational program, three or four years of supervised work experience in engineering and passing a professional practice examination."
21332.00,A bachelor's degree in petroleum engineering or in a related engineering discipline is required.
21332.00,A master's degree or doctorate in a related engineering discipline may be required.
21332.00,Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports and to practise as a Professional Engineer (P.Eng.).
21332.00,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21390.00,"A bachelor's degree in aerospace engineering or in a related engineering discipline, such as mechanical engineering or engineering physics, is required."
21390.00,A master's degree or doctorate in a related engineering discipline may be required.
21390.00,Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports and to practise as a Professional Engineer (P.Eng.).
21390.00,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21399.01,A bachelor's degree in an appropriate engineering discipline is required.
21399.01,A master's degree or doctorate in a related engineering discipline may be required.
21399.01,"Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports, and to practise as a Professional Engineer (P.Eng.)."
21399.01,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21399.02,A bachelor's degree in an appropriate engineering discipline is required.
21399.02,A master's degree or doctorate in a related engineering discipline may be required.
21399.02,"Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports, and to practise as a Professional Engineer (P.Eng.)."
21399.02,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21399.03,A bachelor's degree in an appropriate engineering discipline is required.
21399.03,A master's degree or doctorate in a related engineering discipline may be required.
21399.03,"Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports, and to practise as a Professional Engineer (P.Eng.)."
21399.03,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21399.04,A bachelor's degree in an appropriate engineering discipline is required.
21399.04,A master's degree or doctorate in a related engineering discipline may be required.
21399.04,"Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports, and to practise as a Professional Engineer (P.Eng.)."
21399.04,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
21399.05,A bachelor's degree in an appropriate engineering discipline is required.
21399.05,A master's degree or doctorate in a related engineering discipline may be required.
21399.05,"Licensing by a provincial or territorial association of professional engineers is required to approve engineering drawings and reports, and to practise as a Professional Engineer (P.Eng.)."
21399.05,"Engineers are eligible for registration following graduation from an accredited educational program, and after three or four years of supervised work experience in engineering and passing a professional practice examination."
22100.01,"Chemical technologists usually require completion of a two- or three-year college program in chemical, biochemical or chemical engineering technology or a closely related discipline."
22100.01,National certification for chemical technologists and technicians is available through the Canadian Society for Chemical Technology.
22100.01,Certification in chemical engineering technology or in a related field is available through provincial associations of engineering/applied science technologists and technicians and may be required by employers.
22100.01,Chemical technologists and technicians are regulated in Quebec and Alberta.
22100.01,"A period of supervised work experience, usually two years, is required before certification."
22100.02,"Chemical technicians usually require completion of a one- or two-year college program in chemical, biochemical or chemical engineering technology."
22100.02,Chemical technologists and technicians are regulated in Quebec and Alberta.
22100.02,"A period of supervised work experience, usually two years, is required before certification."
22101.01,"A period of supervised work experience, usually two years, is required before certification."
22101.02,"Geological and mineral technologists usually require completion of a two- to three-year college program in geological technology, petroleum technology, petroleum engineering technology, hydrogeology or groundwater technology, mining technology, mining engineering technology, mineralogy, metallurgical technology, or welding technology."
22101.02,Geophysics technologists usually require completion of a two- to three-year college program in electronics technology.
22101.02,Geological and mineral technicians usually require completion of a one- to two-year college program in a related field.
22101.02,Certification in geological and mineral technology or in a related field is available through provincial associations of engineering/applied science technologists and technicians and may be required by employers.
22101.02,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22110.01,"Completion of a two- to three-year college program in a field related to agriculture, biology, microbiology, wildlife or resource management is usually required for employment as a biological technologist."
22110.01,"Certification with provincial associations is available, but voluntary."
22110.02,Completion of a one- to two-year college program in a related field is required for employment as a biological technician.
22110.02,"Certification with provincial associations is available, but voluntary."
22111.01,Completion of secondary school is required.
22111.01,"Government inspectors usually require a bachelor's degree or college diploma in agriculture, biology, chemistry, food processing technology or a related discipline."
22111.01,Inspectors (other than government) may require a bachelor's degree or college diploma in a related discipline.
22111.01,Several years of experience in agricultural production or fish processing are usually required.
22111.01,Completion of in-house training courses is required.
22111.02,Completion of secondary school is required.
22111.02,"Government inspectors usually require a bachelor's degree or college diploma in agriculture, biology, chemistry, food processing technology or a related discipline."
22111.02,Inspectors (other than government) may require a bachelor's degree or college diploma in a related discipline.
22111.02,Several years of experience in agricultural production or fish processing are usually required.
22111.02,Completion of in-house training courses is required.
22111.03,Completion of secondary school is required.
22111.03,"Government inspectors usually require a bachelor's degree or college diploma in agriculture, biology, chemistry, food processing technology or a related discipline."
22111.03,Inspectors (other than government) may require a bachelor's degree or college diploma in a related discipline.
22111.03,Several years of experience in agricultural production or fish processing are usually required.
22111.03,Completion of in-house training courses is required.
22111.04,Completion of secondary school is required.
22111.04,"Government inspectors usually require a bachelor's degree or college diploma in agriculture, biology, chemistry, food processing technology or a related discipline."
22111.04,Inspectors (other than government) may require a bachelor's degree or college diploma in a related discipline.
22111.04,Several years of experience in agricultural production or fish processing are usually required.
22111.04,Completion of in-house training courses is required.
22111.05,Completion of secondary school is required.
22111.05,"Government inspectors usually require a bachelor's degree or college diploma in agriculture, biology, chemistry, food processing technology or a related discipline."
22111.05,Inspectors (other than government) may require a bachelor's degree or college diploma in a related discipline.
22111.05,Several years of experience in agricultural production or fish processing are usually required.
22111.05,Completion of in-house training courses is required.
22112.00,Completion of a one- to three-year college program in forestry technology or in a renewable resource program or forest ranger program is usually required.
22112.00,Registration with a regulatory body is required for forestry technologists or technicians in all provinces except Prince Edward Island and Manitoba.
22112.00,Certification or licensing as a scaler is required for some positions.
22112.00,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22113.00,"Completion of a college program in renewable resources management, environmental conservation or a related discipline is usually required."
22113.00,On-the-job training and courses related to law enforcement and resource management are provided.
22113.00,"A class-5 driver's licence, pesticide applicator's licence and explosives licence may be required."
22114.01,"An apprenticeship program is available for horticulturists, arboriculturists and landscape gardeners."
22114.01,"A provincial licence to apply chemical fertilizers, fungicides, herbicides and pesticides may be required."
22114.02,"Experience as a landscape and grounds maintenance labourer may be required for golf course superintendents, landscape gardeners and landscapers."
22114.02,"A provincial licence to apply chemical fertilizers, fungicides, herbicides and pesticides may be required."
22114.03,"An apprenticeship program is available for horticulturists, arboriculturists and landscape gardeners."
22114.03,"Trade certification for landscape horticulturists is available, but voluntary, in all provinces."
22114.03,"A provincial licence to apply chemical fertilizers, fungicides, herbicides and pesticides may be required."
22114.03,Red Seal endorsement is also available to qualified landscape horticulturists upon successful completion of the interprovincial Red Seal examination.
22114.03,"Completion of a two-to-three year college program in agronomy, arboriculture, horticulture, landscaping, landscape design or landscape technology is usually required."
22114.04,"Completion of a two-to-three year college program in agronomy, arboriculture, horticulture, landscaping, landscape design or landscape technology is usually required."
22114.04,"In Quebec, membership in the regulatory body is required to use the title of Professional Technologist."
22114.05,"Experience as a landscape and grounds maintenance labourer may be required for golf course superintendents, landscape gardeners and landscapers."
22114.05,"An apprenticeship program is available for horticulturists, arboriculturists and landscape gardeners."
22114.05,"A provincial licence to apply chemical fertilizers, fungicides, herbicides and pesticides may be required."
22114.06,"Experience as a landscape and grounds maintenance labourer may be required for golf course superintendents, landscape gardeners and landscapers."
22114.06,"A provincial licence to apply chemical fertilizers, fungicides, herbicides and pesticides may be required."
22114.07,"A provincial licence to apply chemical fertilizers, fungicides, herbicides and pesticides may be required."
22210.00,Completion of a two- to three-year college program in architectural technology or a related subject is usually required.
22210.00,Certification in architectural technology or in a related field through provincial associations of architectural or engineering/applied science technologists and technicians may be required by employers.
22210.00,"A period of supervised work experience, usually two years, is required before certification."
22210.00,Membership in the provincial regulatory body is mandatory in British Columbia.
22210.00,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22211.00,"A university degree in industrial design, architecture, engineering ora college diploma in industrial design is required."
22211.00,"Creative ability, as demonstrated by a portfolio of work, is required."
22212.01,Completion of secondary school is usually required.
22212.01,Completion of a two- to three-year college program in engineering design and drafting technology or in a related field is usually required for drafting and design technologists.
22212.01,"Trade certification for draftspersons is available, but voluntary in Ontario."
22212.01,Certification in engineering design and drafting technology or in a related field through provincial associations of engineering/applied science technologists and technicians may be required by employers.
22212.01,"A period of supervised work experience, usually two years, is required before certification."
22212.02,Completion of secondary school is usually required.
22212.02,Completion of a one- to two-year college program in drafting orcompletion of a three- to four-year apprenticeship program orfour to five years of related experience plus completion of college or industry courses in drafting are usually required for drafting technicians.
22212.02,"Trade certification for draftspersons is available, but voluntary in Ontario."
22212.02,"A period of supervised work experience, usually two years, is required before certification."
22213.01,Completion of secondary school is usually required.
22213.01,Completion of a two- to three-year college program in geomatics or land survey technology is usually required for land survey technologists.
22213.01,Certification by provincial associations of technicians and technologists may be required by some employers.
22213.01,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22213.02,Completion of secondary school is usually required.
22213.02,Completion of a one- to two-year college program in geomatics or land survey technology is usually required for land survey technicians.
22213.02,Certification by provincial associations of technicians and technologists may be required by some employers.
22214.01,Completion of secondary school is required.
22214.01,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ''Professional Technologist''."
22214.02,Completion of secondary school is required.
22214.02,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ''Professional Technologist''."
22214.03,Completion of secondary school is required.
22214.03,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ''Professional Technologist''."
22214.04,Completion of secondary school is required.
22214.04,"Geomatics technologists and technicians require completion of a college program in geomatics, cartography, photogrammetry, aerial survey, remote sensing, geographic information system (GIS) or geomatics."
22214.04,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ''Professional Technologist''."
22214.05,Completion of secondary school is required.
22214.05,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ''Professional Technologist''."
22214.05,Meteorological technicians require completion of a one-year meteorological technician program provided by the Meteorological Service of Canada.
22214.05,"Further specialized training is available for meteorological technicians, and may be required by some employers."
22220.01,Certification or training provided by software vendors may be required by some employers.
22220.02,"Completion of a college or other program in computer science, network administration, Web technology or a related field is usually required."
22220.02,Registration with a regulatory body is required in Saskatchewan.
22221.00,"Completion of a college program in computer science, computer programming or network administration is usually required."
22221.00,College or other courses in computer programming or network administration are usually required.
22221.00,Certification or training provided by software vendors may be required by some employers.
22222.00,"Completion of a college program in computer science, computer programming or network administration is usually required."
22222.00,College or other courses in computer programming or network administration are usually required.
22222.00,Certification or training provided by software vendors may be required by some employers.
22230.00,Completion of secondary school is required.
22230.00,Completion of two years of an approved post-secondary science or engineering program may be required.
22230.00,Additional classroom and on-the-job training is required for certification in non-destructive testing.
22230.00,Non-destructive testing certification by Natural Resources Canada is available in three levels and is usually required by employers.
22230.00,Industrial radiographers using a radioactive isotope must pass an examination to be recognized as a certified exposure device operator by the Canadian Nuclear Safety Commission.
22230.00,Welding inspector certification by the Canadian Welding Bureau is available in three levels and may be required by employers.
22230.00,"Boiler and pressure vessel, process pipeline and above-ground storage tank inspector certification is available from the American Petroleum Institute."
22231.01,University degree or college diploma in an appropriate engineering field ortrade qualifications and extensive related work experience are required.
22231.01,Appropriate professional engineering or engineering technology certification and licences may be required.
22231.02,University degree or college diploma in an appropriate engineering field ortrade qualifications and extensive related work experience are required.
22231.02,Appropriate professional engineering or engineering technology certification and licences may be required.
22231.03,University degree or college diploma in an appropriate engineering field ortrade qualifications and extensive related work experience are required.
22231.03,Appropriate professional engineering or engineering technology certification and licences may be required.
22231.04,University degree or college diploma in an appropriate engineering field ortrade qualifications and extensive related work experience are required.
22231.04,Appropriate professional engineering or engineering technology certification and licences may be required.
22231.05,University degree or college diploma in an appropriate engineering field ortrade qualifications and extensive related work experience are required.
22231.05,Appropriate professional engineering or engineering technology certification and licences may be required.
22232.00,A bachelor's degree or college diploma in occupational health and safety is usually required.
22232.00,Occupational health and safety officers may require certification with the Board of Canadian Registered Safety Professionals (BCRSP).
22233.00,Completion of secondary school is required.
22233.00,"A college diploma in construction, civil engineering or architectural technology plus several years of related work experience orseveral years of experience as a qualified tradesperson in a construction trade, such as plumbing, carpentry or electrical trade are usually required."
22233.00,Provincial certification in a skilled trade or as an engineering technologist is usually required.
22233.00,Leadership in Energy and Environmental Design (LEED) certification is offered by the Canada Green Building Council and may be required by some employers.
22233.00,Certification as a Construction Safety Officer (CSO) by provincially chartered associations may be required in provinces having such associations.
22233.00,"Home inspectors require a licence to practice in Ontario, Alberta and British Columbia."
22233.00,"Energy advisors must affiliate with a licenced service organization, complete required training and pass the EnerGuide foundation level exam and Energy advisor exam to become registered with Natural Resources Canada as an energy advisor."
22300.01,Completion of a two- or three-year college program in civil engineering technology or a closely related discipline is usually required for civil engineering technologists.
22300.01,Certification in civil engineering technology or in a related field is available through provincial associations of engineering/applied science technologists and technicians and may be required for some positions.
22300.01,"A period of supervised work experience, usually two years, is required before certification."
22300.01,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22300.02,Completion of a one- or two-year college program in civil engineering technology is usually required for civil engineering technicians.
22300.02,Certification in civil engineering technology or in a related field is available through provincial associations of engineering/applied science technologists and technicians and may be required for some positions.
22300.02,"A period of supervised work experience, usually two years, is required before certification."
22301.01,Completion of a two- or three-year college program in mechanical engineering technology is usually required for mechanical engineering technologists.
22301.01,Certification in mechanical engineering technology or in a related field is available through provincial associations of engineering/applied science technologists and technicians and may be required for some positions.
22301.01,"A period of supervised work experience, usually two years, is required before certification."
22301.01,"In Quebec, membership in the regulatory body is required to use the title ""Professional Technologist."""
22301.02,Completion of a one- or two-year college program in mechanical engineering technology is usually required for mechanical engineering technicians.
22301.02,Certification in mechanical engineering technology or in a related field is available through provincial associations of engineering/applied science technologists and technicians and may be required for some positions.
22301.02,"A period of supervised work experience, usually two years, is required before certification."
22302.01,"Completion of a two- or three-year college program or equivalent in industrial engineering technology, pulp and paper technology, plastics technology, textile technology, manufacturing technology or a related discipline is usually required for industrial engineering or manufacturing technologists."
22302.01,Certification in industrial engineering or manufacturing technology or in a related field is available through provincial or territorial associations of engineering/applied science technologists and technicians and may be required for some positions.
22302.01,"A period of supervised work experience, usually two years, is required before certification."
22302.01,A college diploma in manufacturing technology and/or trade certification and experience in machining and tooling or metalworking is required for CAD-CAM/CNC programmers.
22302.01,"In Quebec, membership in the regulatory body is required to use the title ""Professional Technologist."""
22302.02,Completion of a one- or two-year college program in industrial engineering technology or in a related discipline is usually required for industrial engineering or manufacturing technicians.
22302.02,Certification in industrial engineering or manufacturing technology or in a related field is available through provincial or territorial associations of engineering/applied science technologists and technicians and may be required for some positions.
22302.02,"A period of supervised work experience, usually two years, is required before certification."
22302.02,A college diploma in manufacturing technology and/or trade certification and experience in machining and tooling or metalworking is required for CAD-CAM/CNC programmers.
22303.00,Completion of secondary school is required.
22303.00,"Completion of a three-year college program in civil or construction engineering technology orseveral years of experience as a qualified tradesperson in a construction trade such as plumbing, carpentry or electrical, are required."
22303.00,Certification by the Canadian Institute of Quantity Surveyors is usually required.
22310.01,"Completion of a two- or three-year college program in electrical or electronics engineering technology, computer engineering technology, telecommunications technology or an equivalent is usually required for electrical or electronics engineering technologists."
22310.01,Certification in electrical or electronics engineering technology or in a related field is available through provincial associations of engineering/applied science technologists and technicians and may be required for some positions.
22310.01,"A period of supervised work experience, usually two years, is required before certification."
22310.01,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22310.02,Completion of a one- or two-year college program in electrical or electronics engineering technology is usually required for electrical or electronics engineering technicians.
22310.02,Certification in electrical or electronics engineering technology or in a related field is available through provincial associations of engineering/applied science technologists and technicians and may be required for some positions.
22310.02,"A period of supervised work experience, usually two years, is required before certification."
22311.00,Completion of a two- to three-year college program in electronics orcompletion of a four-year apprenticeship program in electronic servicing and repair orcompletion of high school or college courses in electronics and on-the-job training is required.
22311.00,"Trade certification for electronics technicians (consumer products) is available, but voluntary, in Ontario, British Columbia and the Yukon."
22312.00,Completion of secondary school is usually required.
22312.00,Completion of a four- or five-year apprenticeship program in industrial instrument repair orcompletion of a two-year college program in industrial instrumentation technology and several years of work experience are usually required for trade certification.
22312.00,"Instrumentation and control technician trade certification is available, but voluntary, in all provinces and territories, except in Quebec."
22312.00,Red Seal endorsement is also available to qualified instrumentation and control technicians upon successful completion of the interprovincial Red Seal examination.
22313.01,Aircraft instrument and avionics mechanics and technicians require completion of a two- to three-year college program in avionics or electronics.
22313.01,Four years of on-the-job or company apprenticeship training is required for all mechanics and technicians in this unit group.
22313.01,Industry certification is available from the Canadian Council for Aviation & Aerospace (CCAA) for some occupations in this unit group.
22313.01,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22313.02,Aircraft instrument and avionics mechanics and technicians require completion of a two- to three-year college program in avionics or electronics.
22313.02,Four years of on-the-job or company apprenticeship training is required for all mechanics and technicians in this unit group.
22313.02,Industry certification is available from the Canadian Council for Aviation & Aerospace (CCAA) for some occupations in this unit group.
22313.02,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22313.03,Aircraft instrument and avionics mechanics and technicians require completion of a two- to three-year college program in avionics or electronics.
22313.03,Avionics inspectors require completion of a two- to three-year college program in avionics or electronics andthree to five years of experience as an avionics mechanic or technician.
22313.03,Industry certification is available from the Canadian Council for Aviation & Aerospace (CCAA) for some occupations in this unit group.
22313.03,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22313.04,"Avionics inspectors, mechanics and technicians who sign maintenance releases and certify airworthiness require an Aircraft Maintenance Engineer's (AME) licence (category E - avionics) issued by Transport Canada."
22313.04,Industry certification is available from the Canadian Council for Aviation & Aerospace (CCAA) for some occupations in this unit group.
22313.04,"In Quebec, membership in the regulatory body for professional technologists is required to use the title ""Professional Technologist."""
22313.04,Avionics inspectors require completion of a two- to three-year college program in avionics or electronics andthree to five years of experience as an avionics mechanic or technician.
30010.00,"Administrators of departments such as surgery, clinical medicine or laboratory medicine are usually required to have the education and training of a specialist physician."
30010.00,"Administrators of other departments, such as nursing, dietetics or physiotherapy, are usually required to have the education and training of the medical professionals in that department."
30010.00,"Several years of experience in the relevant profession, including supervisory experience, are usually required."
30010.00,Certification in the relevant profession is required.
31100.01,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.01,Graduation from an approved medical school and specific specialty training are required.
31100.01,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.01,Four to five years of specialty residency training are required.
31100.01,Two years of subspecialty training may also be required.
31100.02,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.02,Graduation from an approved medical school and specific specialty training are required.
31100.02,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.02,Four to five years of specialty residency training are required.
31100.02,Two years of subspecialty training may also be required.
31100.03,"A bachelor's degree or in Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.03,Graduation from an approved medical school and specific specialty training are required.
31100.03,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.03,Four to five years of specialty residency training are required.
31100.03,Two years of subspecialty training may also be required.
31100.04,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.04,Graduation from an approved medical school and specific specialty training are required.
31100.04,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.04,Four to five years of specialty residency training are required.
31100.04,Two years of subspecialty training may also be required.
31100.05,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.05,Graduation from an approved medical school and specific specialty training are required.
31100.05,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.05,Four to five years of specialty residency training are required.
31100.05,Two years of subspecialty training may also be required.
31100.06,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.06,Graduation from an approved medical school and specific specialty training are required.
31100.06,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.06,Four to five years of specialty residency training are required.
31100.06,Two years of subspecialty training may also be required.
31100.07,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.07,Graduation from an approved medical school and specific specialty training are required.
31100.07,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.07,Four to five years of specialty residency training are required.
31100.07,Two years of subspecialty training may also be required.
31100.08,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.08,Graduation from an approved medical school and specific specialty training are required.
31100.08,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.08,Four to five years of specialty residency training are required.
31100.08,Two years of subspecialty training may also be required.
31100.09,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.09,Graduation from an approved medical school and specific specialty training are required.
31100.09,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.09,Four to five years of specialty residency training are required.
31100.09,Two years of subspecialty training may also be required.
31100.10,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.10,Graduation from an approved medical school and specific specialty training are required.
31100.10,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.10,Four to five years of specialty residency training are required.
31100.10,Two years of subspecialty training may also be required.
31100.11,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.11,Graduation from an approved medical school and specific specialty training are required.
31100.11,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.11,Four to five years of specialty residency training are required.
31100.11,Two years of subspecialty training may also be required.
31100.12,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.12,Graduation from an approved medical school and specific specialty training are required.
31100.12,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.12,Four to five years of specialty residency training are required.
31100.12,Two years of subspecialty training may also be required.
31100.13,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.13,Graduation from an approved medical school and specific specialty training are required.
31100.13,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.13,Four to five years of specialty residency training are required.
31100.13,Two years of subspecialty training may also be required.
31100.14,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31100.14,Graduation from an approved medical school and specific specialty training are required.
31100.14,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31100.14,Four to five years of specialty residency training are required.
31101.01,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31101.01,Graduation from an approved medical school and specific specialty training are required.
31101.01,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31101.01,Five to six years of specialty residency training are required.
31101.01,Two years of subspecialty training may also be required.
31101.02,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31101.02,Graduation from an approved medical school and specific specialty training are required.
31101.02,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31101.02,Five to six years of specialty residency training are required.
31101.02,Two years of subspecialty training may also be required.
31101.03,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31101.03,Graduation from an approved medical school and specific specialty training are required.
31101.03,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31101.03,Five to six years of specialty residency training are required.
31101.03,Two years of subspecialty training may also be required.
31101.04,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31101.04,Graduation from an approved medical school and specific specialty training are required.
31101.04,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31101.04,Five to six years of specialty residency training are required.
31101.04,Two years of subspecialty training may also be required.
31101.05,"A bachelor's degree orin Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
31101.05,Graduation from an approved medical school and specific specialty training are required.
31101.05,Completion of the certifying examinations of the Royal College of Physicians and Surgeons of Canada andlicensing by the provincial or territorial licensing authority are required.
31101.05,Five to six years of specialty residency training are required.
31101.05,Two years of subspecialty training may also be required.
31102.00,"A bachelor's degree or in Quebec, completion of a college program and one year of pre-medicine university studies is usually required."
