OaSIS profile code,Excluded code,Job title
51110.00,52113.00,sound editor
51110.00,51120.05,
51111.01,51121.02,songwriter
51111.02,51121.02,songwriter
51111.03,51121.02,songwriter
51114.01,41409.05,
51114.02,41409.05,
51114.03,41409.05,
51114.04,41409.05,
52110.00,52112.00,video transmission operator
52110.00,53111.07,audiovisual (AV) assistant
52110.00,53122.01,video artist
52110.00,51120.07,
52113.00,53111.07,recording assistant - recording studio
52119.01,53123.01,lighting designer
52119.02,53123.01,lighting designer
52119.03,53123.01,lighting designer
52119.07,53123.01,lighting designer
52120.01,10022.01,
52120.02,10022.01,
53100.01,53123.03,museum exhibit designer
53100.02,53123.03,museum exhibit designer
53100.03,53123.03,museum exhibit designer
53100.04,53123.03,museum exhibit designer
53100.05,53123.03,museum exhibit designer
53120.01,51120.03,
53120.02,51120.03,
53200.00,54100.01,sports instructor
53201.01,31204.01,athletic therapist
54100.01,41406.03,
54100.02,41406.03,
60010.00,62100.00,technical sales supervisor
60030.00,62200.01,executive chef
62010.00,62100.00,technical sales supervisor
62020.00,65200.00,banquet captain
62020.00,72024.00,mobile canteen service supervisor
62021.00,62024.00,housekeeping supervisor
62021.00,62024.00,chambermaid supervisor
62024.00,72014.00,building maintenance supervisor
62201.01,00014.00,funeral services general manager
62201.01,41301.00,bereavement counsellor
62201.01,65329.03,funeral home attendant
62202.01,53124.03,goldsmith
62202.01,53124.03,silversmith
62202.01,94219.01,jewellery assembler
62202.02,94219.01,clock and watch assembler
63100.00,10020.01,insurance manager
63101.00,12102.00,right-of-way agent
63101.00,13101.00,rentals agent
63101.00,11109.05,
63102.00,10021.01,loan and credit manager - banking or trust company
63201.00,64100.01,seafood sales clerk
63201.00,65202.00,meat cutter - retail or wholesale
63202.00,62200.03,pastry chef
63210.01,41210.00,hairdressing teacher - community college
63210.02,41210.00,hairdressing teacher - community college
63211.01,52119.05,"make-up artist - motion pictures, broadcasting and performing arts"
63211.02,52119.05,"make-up artist - motion pictures, broadcasting and performing arts"
64100.01,65102.00,stock clerk - retail
64100.02,65102.00,stock clerk - retail
64101.00,50011.00,royalties manager - arts
64200.01,53123.02,couturier - haute couture
64201.01,63211.02,
64201.01,63211.04,
64201.01,65229.00,
64201.03,65229.00,
64310.00,12103.00,convention coordinator
64310.00,64312.01,airline ticket agent
64311.01,65200.00,
64311.02,65200.00,
64311.03,65200.00,
64312.01,65210.03,baggage handler
64312.03,64310.00,
64313.01,62022.00,
64313.01,64310.00,
64320.01,53100.03,museum interpreter
64320.01,53100.03,historical interpreter
64320.01,64322.00,
64320.02,53100.03,historical interpreter
64320.02,53100.03,museum interpreter
64320.02,64322.00,
65320.03,64200.01,
70012.01,70020.01,director of operations - transportation
70012.01,70020.02,freight traffic manager
70012.02,70020.01,director of operations - transportation
70012.02,70020.02,freight traffic manager
70012.02,73201.00,building superintendent
70021.00,72025.00,postmaster/mistress
72010.00,22302.01,computer-assisted design/computer-assisted manufacturing (CAD/CAM) programmer
72010.00,22302.01,computer numerically controlled coordinate measuring machine (CNC/CMM) programmer
72011.00,72020.00,electrical mechanics foreman/woman
72022.00,12010.00,desktop publishing operators supervisor
72024.00,14404.00,truck dispatcher
72024.00,14404.00,taxi dispatcher
72024.00,72604.01,train dispatcher
72025.00,12013.00,shipping and receiving supervisor
72102.00,72404.01,aircraft sheet metal technician
72104.00,72105.00,structural steel erector
72401.00,72410.01,motor vehicle diesel engine mechanic
72402.00,72421.01,domestic window air conditioner repairer
72402.00,72421.02,domestic refrigerator repairer
72404.01,72405.00,aircraft engine assembly fitter
72404.01,22231.03,
72404.02,22231.03,
72405.00,93200.01,
72410.01,72423.02,
72410.02,72423.02,
72410.03,72423.02,
72422.00,22313.02,aircraft electrical mechanic
72423.01,72020.00,
72600.03,41210.00,ground school instructor
72603.00,21399.04,
72999.06,42100.00,police diver
73112.00,52121.00,interior decorator
73209.00,72999.02,
73300.01,14404.00,truck dispatcher
73300.01,41210.00,truck driver trainer - community college
73300.01,75211.02,truck driver helper
73300.02,14404.00,truck dispatcher
73300.02,41210.00,truck driver trainer - community college
73300.02,75211.02,truck driver helper
73310.01,72604.01,
73310.01,73301.03,
73310.02,72604.01,
73310.02,73301.03,
73400.00,75101.02,forklift operator
73400.00,75101.02,industrial truck operator
73401.00,53124.07,screen printing artisan
75101.01,12013.00,warehouse distribution supervisor
75101.01,75211.02,mover helper
75101.02,12013.00,warehouse distribution supervisor
75101.02,75211.02,mover helper
75200.01,14404.00,taxi dispatcher
75201.00,75211.02,delivery truck helper
80010.00,20011.02,research director - forestry
80022.00,22110.02,aquaculture technician
80022.00,85102.00,aquaculture support worker
83120.00,72603.00,fishing vessel chief engineer
84111.00,85103.00,forest nursery labourer
84111.00,22114.01,
85104.00,64322.00,hunting guide
85104.00,73202.00,nuisance control trapper
85104.00,73202.00,animal control trapper
92012.00,22111.01,fish products inspector
92012.00,22111.04,meat inspection supervisor
92015.00,22100.01,textile colour technologist
92015.00,22100.02,master dyer - textiles
92015.00,22302.01,textile technologist
92015.00,22302.02,textile technician
92015.00,72400.02,textile machine mechanic
92020.00,92023.00,engine assembly supervisor (except aircraft)
92022.00,92024.00,millwork assemblers foreman/woman - wood products manufacturing
92023.00,72020.00,machine fitters supervisor
92023.00,72020.00,aircraft engine assembly foreman/woman
92100.01,72400.01,nuclear power station equipment mechanic
92100.01,21300.00,
92100.01,21301.00,
92100.01,21310.00,
92100.01,21311.01,
92100.01,21311.02,
92100.01,21320.00,
92100.01,21321.00,
92100.01,21322.00,
92100.01,21390.00,
92100.01,21399.01,
92100.01,21399.02,
92100.01,21399.03,
92100.01,21399.04,
92100.01,21399.05,
92100.02,72400.01,nuclear power station equipment mechanic
92101.01,95102.00,waterworks labourer
92101.02,95102.00,waterworks labourer
93100.00,94101.02,casting machine operator - foundry
93100.00,94101.03,foundry furnace operator
93200.01,22313.03,avionics systems installer
93200.01,94213.01,aircraft painter
94102.01,94104.00,glass inspector
94102.01,94202.01,neon sign maker
94102.01,53124.02,
94102.02,94104.00,glass inspector
94102.02,94202.01,neon sign maker
94102.02,53124.02,
94102.03,94104.00,glass inspector
94102.03,94202.01,neon sign maker
94102.03,53124.02,
94102.04,94202.01,neon sign maker
94102.04,53124.02,
94103.01,53124.01,carver
94103.01,72320.00,stonemason
94103.01,53122.02,
94103.01,53124.04,
94103.02,53124.01,carver
94103.02,72320.00,stonemason
94103.02,94104.00,stone inspector - mineral products processing
94103.02,94104.00,concrete products inspector
94103.02,53122.02,
94103.02,53124.04,
94103.03,53124.01,carver
94103.03,72320.00,stonemason
94103.03,94104.00,concrete products inspector
94103.03,94104.00,stone inspector - mineral products processing
94103.03,53122.02,
94103.03,53124.04,
94104.00,22101.01,metallurgical control analyst
94104.00,22101.01,assayer - mineralogy
94106.00,22302.01,computer numerically controlled coordinate measuring machine (CNC/CMM) programmer
94106.00,22302.01,computer-assisted design/computer-assisted manufacturing (CAD/CAM) programmer
94123.01,22100.01,forest products technologist
94123.01,22112.00,log scaler
94123.01,22302.01,production technologist - sawmill
94123.02,22100.01,forest products technologist
94123.02,22112.00,log scaler
94123.02,22302.01,production technologist - sawmill
94130.02,22100.01,textile colour technologist
94130.02,22100.02,master dyer - textiles
94131.00,53124.07,hand knitter
94131.00,53124.07,craft weaver
94131.00,72400.02,textile machinery mechanic
94141.01,22111.04,meat inspector
94141.01,94143.00,meat grader
94141.02,22111.04,meat inspector
94141.02,94143.00,meat grader
94143.00,22100.01,food processing quality control technologist
94143.00,22100.02,food processing quality control technician
94151.01,14112.01,desktop publishing (DTP) operator
94151.03,14112.01,desktop publishing (DTP) operator
94152.00,53124.07,hand bookbinder
94153.00,72022.00,photographic and film processing supervisor
94200.01,72410.02,automotive mechanical repairer
94200.01,94213.01,vehicle cleaner-coater
94200.01,94213.01,automobile assembly painter
94200.02,72410.02,automotive mechanical repairer
94219.01,53124.01,canoe builder - arts and crafts
94219.01,72104.00,shipbuilding fitter
94219.01,72104.00,metal shipwright
94219.01,72310.00,wood shipwright
94219.01,72310.00,wooden boatbuilder
94219.01,72423.01,marine repair technician
94219.01,95109.00,boat assembly helper
94219.01,95109.00,boat assembly labourer
00011.00,00010,
00011.00,40010,
00011.00,40011,
00011.00,40012,
00011.00,40019,
00012.00,10020,
00012.00,10021,
00012.00,10022,
00012.00,10029,
00012.00,10030,
00012.00,20010,
00012.00,20011,
00012.00,20012,
00013.00,30010,
00013.00,40010,
00013.00,40012,
00013.00,40019,
00013.00,40020,
00013.00,40021,
00013.00,40030,
00014.00,50010,
00014.00,50011,
00014.00,50012,
00014.00,60020,
00014.00,60030,
00014.00,60031,
00014.00,60040,
00015.00,70010,
00015.00,70011,
00015.00,70012,
00015.00,80010,
00015.00,90010,
00015.00,90011,
10011.00,11200,
10011.00,12101,
10012.00,12102,
10012.00,62101,
10019.00,10010,
10019.00,10011,
10019.00,10012,
10019.00,14103,
10019.00,20012,
10019.00,70012,
10020.01,00012,
10020.01,10010,
10020.01,10021,
10020.01,10022,
10020.01,10029,
10020.02,00012,
10020.02,10010,
10020.02,10021,
10020.02,10022,
10020.02,10029,
10020.03,00012,
10020.03,10010,
10020.03,10021,
10020.03,10022,
10020.03,10029,
10020.04,00012,
10020.04,10010,
10020.04,10021,
10020.04,10022,
10020.04,10029,
10021.01,00012,
10021.01,10029,
10021.02,00012,
10021.02,10029,
10022.01,00014,
10022.01,11202,
10022.01,12103,
10022.01,41402,
10022.01,60010,
10022.01,60020,
10022.01,62010,
10022.01,62100,
10022.01,64101,
10022.02,00014,
10022.02,11202,
10022.02,12103,
10022.02,41402,
10022.02,60010,
10022.02,60020,
10022.02,62010,
10022.02,62100,
10022.02,64101,
10022.03,00014,
10022.03,11202,
10022.03,12103,
10022.03,41402,
10022.03,60010,
10022.03,60020,
10022.03,62010,
10022.03,62100,
10022.03,64101,
10022.04,00014,
10022.04,11202,
10022.04,12103,
10022.04,41402,
10022.04,60010,
10022.04,60020,
10022.04,62010,
10022.04,62100,
10022.04,64101,
10029.00,00012,
10029.00,10020,
10029.00,10021,
10029.00,10022,
10029.00,20010,
10029.00,20011,
10029.00,20012,
10030.00,00012,
11100.01,10010,
11100.01,12200,
11100.01,41400,
11100.01,41401,
11100.01,41402,
11100.01,41403,
11100.01,41404,
11100.01,41405,
11100.01,41406,
11100.01,41407,
11100.01,41409,
11100.02,10010,
11100.02,12200,
11100.02,41400,
11100.02,41401,
11100.02,41402,
11100.02,41403,
11100.02,41404,
11100.02,41405,
11100.02,41406,
11100.02,41407,
11100.02,41409,
11101.01,11103,
11101.02,11103,
11102.00,10020,
11102.00,10021,
11102.00,10022,
11102.00,10029,
11102.00,11101,
11102.00,11103,
11102.00,11109,
11103.01,10020,
11103.01,11101,
11103.01,11109,
11103.02,10020,
11103.02,11101,
11103.02,11109,
11109.01,10020,
11109.01,10021,
11109.01,10022,
11109.01,10029,
11109.01,11101,
11109.01,11103,
11109.02,10020,
11109.02,10021,
11109.02,10022,
11109.02,10029,
11109.02,11101,
11109.02,11103,
11109.03,10020,
11109.03,10021,
11109.03,10022,
11109.03,10029,
11109.03,11101,
11109.03,11103,
11109.04,10020,
11109.04,10021,
11109.04,10022,
11109.04,10029,
11109.04,11101,
11109.04,11103,
11109.05,10020,
11109.05,10021,
11109.05,10022,
11109.05,10029,
11109.05,11101,
11109.05,11103,
11200.00,10011,
11200.00,11201,
11200.00,12101,
11200.00,14102,
11201.00,11100,
11201.00,11101,
11201.00,11109,
11201.00,12111,
11201.00,12112,
11201.00,21321,
11201.00,22231,
11201.00,41401,
11201.00,41402,
11202.00,12103,
11202.00,41402,
11202.00,51111,
12010.00,12011,
12010.00,12012,
12010.00,12013,
12010.00,72025,
12011.00,10010,
12011.00,11102,
12011.00,11109,
12011.00,62023,
12012.00,51100,
12012.00,52100,
12013.00,13201,
12013.00,72025,
12100.00,12103,
12100.00,13100,
12101.00,10011,
12101.00,11200,
12101.00,14102,
12102.00,10012,
12102.00,14403,
12102.00,62101,
12103.00,10022,
12103.00,11202,
12103.00,12100,
12103.00,13100,
12103.00,64101,
12104.01,11100,
12104.01,11109,
12104.01,40011,
12104.02,11100,
12104.02,40010,
12104.02,41403,
12110.01,13111,
12110.02,13112,
12111.00,12112,
12112.00,12111,
12112.00,52100,
12113.00,14110,
12113.00,14111,
12113.00,21210,
12200.00,11100,
12200.00,13102,
12200.00,14200,
12200.00,14201,
12202.00,10020,
12202.00,63100,
12203.01,11100,
12203.01,11101,
12203.01,12201,
12203.01,13101,
12203.02,11100,
12203.02,11101,
12203.02,12201,
12203.03,11100,
12203.03,11101,
12203.03,12201,
12203.03,13101,
13100.00,10019,
13100.00,12100,
13100.00,12103,
13100.00,13101,
13101.00,63101,
13101.00,70012,
13102.00,12101,
13102.00,14102,
13110.00,12100,
13110.00,12110,
13110.00,13111,
13110.00,13112,
13111.00,42200,
13112.00,12111,
13200.01,10020,
13200.01,11103,
13200.02,10020,
13200.02,11103,
13201.01,14402,
13201.02,12013,
13201.02,14400,
13201.02,14401,
13201.02,14403,
14100.01,12010,
14100.01,13100,
14100.01,13110,
14100.01,14101,
14100.01,14103,
14100.01,14111,
14100.01,14200,
14100.02,12010,
14100.02,12112,
14100.02,14103,
14100.02,14111,
14100.02,14200,
14101.01,64314,
14101.01,64409,
14101.02,64409,
14101.03,14404,
14101.03,64409,
14101.04,14404,
14101.04,64409,
14102.00,11200,
14102.00,12010,
14102.00,12101,
14102.00,13102,
14103.00,12110,
14103.00,43200,
14110.01,12113,
14110.01,14301,
14110.02,12113,
14110.02,64409,
14111.00,12010,
14111.00,14100,
14112.01,52120,
14112.01,94151,
14112.02,14301,
14112.02,52111,
14112.02,52120,
14200.00,11100,
14200.00,12011,
14200.00,12200,
14200.00,13102,
14200.00,14201,
14200.00,14202,
14201.01,12011,
14201.01,12200,
14201.01,64400,
14201.02,12011,
14201.02,12200,
14201.02,64400,
14201.03,12011,
14201.03,12200,
14201.03,64400,
14300.00,12012,
14300.00,51100,
14301.01,11202,
14301.01,12012,
14301.02,11202,
14301.02,12012,
14301.03,11202,
14301.03,12012,
14301.04,11202,
14301.04,12012,
14301.05,11202,
14301.05,12012,
14400.00,12013,
14400.00,14401,
14400.00,14403,
14400.00,75101,
14401.00,14400,
14401.00,14403,
14402.00,12013,
14402.00,13201,
14402.00,14400,
14402.00,14401,
14402.00,14403,
14403.01,12102,
14403.01,14401,
14403.01,62101,
14403.02,12102,
14403.02,14401,
14403.02,62101,
14404.00,72601,
14404.00,72604,
20010.00,20011,
20010.00,20012,
20010.00,21230,
20010.00,21231,
20010.00,21232,
20010.00,21233,
20010.00,21234,
20010.00,21300,
20010.00,21301,
20010.00,21310,
20010.00,21320,
20010.00,21321,
20010.00,21322,
20010.00,21330,
20010.00,21331,
20010.00,21332,
20010.00,21390,
20010.00,21399,
20010.00,70010,
20010.00,70020,
20010.00,90010,
20010.00,90011,
20011.01,21120,
20011.01,21200,
20011.01,21201,
20011.01,21202,
20011.01,21203,
20011.01,80010,
20011.02,20010,
20011.02,20012,
20011.02,21101,
20011.02,21102,
20011.02,21103,
20011.02,21109,
20011.02,21110,
20011.02,21111,
20011.02,21112,
20011.02,21120,
20011.02,21210,
20011.02,21211,
20011.02,80010,
20012.00,00012,
20012.00,21230,
20012.00,21231,
20012.00,21311,
20012.00,22220,
21100.01,20011,
21100.01,21311,
21100.02,20011,
21100.02,21311,
21101.00,20011,
21101.00,21102,
21101.00,21109,
21101.00,21110,
21101.00,21320,
21102.01,20011,
21102.01,21100,
21102.01,21101,
21102.01,21110,
21102.01,21331,
21102.01,80010,
21102.02,21101,
21102.02,21110,
21102.02,80010,
21109.01,21101,
21109.01,21322,
21109.02,20011,
21109.03,21101,
21109.04,72600,
21110.01,20011,
21110.01,31100,
21110.02,31100,
21112.00,22114,
21120.00,22231,
21120.00,22232,
21120.00,22233,
21120.00,43202,
21200.00,20011,
21200.00,21201,
21201.00,21200,
21201.00,21202,
21201.00,22114,
21202.00,20010,
21202.00,20011,
21202.00,21200,
21202.00,21203,
21203.00,20010,
21203.00,21102,
21203.00,21202,
21203.00,21300,
21203.00,22213,
21203.00,22214,
21203.00,22300,
21210.01,10020,
21210.01,11109,
21210.01,20011,
21210.02,12113,
21210.02,20011,
21210.03,10010,
21210.03,10020,
21210.03,11100,
21210.03,11101,
21210.03,11102,
21210.03,11109,
21211.00,20012,
21211.00,21210,
21211.00,21222,
21211.00,21223,
21211.00,21231,
21211.00,21311,
21220.00,20012,
21220.00,21221,
21220.00,21222,
21220.00,21223,
21220.00,21230,
21220.00,21231,
21220.00,21232,
21220.00,21233,
21220.00,21234,
21220.00,21311,
21221.00,11201,
21221.00,20012,
21221.00,21220,
21221.00,21222,
21221.00,21223,
21222.00,11100,
21222.00,11201,
21222.00,20012,
21222.00,21211,
21222.00,21223,
21222.00,21230,
21222.00,21231,
21222.00,21232,
21222.00,21233,
21222.00,21234,
21222.00,21311,
21223.01,21222,
21223.01,21230,
21223.01,21232,
21223.01,21311,
21223.02,20012,
21230.00,21222,
21230.00,21223,
21230.00,21231,
21230.00,21233,
21230.00,21234,
21230.00,22220,
21230.00,22222,
21231.00,20012,
21231.00,21222,
21231.00,21223,
21231.00,21230,
21231.00,21232,
21231.00,21233,
21231.00,21234,
21231.00,21310,
21231.00,22222,
21232.00,21222,
21232.00,21223,
21232.00,21230,
21232.00,21233,
21232.00,21234,
21232.00,22220,
21232.00,22222,
21232.00,52120,
21233.00,21222,
21233.00,21234,
21233.00,22220,
21233.00,22222,
21233.00,52120,
21234.00,10022,
21234.00,21222,
21234.00,21232,
21234.00,21233,
21234.00,22220,
21234.00,22222,
21300.00,20010,
21300.00,21320,
21300.00,21331,
21300.00,70010,
21300.00,70020,
21301.00,20010,
21301.00,21321,
21301.00,21322,
21301.00,92100,
21310.00,20010,
21310.00,20012,
21310.00,21231,
21310.00,21311,
21310.00,22310,
21311.01,20010,
21311.01,20012,
21311.01,21220,
21311.01,21221,
21311.01,21222,
21311.01,21230,
21311.01,21231,
21311.01,21234,
21311.01,22310,
21311.02,20010,
21311.02,20012,
21311.02,21220,
21311.02,21230,
21311.02,21231,
21311.02,21233,
21311.02,21234,
21320.00,20010,
21320.00,21101,
21320.00,21300,
21320.00,21310,
21320.00,21322,
21320.00,21332,
21320.00,21399,
21321.00,20010,
21321.00,21301,
21321.00,21311,
21321.00,21322,
21322.00,20010,
21322.00,21101,
21322.00,21109,
21322.00,21320,
21322.00,21330,
21330.00,20010,
21330.00,21102,
21330.00,21322,
