OaSIS Code,OaSIS Label,Holland Codes - 1,Holland Codes - 2,Holland Codes - 3
00010.00,Legislators,E,S,C
00011.00,Senior government managers and officials,E,C,I
00012.00,"Senior managers - financial, communications and other business services",E,C,i
00013.00,"Senior managers - health, education, social and community services and membership organizations",E,C,S
00014.00,"Senior managers - trade, broadcasting and other services",E,C,I
00015.00,"Senior managers - construction, transportation, production and utilities",E,C,i
10010.00,Financial managers,E,C,I
10011.00,Human resources managers,E,S,C
10012.00,Purchasing managers,E,C,I
10019.00,Other administrative services managers,E,C,s
10020.01,Insurance managers,E,C,I
10020.02,Real estate service managers,E,C,i
10020.03,Mortgage broker managers,E,C,I
10020.04,Securities manager,E,C,I
10021.01,Banking and other investment managers,E,C,S
10021.02,Credit managers,E,C,S
10022.01,Advertising managers,E,A,C
10022.02,Marketing managers,E,C,a
10022.03,Public relation managers,E,S,A
10022.04,E-business managers,E,S,A
10029.00,Other business services managers,E,C,S
10030.00,Telecommunication carriers managers,E,C,S
11100.01,Financial auditors,C,E,I
11100.02,Accountants,C,E,I
11101.01,Financial analysts,I,E,C
11101.02,Investment analysts,I,E,C
11102.00,Financial advisors,E,C,S
11103.01,Securities agents and investment dealers,E,C,S
11103.02,Brokers,E,I,C
11109.01,Financial examiners and inspectors,E,C,I
11109.02,Financial investigators,E,I,C
11109.03,Financial Underwriters,E,I,C
11109.04,Trust officers,C,E,I
11109.05,Mortgage brokers,E,C,S
11200.00,Human resources professionals,E,S,C
11201.00,Professional occupations in business management consulting,I,E,C
11202.00,"Professional occupations in marketing, advertising and public relations",E,C,A
12010.00,"Supervisors, general office and administrative support workers",E,C,s
12011.00,"Supervisors, finance and insurance office workers",E,C,s
12012.00,"Supervisors, library, correspondence and related information workers",E,C,s
12013.00,"Supervisors, supply chain, tracking and scheduling coordination occupations",E,C,s
12100.00,Executive assistants,C,E,I
12101.00,Human resources and recruitment officers,E,C,s
12102.00,Procurement and purchasing agents and officers,C,E,I
12103.00,Conference and event planners,E,C,s
12104.01,Excise tax revenue officers,C,I,e
12104.02,Government benefits services officers,S,C,E
12110.01,Court reporters,C,E,
12110.02,Medical transcriptionists,C,r,
12111.00,Health information management occupations,C,i,
12112.00,Records management technicians,C,,
12113.00,Statistical officers and related research support occupations,C,I,
12200.00,Accounting technicians and bookkeepers,C,i,
12201.01,Insurance adjusters,E,C,I
12201.02,Insurance claims examiners,C,E,I
12202.00,Insurance underwriters,C,E,I
12203.01,Assessors,E,C,R
12203.02,Business valuators,I,C,
12203.03,Appraisers,E,C,R
13100.00,Administrative officers,E,C,
13101.00,Property administrators,E,C,
13102.00,Payroll administrators,C,E,
13110.00,Administrative assistants,C,e,
13111.00,Legal administrative assistants,C,e,i
13112.00,Medical administrative assistants,C,S,E
13200.01,Custom brokers,E,C,
13200.02,Ship brokers,E,C,
13201.01,Production logistics coordinators,E,C,
13201.02,Transportation logistics coordinators,E,C,
14100.01,General office support workers,C,E,r
14100.02,File clerks,C,r,E
14101.01,Receptionists,C,S,E
14101.02,Hospital admitting clerks,C,S,E
14101.03,Switchboard and answering service operators,C,E,s
14101.04,Telephone operators,C,S,R
14102.00,Personnel clerks,C,e,s
14103.00,Court clerks and related court services occupations,C,E,S
14110.01,Survey interviewers,C,E,s
14110.02,Statistical clerks,C,I,
14111.00,Data entry clerks,C,R,
14112.01,Desktop publishing operators,A,I,C
14112.02,Typesetting input and output operators,R,C,a
14200.00,Accounting and related clerks,C,E,i
14201.01,Bank clerks,C,E,
14201.02,Insurance clerks,C,e,s
14201.03,Other financial clerks,C,e,
14202.00,Collection clerks,C,E,i
14300.00,Library assistants and clerks,C,R,S
14301.01,Classified advertising clerks,C,E,S
14301.02,Correspondence clerks,C,e,
14301.03,Proofreaders and editorial assistants,C,A,
14301.04,Readers and press clippers,C,i,
14301.05,Regulatory clerks,C,e,s
14400.00,Shippers and receivers,C,R,E
14401.00,Storekeepers and partspersons,C,R,E
14402.00,Production logistics workers,C,E,
14403.01,Purchasing control workers,C,E,
14403.02,Inventory control workers,C,R,E
14404.01,Dispatchers,C,S,E
14405.00,Transportation route and crew schedulers,C,E,R
20010.00,Engineering managers,E,R,I
20011.01,Architecture and urban planning managers,E,R,I
20011.02,Science Managers,E,I,
20012.00,Computer and information systems managers,E,C,i
21100.01,Physicists,I,R,
21100.02,Astronomers,I,R,a
21101.00,Chemists,I,R,c
21102.01,Geoscientists,I,R,
21102.02,Oceanographers,I,R,
21103.00,Meteorologists and climatologists,I,R,
21109.01,Metallurgists,I,R,
21109.02,Materials scientists,I,R,
21109.03,Soil scientists,I,R,
21109.04,Astronauts,I,R,e
21110.01,Biologists,I,R,
21110.02,Microbiologists and cell and molecular biologists,I,R,
21111.00,Forestry professionals,E,I,R
21112.00,"Agricultural representatives, consultants and specialists",S,R,I
21120.00,Public and environmental health and safety professionals,I,C,E
21200.00,Architects,A,I,E
21201.00,Landscape architects,A,I,R
21202.00,Urban and land use planners,I,E,A
21203.00,Land surveyors,R,C,I
21210.01,Mathematicians,I,C,a
21210.02,Statisticians,I,C,e
21210.03,Actuaries,I,C,E
21211.00,Data scientists,I,C,e
21220.00,Cybersecurity specialists,C,I,R
21221.00,Business system specialists,I,C,E
21222.00,Information systems specialists,I,C,E
21223.01,Database analysts,I,C,e
21223.02,Data administrators,C,I,E
21230.00,Computer systems developers and programmers,I,C,E
21231.00,Software engineers and designers,I,R,C
21232.00,Software developers and programmers,I,C,r
21233.00,Web designers,I,A,c
21234.00,Web developers and programmers,I,C,r
21300.00,Civil engineers,R,I,C
21301.00,Mechanical engineers,I,R,C
21310.00,Electrical and electronics engineers,I,R,E
21311.01,Computer and telecommunications hardware engineers,I,R,C
21311.02,Network system and data communication engineers,I,C,e
21320.00,Chemical engineers,I,R,E
21321.00,Industrial and manufacturing engineers,I,R,E
21322.00,Metallurgical and materials engineers,I,R,E
21330.00,Mining engineers,I,R,E
21331.00,Geological engineers,I,R,E
21332.00,Petroleum engineers,I,R,E
21390.00,Aerospace engineers,I,R,E
21399.01,Agricultural and bio-resource engineers,I,R,E
21399.02,Biomedical engineers,I,R,E
21399.03,Engineering physicists and engineering scientists,I,R,E
21399.04,Marine and naval engineers,I,R,E
21399.05,Textile engineers,R,I,E
22100.01,Chemical technologists,I,R,C
22100.02,Chemical technicians,R,I,C
22101.01,Geological and mineral technologists,I,R,C
22101.02,Geological and mineral technicians,R,I,C
22110.01,Biological technologists,I,R,C
22110.02,Biological technicians,R,I,C
22111.01,Fish and fish products inspectors,R,C,I
22111.02,Fruit and vegetables inspectors,R,C,I
22111.03,Grain inspectors,R,C,I
22111.04,Meat inspectors,R,C,I
22111.05,Plant protection inspectors,R,C,I
22112.00,Forestry technologists and technicians,R,I,E
22113.00,Conservation and fishery officers,R,I,E
22114.01,Arborists and tree service technicians,R,I,e
22114.02,Golf course superintendents,E,R,c
22114.03,Horticulturists,E,R,C
22114.04,Landscape designers and landscape architectural technicians and technologists,R,C,A
22114.05,Landscape gardeners,R,C,
22114.06,Landscapers,R,C,E
22114.07,Lawn care specialists,R,C,E
22210.00,Architectural technologists and technicians,R,C,A
22211.00,Industrial designers,A,E,R
22212.01,Drafting technologists,R,C,A
22212.02,Drafting technicians,R,C,a
22213.01,Land survey technologists,R,C,I
22213.02,Land survey technicians,R,C,i
22214.01,Cartographic technologists and technicians,R,I,C
22214.02,Photogrammetric technologists and technicians,C,R,I
22214.03,Aerial survey and remote sensing technologists and technicians,R,I,C
22214.04,Geographic information system (GIS) technologists and technicians,I,R,C
22214.05,Meteorological technologists and technicians,C,I,R
22220.01,Computer and network operators,R,I,C
22220.02,Web technicians,R,I,C
22221.00,User support technicians,R,I,S
22222.00,Information systems testing technicians,I,C,R
22230.00,Non-destructive testers and inspectors,R,I,C
22231.01,Motor Vehicle defects investigators,R,C,I
22231.02,Railway accident investigation officers,I,R,C
22231.03,Airworthiness inspectors,R,C,I
22231.04,"Inspectors, weights and measures",C,R,I
22231.05,Oil and gas drilling rig inspectors,C,R,I
22232.00,Occupational health and safety specialists,C,R,I
22233.00,Construction inspectors,R,C,I
22300.01,Civil engineering technologists,R,C,I
22300.02,Civil engineering technicians,R,C,I
22301.01,Mechanical engineering technologists,R,I,C
22301.02,Mechanical engineering technicians,R,C,I
22302.01,Industrial engineering and manufacturing technologists,I,R,C
22302.02,Industrial engineering and manufacturing technicians,R,I,C
22303.00,Construction estimators,C,E,I
22310.01,Electrical and electronics engineering technologists,I,R,C
22310.02,Electrical and electronics engineering technicians,R,I,C
22311.00,Electronic service technicians (household and business equipment),R,C,I
22312.00,Industrial instrument technicians and mechanics,I,R,C
22313.01,Aircraft instrument mechanics and technicians,R,I,C
22313.02,Aircraft electrical mechanics and technicians,R,I,C
22313.03,Avionics mechanics and technicians,R,C,I
22313.04,Avionics inspectors,R,C,I
30010.00,Managers in health care,E,C,S
31100.01,Anesthesiologists,I,R,S
31100.02,"Internists, general",I,S,R
31100.03,"Pediatricians, general",I,S,R
31100.04,Psychiatrists,I,S,c
31100.05,Allergists and immunologists,I,S,R
31100.06,Hospitalists,S,I,E
31100.07,Neurologists,I,S,R
