Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
10029.00,Centres de contact,Directeurs/directrices d'autres services aux entreprises
10029.00,Entreprises de conseil en gestion,Directeurs/directrices d'autres services aux entreprises
10029.00,Étude de marché,Directeurs/directrices d'autres services aux entreprises
10029.00,Service de paye,Directeurs/directrices d'autres services aux entreprises
10029.00,Entreprise en sécurité,Directeurs/directrices d'autres services aux entreprises
10030.00,"Compagnies de télécommunication par câble, sans fil, par satellite et autres compagnies de télécommunications",Directeurs/directrices d'entreprises de télécommunications
11100.01,Firmes et départements de comptabilité et de vérification du secteur privé,Vérificateurs/vérificatrices
11100.01,Départements et unités de comptabilité et de vérification du secteur public,Vérificateurs/vérificatrices
11100.01,Travailleurs autonomes,Vérificateurs/vérificatrices
11100.02,Firmes et départements de comptabilité et de vérification du secteur privé,Comptables
11100.02,Départements et unités de comptabilité et de vérification du secteur public,Comptables
11100.02,Travailleurs autonomes,Comptables
11101.01,Banques,Analystes financiers/analystes financières
11101.01,Maisons de courtage,Analystes financiers/analystes financières
11101.01,Établissements des secteurs privé et public,Analystes financiers/analystes financières
11101.01,Compagnies d'assurance,Analystes financiers/analystes financières
11101.01,Sociétés d'investissements,Analystes financiers/analystes financières
11101.01,Entreprises manufacturières,Analystes financiers/analystes financières
11101.01,Sociétés de fonds communs de placement,Analystes financiers/analystes financières
11101.01,Firmes de souscripteurs,Analystes financiers/analystes financières
11101.01,Services d'utilité publique,Analystes financiers/analystes financières
11101.02,Maisons de courtage,Analystes en placements
11101.02,Sociétés d'investissements,Analystes en placements
11102.00,Banques,Conseillers financiers/conseillères financières
11102.00,Gouvernements,Conseillers financiers/conseillères financières
11102.00,Sociétés de placements,Conseillers financiers/conseillères financières
11102.00,Travailleurs autonomes,Conseillers financiers/conseillères financières
11102.00,Sociétés de fonds communs de placement,Conseillers financiers/conseillères financières
11103.01,Sociétés de titres financiers,Agents/agentes en valeurs et agents/agentes en placements
11103.01,Sociétés d'investissements,Agents/agentes en valeurs et agents/agentes en placements
11103.01,Compagnies de placements,Agents/agentes en valeurs et agents/agentes en placements
11103.01,Firmes de courtage,Agents/agentes en valeurs et agents/agentes en placements
11103.02,Sociétés de titres financiers,Négociateurs/négociatrices en valeurs
11103.02,Sociétés d'investissements,Négociateurs/négociatrices en valeurs
11103.02,Compagnies de placements,Négociateurs/négociatrices en valeurs
11103.02,Firmes de courtage,Négociateurs/négociatrices en valeurs
11109.01,Banques,Inspecteurs/inspectrices et vérificateurs financiers/vérificatrices financières
11109.01,Gouvernements,Inspecteurs/inspectrices et vérificateurs financiers/vérificatrices financières
11109.01,Sociétés de placements,Inspecteurs/inspectrices et vérificateurs financiers/vérificatrices financières
11109.01,Travailleurs autonomes,Inspecteurs/inspectrices et vérificateurs financiers/vérificatrices financières
11109.01,Sociétés de fonds communs de placement,Inspecteurs/inspectrices et vérificateurs financiers/vérificatrices financières
11109.02,Banques,Investigateurs financiers/investigatrices financières
11109.02,Gouvernements,Investigateurs financiers/investigatrices financières
11109.02,Sociétés de placements,Investigateurs financiers/investigatrices financières
11109.02,Travailleurs autonomes,Investigateurs financiers/investigatrices financières
11109.02,Sociétés de fonds communs de placement,Investigateurs financiers/investigatrices financières
11109.03,Banques,Preneurs/preneuses ferme
11109.03,Gouvernements,Preneurs/preneuses ferme
11109.03,Sociétés de placements,Preneurs/preneuses ferme
11109.03,Travailleurs autonomes,Preneurs/preneuses ferme
11109.03,Sociétés de fonds communs de placement,Preneurs/preneuses ferme
11109.04,Banques,Agents/agentes de fiducie
11109.04,Gouvernements,Agents/agentes de fiducie
11109.04,Sociétés de placements,Agents/agentes de fiducie
11109.04,Travail autonome,Agents/agentes de fiducie
11109.04,Sociétés de fonds communs de placement,Agents/agentes de fiducie
11109.05,Banques,Courtiers/courtières en hypothèques
11109.05,Gouvernements,Courtiers/courtières en hypothèques
11109.05,Sociétés de placements,Courtiers/courtières en hypothèques
11109.05,Travailleurs autonomes,Courtiers/courtières en hypothèques
11109.05,Sociétés de fonds communs de placement,Courtiers/courtières en hypothèques
11200.00,Établissements des secteurs privé et public,Professionnels/professionnelles en ressources humaines
11200.00,Travailleurs autonomes,Professionnels/professionnelles en ressources humaines
11201.00,Établissements des secteurs privé et public,Professionnels/professionnelles des services-conseils en gestion aux entreprises
11201.00,Entreprises de conseil en gestion,Professionnels/professionnelles des services-conseils en gestion aux entreprises
11201.00,Travailleurs autonomes,Professionnels/professionnelles des services-conseils en gestion aux entreprises
11202.00,Agences de publicité,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Association professionnelle,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Firmes d'experts-conseils,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Sociétés,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Organismes culturels,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Galeries d'art,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Gouvernements,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Musées,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Groupes d'intérêt public,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Travailleurs autonomes,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
11202.00,Organismes sociaux,"Professionnels/professionnelles en publicité, en marketing et en relations publiques"
12010.00,Établissements des secteurs privé et public,Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif
12011.00,Banques,Superviseurs/superviseures de commis de finance et d'assurance
12011.00,Établissements des secteurs privé et public,Superviseurs/superviseures de commis de finance et d'assurance
12011.00,Compagnies d'assurance,Superviseurs/superviseures de commis de finance et d'assurance
12011.00,Institutions financières,Superviseurs/superviseures de commis de finance et d'assurance
12012.00,Établissements des secteurs privé et public,"Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information"
12013.00,Établissements des secteurs privé et public,"Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires"
12100.00,Association professionnelle,Adjoints/adjointes de direction
12100.00,Sociétés,Adjoints/adjointes de direction
12100.00,Gouvernements,Adjoints/adjointes de direction
12101.00,Établissements des secteurs privé et public,Agents/agentes des ressources humaines et de recrutement
12102.00,Établissements des secteurs privé et public,Agents/agentes en approvisionnement aux achats
12103.00,Compagnies spécialisées dans la planification de congrès et d'événements spéciaux,Planificateurs/planificatrices de congrès et d'événements
12103.00,Centres de conférences,Planificateurs/planificatrices de congrès et d'événements
12103.00,Centres de congrès,Planificateurs/planificatrices de congrès et d'événements
12103.00,Gouvernements,Planificateurs/planificatrices de congrès et d'événements
12103.00,Associations professionnelles,Planificateurs/planificatrices de congrès et d'événements
12103.00,Travailleurs autonomes,Planificateurs/planificatrices de congrès et d'événements
12103.00,Entreprises de tourisme,Planificateurs/planificatrices de congrès et d'événements
12103.00,Associations commerciales,Planificateurs/planificatrices de congrès et d'événements
12104.01,Agences gouvernementales,Agents/agentes de taxes d'accise
12104.02,Agences gouvernementales,Agents/agentes de services de prestations gouvernementales
12110.01,Tribunaux judiciaires,Sténographes judiciaires
12110.01,Assemblées législatives fédérales et des comités,Sténographes judiciaires
12110.01,Assemblées législatives provinciales et des comités,Sténographes judiciaires
12110.01,Travailleurs autonomes,Sténographes judiciaires
12110.02,Cabinets de médecins,Transcripteurs médicaux/transcriptrices médicales
12110.02,Centres hospitaliers,Transcripteurs médicaux/transcriptrices médicales
12110.02,Cliniques médicales,Transcripteurs médicaux/transcriptrices médicales
12110.02,Travailleurs autonomes,Transcripteurs médicaux/transcriptrices médicales
12111.00,Cliniques,Personnel en gestion de l’information sur la santé
12111.00,Firmes conseils en gestion de dossiers médicaux,Personnel en gestion de l’information sur la santé
12111.00,Centres hospitaliers,Personnel en gestion de l’information sur la santé
12111.00,Autres établissements de soins de santé,Personnel en gestion de l’information sur la santé
12111.00,Commissions de santé et sécurité au travail,Personnel en gestion de l’information sur la santé
12112.00,Établissements des secteurs privé et public,Techniciens/techniciennes à la gestion des documents
12113.00,Établissements des secteurs privé et public,Agents/agentes de statistiques et professions connexes du soutien de la recherche
12200.00,Établissements des secteurs privé et public,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres
12200.00,Travailleurs autonomes,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres
12201.01,Services des réclamations des compagnies d'assurance,Experts/expertes en sinistres
12201.02,Succursales des compagnies d'assurance,Rédacteurs/rédactrices sinistres
12201.02,Sièges sociaux de compagnies d'assurance,Rédacteurs/rédactrices sinistres
12202.00,Succursales des compagnies d'assurance,Assureurs/assureures
12202.00,Sièges sociaux de compagnies d'assurance,Assureurs/assureures
12203.01,Agences gouvernementales,Estimateurs/estimatrices
12203.01,Compagnies du secteur privé,Estimateurs/estimatrices
12203.01,Entreprises de développement immobilier,Estimateurs/estimatrices
12203.01,Travailleurs autonomes,Estimateurs/estimatrices
12203.02,Agences gouvernementales,Experts/expertes en évaluation d'entreprise
12203.02,Compagnies du secteur privé,Experts/expertes en évaluation d'entreprise
12203.02,Entreprises de développement immobilier,Experts/expertes en évaluation d'entreprise
12203.02,Travailleurs autonomes,Experts/expertes en évaluation d'entreprise
12203.03,Agences gouvernementales,Évaluateurs/évaluatrices
12203.03,Compagnies du secteur privé,Évaluateurs/évaluatrices
12203.03,Entreprises de développement immobilier,Évaluateurs/évaluatrices
12203.03,Travailleurs autonomes,Évaluateurs/évaluatrices
13100.00,Établissements des secteurs privé et public,Agents/agentes d'administration
13101.00,Gouvernements,Agents/agentes de gestion immobilière
13101.00,Sociétés de promotion immobilière,Agents/agentes de gestion immobilière
13101.00,Compagnies de gestion immobilière,Agents/agentes de gestion immobilière
13101.00,Agences immobilières,Agents/agentes de gestion immobilière
13101.00,Services de gestion strata,Agents/agentes de gestion immobilière
