Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
31301.04,Agences de services communautaires,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Compagnies,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Cabinets de médecins,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Établissements de soins de longue durée,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Centres hospitaliers,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Centres de soins de longue durée,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Maisons privées,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Organismes publics et privés,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Centres de réadaptation,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.04,Travailleurs autonomes,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31301.05,Cliniques,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Agences de services communautaires,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Compagnies,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Cabinets de médecins,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Établissements de soins de longue durée,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Centres hospitaliers,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Centres de soins de longue durée,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Maisons privées,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Organismes publics et privés,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Centres de réadaptation,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.05,Travailleurs autonomes,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières
31301.06,Cliniques,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Agences de services communautaires,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Compagnies,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Cabinets de médecins,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Établissements de soins de longue durée,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Centres hospitaliers,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Centres de soins de longue durée,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Maisons privées,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Organismes publics et privés,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Centres de réadaptation,Infirmiers cliniciens/infirmières cliniciennes
31301.06,Travailleurs autonomes,Infirmiers cliniciens/infirmières cliniciennes
31302.00,Cliniques,Infirmiers praticiens/infirmières praticiennes
31302.00,Centres de santé communautaire,Infirmiers praticiens/infirmières praticiennes
31302.00,Centres hospitaliers,Infirmiers praticiens/infirmières praticiennes
31302.00,Centres de réadaptation,Infirmiers praticiens/infirmières praticiennes
31303.01,Cliniques,Adjoints/adjointes au médecin
31303.01,Centres hospitaliers,Adjoints/adjointes au médecin
31303.01,"Cabinets privés, y compris les pratiques d'équipe ou de groupe",Adjoints/adjointes au médecin
31303.02,Centres d'accouchement,Sages-femmes
31303.02,Cliniques,Sages-femmes
31303.02,Centres hospitaliers,Sages-femmes
31303.02,Cabinets privés,Sages-femmes
31303.03,Cliniques,Conseillers/conseillères en génétique
31303.03,Centres hospitaliers,Conseillers/conseillères en génétique
31303.03,Cabinets privés,Conseillers/conseillères en génétique
31303.03,Instituts de recherche,Conseillers/conseillères en génétique
31303.04,Cliniques,Orthoptistes
31303.04,Centres hospitaliers,Orthoptistes
31303.04,Cabinets privés,Orthoptistes
31303.05,Centres hospitaliers,Assistants/assistantes en pathologie
31303.05,Universités,Assistants/assistantes en pathologie
32100.00,Entreprises de vente au détail de produits optiques,Opticiens/opticiennes d'ordonnances
32100.00,Comptoirs de vente au détail de lunettes,Opticiens/opticiennes d'ordonnances
32100.00,Travailleurs autonomes,Opticiens/opticiennes d'ordonnances
32101.01,Cliniques,Infirmiers auxiliaires/infirmières auxiliaires
32101.01,Centres de santé communautaire,Infirmiers auxiliaires/infirmières auxiliaires
32101.01,Compagnies,Infirmiers auxiliaires/infirmières auxiliaires
32101.01,Cabinets de médecins,Infirmiers auxiliaires/infirmières auxiliaires
32101.01,Établissements de soins de longue durée,Infirmiers auxiliaires/infirmières auxiliaires
32101.01,Centres hospitaliers,Infirmiers auxiliaires/infirmières auxiliaires
32101.01,Centres de soins de longue durée,Infirmiers auxiliaires/infirmières auxiliaires
32101.01,Maisons privées,Infirmiers auxiliaires/infirmières auxiliaires
32101.01,Centres de réadaptation,Infirmiers auxiliaires/infirmières auxiliaires
32101.02,Centres hospitaliers,Techniciens de salle d'opération
32102.00,Sociétés de titres financiers,Personnel ambulancier et paramédical
32102.00,Organismes et services gouvernementaux,Personnel ambulancier et paramédical
32102.00,Centres hospitaliers,Personnel ambulancier et paramédical
32102.00,Entreprises manufacturières,Personnel ambulancier et paramédical
32102.00,Compagnies minières,Personnel ambulancier et paramédical
32102.00,Services ambulanciers privés,Personnel ambulancier et paramédical
32102.00,Entreprises privées,Personnel ambulancier et paramédical
32103.01,Établissements de soins de longue durée,Inhalothérapeutes
32103.01,Centres hospitaliers,Inhalothérapeutes
32103.01,Centres de santé publique,Inhalothérapeutes
32103.01,Entreprises privées d'inhalothérapie à domicile,Inhalothérapeutes
32103.02,Centres hospitaliers,Perfusionnistes cardiovasculaires
32103.03,Centres hospitaliers,Technologues cardiopulmonaires
32104.00,Hôpitaux vétérinaires,Technologues en santé animale et techniciens/techniciennes vétérinaires
32104.00,Laboratoires de recherche en santé animale,Technologues en santé animale et techniciens/techniciennes vétérinaires
32104.00,Refuges pour animaux,Technologues en santé animale et techniciens/techniciennes vétérinaires
32104.00,Gouvernements,Technologues en santé animale et techniciens/techniciennes vétérinaires
32104.00,Organismes de protection des animaux,Technologues en santé animale et techniciens/techniciennes vétérinaires
32104.00,Compagnies pharmaceutiques,Technologues en santé animale et techniciens/techniciennes vétérinaires
32104.00,Cliniques vétérinaire,Technologues en santé animale et techniciens/techniciennes vétérinaires
32104.00,Jardins zoologiques,Technologues en santé animale et techniciens/techniciennes vétérinaires
32109.01,Cliniques,Audioprothésistes
32109.01,Établissements d'enseignement,Audioprothésistes
32109.01,Établissements de soins de longue durée,Audioprothésistes
32109.01,Centres hospitaliers,Audioprothésistes
32109.01,Cabinet privé en audiologie,Audioprothésistes
32109.01,Centres de réadaptation,Audioprothésistes
32109.02,Cliniques,Aides-orthophonistes et assistants en troubles de la communication
32109.02,Institutions d'enseignement,Aides-orthophonistes et assistants en troubles de la communication
32109.02,Établissements de soins de longue durée,Aides-orthophonistes et assistants en troubles de la communication
32109.02,Centres hospitaliers,Aides-orthophonistes et assistants en troubles de la communication
32109.02,Cabinets privés en orthophonie,Aides-orthophonistes et assistants en troubles de la communication
32109.02,Centres de réadaptation,Aides-orthophonistes et assistants en troubles de la communication
32109.03,Cliniques,Technologues et techniciens/techniciennes médicaux en ophtalmologie
32109.03,Institutions d'enseignement,Technologues et techniciens/techniciennes médicaux en ophtalmologie
32109.03,Centres hospitaliers,Technologues et techniciens/techniciennes médicaux en ophtalmologie
32109.03,Cabinets privés en orthophonie,Technologues et techniciens/techniciennes médicaux en ophtalmologie
32109.04,Cliniques,Thérapeutes en réadaptation physique
32109.04,Centres de santé communautaire,Thérapeutes en réadaptation physique
32109.04,Institutions d'enseignement,Thérapeutes en réadaptation physique
32109.04,Établissements de soins de longue durée,Thérapeutes en réadaptation physique
32109.04,Centres hospitaliers,Thérapeutes en réadaptation physique
32109.04,Cabinets privés,Thérapeutes en réadaptation physique
32109.04,Centres de réadaptation,Thérapeutes en réadaptation physique
32109.05,Cliniques,Assistants/assistantes en physiothérapie et assistants/assistantes en ergothérapie
32109.05,Institutions d'enseignement,Assistants/assistantes en physiothérapie et assistants/assistantes en ergothérapie
32109.05,Établissements de soins de longue durée,Assistants/assistantes en physiothérapie et assistants/assistantes en ergothérapie
32109.05,Centres hospitaliers,Assistants/assistantes en physiothérapie et assistants/assistantes en ergothérapie
32109.05,Cabinets privés en physiothérapie,Assistants/assistantes en physiothérapie et assistants/assistantes en ergothérapie
32109.05,Centres de réadaptation,Assistants/assistantes en physiothérapie et assistants/assistantes en ergothérapie
32110.00,Cabinets privés,Denturologistes
32111.01,Cliniques,Hygiénistes dentaires
32111.01,Cabinets de dentistes,Hygiénistes dentaires
32111.01,Institutions d'enseignement,Hygiénistes dentaires
32111.01,Agences gouvernementales,Hygiénistes dentaires
32111.01,Centres hospitaliers,Hygiénistes dentaires
32111.01,Secteur privé,Hygiénistes dentaires
32111.02,Établissements fédéraux de soins dentaires,Thérapeutes dentaires
32111.02,Établissements provinciaux ou territoriaux de soins dentaires,Thérapeutes dentaires
32112.00,Laboratoires dentaires,Technologues et techniciens/techniciennes dentaires
32120.00,Banques de sang,Technologues de laboratoires médicaux
32120.00,Cliniques communautaires,Technologues de laboratoires médicaux
32120.00,Centres hospitaliers,Technologues de laboratoires médicaux
32120.00,Laboratoires médicaux de centres hospitaliers,Technologues de laboratoires médicaux
32120.00,Installations de recherche et d'établissements d'enseignement post-secondaire,Technologues de laboratoires médicaux
32120.00,Cliniques privées,Technologues de laboratoires médicaux
32120.00,Instituts de recherche,Technologues de laboratoires médicaux
32121.01,Centres d'oncologie,Technologues en radiologie
32121.01,Cliniques,Technologues en radiologie
32121.01,Collèges et Universités,Technologues en radiologie
32121.01,Centres hospitaliers,Technologues en radiologie
32121.01,Laboratoires de radiologie,Technologues en radiologie
32121.02,Centres d'oncologie,Technologues en médecine nucléaire
32121.02,Cliniques,Technologues en médecine nucléaire
32121.02,Collèges et Universités,Technologues en médecine nucléaire
32121.02,Centres hospitaliers,Technologues en médecine nucléaire
32121.02,Laboratoires de radiologie,Technologues en médecine nucléaire
32121.03,Centres d'oncologie,Technologues en radio-oncologie
32121.03,Cliniques,Technologues en radio-oncologie
32121.03,Collèges et Universités,Technologues en radio-oncologie
32121.03,Centres hospitaliers,Technologues en radio-oncologie
32121.03,Laboratoires de radiologie,Technologues en radio-oncologie
32121.04,Centres d'oncologie,Technologues en résonance magnétique
32121.04,Cliniques,Technologues en résonance magnétique
32121.04,Collèges et Universités,Technologues en résonance magnétique
32121.04,Centres hospitaliers,Technologues en résonance magnétique
32121.04,Laboratoires de radiologie,Technologues en résonance magnétique
32122.00,Cliniques,Technologues en échographie
32122.00,Centres hospitaliers,Technologues en échographie
32123.01,Cliniques,Technologues en cardiologie
32123.01,Centres hospitaliers,Technologues en cardiologie
32123.01,Laboratoires médicaux de centres hospitaliers,Technologues en cardiologie
32123.02,Cliniques,Technologues en électroencéphalographie (EEG) et Technologues en électromyographie (EMG)
32123.02,Centres hospitaliers,Technologues en électroencéphalographie (EEG) et Technologues en électromyographie (EMG)
32123.02,Laboratoires médicaux de centres hospitaliers,Technologues en électroencéphalographie (EEG) et Technologues en électromyographie (EMG)
32124.00,Pharmacies en établissements de santé,Techniciens/techniciennes en pharmacie
32124.00,Centres d'hébergement et de soins de longue durée,Techniciens/techniciennes en pharmacie
32124.00,Industrie pharmaceutique,Techniciens/techniciennes en pharmacie
32124.00,Pharmacies de détail,Techniciens/techniciennes en pharmacie
32129.01,Cafétérias,Techniciens/techniciennes en diététique
32129.01,Établissements de soins de longue durée,Techniciens/techniciennes en diététique
32129.01,Comptoirs de restauration rapide,Techniciens/techniciennes en diététique
32129.01,Centres hospitaliers,Techniciens/techniciennes en diététique
32129.01,Centres de soins de longue durée,Techniciens/techniciennes en diététique
32129.01,Écoles,Techniciens/techniciennes en diététique
32129.02,Laboratoires de prothèses oculaires,Ocularistes
32129.02,Travail autonome,Ocularistes
32129.03,Cliniques,Prothésistes et orthésistes
32129.03,Centres hospitaliers,Prothésistes et orthésistes
32129.03,Entreprises de fabrication de prothèses,Prothésistes et orthésistes
32129.03,Laboratoires de prothèses et d'orthèses,Prothésistes et orthésistes
32129.03,Travail autonome,Prothésistes et orthésistes
32129.04,Cliniques,Techniciens prothésistes/techniciennes prothésistes et techniciens orthésistes/techniciennes orthésistes
32129.04,Centres hospitaliers,Techniciens prothésistes/techniciennes prothésistes et techniciens orthésistes/techniciennes orthésistes
32129.04,Entreprises de fabrication de prothèses,Techniciens prothésistes/techniciennes prothésistes et techniciens orthésistes/techniciennes orthésistes
32129.04,Laboratoires de prothèses et d'orthèses,Techniciens prothésistes/techniciennes prothésistes et techniciens orthésistes/techniciennes orthésistes
32129.04,Travail autonome,Techniciens prothésistes/techniciennes prothésistes et techniciens orthésistes/techniciennes orthésistes
32200.01,Cliniques,Praticiens/praticiennes de médecine traditionnelle chinoise
32200.01,Cabinets privés,Praticiens/praticiennes de médecine traditionnelle chinoise
32200.02,Cliniques,Acupuncteurs/acupunctrices
32200.02,Cabinets privés,Acupuncteurs/acupunctrices
32201.00,Cliniques,Massothérapeutes
32201.00,Institutions d'enseignement,Massothérapeutes
32201.00,Établissements de soins de longue durée,Massothérapeutes
32201.00,Centres hospitaliers,Massothérapeutes
32201.00,Cabinets privés,Massothérapeutes
32201.00,Centres de réadaptation,Massothérapeutes
32209.01,Cliniques,Herboristes
32209.01,Cabinets privés,Herboristes
32209.02,Cliniques,Praticien/praticienne en médecine ostéopathique manuelle
32209.02,Centres de santé,Praticien/praticienne en médecine ostéopathique manuelle
32209.02,Cabinets privés,Praticien/praticienne en médecine ostéopathique manuelle
32209.02,Spas,Praticien/praticienne en médecine ostéopathique manuelle
32209.03,Cliniques,Homéopathes
32209.03,Cabinets privés,Homéopathes
32209.04,Cliniques,Réflexologues
32209.04,Centres de santé,Réflexologues
32209.04,Cabinets privés,Réflexologues
32209.04,Spas,Réflexologues
32209.05,Cliniques,Nutritionniste holistique
32209.05,Centres de santé,Nutritionniste holistique
32209.05,Cabinets privés,Nutritionniste holistique
32209.05,Spas,Nutritionniste holistique
32209.06,Cliniques,Naturothérapeute
32209.06,Centres de santé,Naturothérapeute
32209.06,Cabinets privés,Naturothérapeute
32209.06,Spas,Naturothérapeute
33100.01,Cliniques,Assistants/assistantes dentaires
33100.01,Centres de santé communautaire,Assistants/assistantes dentaires
33100.01,Cabinets de dentistes,Assistants/assistantes dentaires
33100.01,Établissements d'enseignement,Assistants/assistantes dentaires
33100.02,Laboratoires dentaires,Auxiliaires dans les laboratoires dentaires
33101.00,Cliniques,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés
33101.00,Laboratoires de recherche gouvernementaux,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés
33101.00,Centres hospitaliers,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés
33101.00,Laboratoires médicaux de centres hospitaliers,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés
33101.00,Installations de recherche et d'établissements d'enseignement post-secondaire,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés
33101.00,Instituts de recherche,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés
33102.00,Établissements de soins pour personnes âgées,"Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires"
33102.00,Institutions de santé et autres institutions,"Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires"
33102.00,Centres hospitaliers,"Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires"
33102.00,Centres de soins de longue durée,"Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires"
33103.00,Centres hospitaliers,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie
33103.00,Cliniques médicales,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie
33103.00,Pharmacies,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie
33109.01,Cliniques,Techniciens/techniciennes en audiométrie
33109.01,Établissements d'enseignement,Techniciens/techniciennes en audiométrie
33109.01,Établissements de soins de longue durée,Techniciens/techniciennes en audiométrie
33109.01,Centres hospitaliers,Techniciens/techniciennes en audiométrie
33109.01,Cabinet privé en audiologie,Techniciens/techniciennes en audiométrie
33109.01,Centres de réadaptation,Techniciens/techniciennes en audiométrie
33109.02,Centres hospitaliers,Technologues en orthopédie
33109.02,Cliniques médicales,Technologues en orthopédie
33109.03,Cliniques,Aides en réadaptation
33109.03,Centres hospitaliers,Aides en réadaptation
33109.03,Bureaux de professionnels de la santé,Aides en réadaptation
33109.04,Magasins de détail et laboratoires optiques,Assistants/Assistantes en ophtalmologie
33109.04,Cliniques d'optométriste,Assistants/Assistantes en ophtalmologie
33109.05,Magasins de détail et laboratoires optiques,Techniciens/techniciennes et assistants/assistantes de laboratoire d'optique et d'ophtalmologie
33109.05,Cliniques d'optométriste,Techniciens/techniciennes et assistants/assistantes de laboratoire d'optique et d'ophtalmologie
33109.06,Centres hospitaliers,Techniciens/techniciennes en processus de stérilisation
33109.06,Cliniques médicales,Techniciens/techniciennes en processus de stérilisation
33109.07,Cliniques de collecte de sang,Aides dans les cliniques de collecte de sang
33109.07,Centres hospitaliers,Aides dans les cliniques de collecte de sang
33109.07,Cliniques médicales,Aides dans les cliniques de collecte de sang
33109.08,Centres hospitaliers,Préposés à la morgue
33109.08,Laboratoires de médcine pathologique,Préposés à la morgue
33109.08,Morgues,Préposés à la morgue
40010.00,Tous les ordres de gouvernement,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé
40011.00,Tous les ordres de gouvernement,"Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes"
40012.00,Tous les ordres de gouvernement,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes
40019.00,Tous les ordres de gouvernement,Autres gestionnaires de la fonction publique
40020.01,Collèges,Administrateurs/administratrices de faculté
40020.01,Universités,Administrateurs/administratrices de faculté
40020.02,Collèges,Registraires
40020.02,Universités,Registraires
40020.03,Écoles privées de formation professionnelle,Administrateurs/administratrices d'autres types d'écoles de formation professionnelle
40021.01,Écoles privées et publiques,Directeurs/directrices d'école
40021.02,Conseils ou commissions scolaires,Administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire
40030.00,Agences de services communautaires,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40030.00,Institutions correctionnelles,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40030.00,Services de counselling,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40030.00,Organisations syndicales,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40030.00,Organismes non gouvernementaux,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40030.00,Partis politiques,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40030.00,Associations professionnelles,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40030.00,Agences de services sociaux,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40040.00,Tous les ordres de gouvernement,Officiers/officières de direction des services de police et professions connexes des services de la protection du public
40041.00,Gouvernement fédéral,Chefs et officiers supérieurs/officières supérieures des services d'incendie
40041.00,Établissements industriels ayant un service de lutte contre les incendies,Chefs et officiers supérieurs/officières supérieures des services d'incendie
40041.00,Administrations municipales,Chefs et officiers supérieurs/officières supérieures des services d'incendie
40042.00,Forces armées,Officiers/officières de direction des Forces armées canadiennes
41100.00,Gouvernement fédéral,Juges
41100.00,Gouvernements provinciaux,Juges
41101.00,Entreprises,Avocats/avocates (partout au Canada) et notaires (au Québec)
41101.00,Gouvernement fédéral,Avocats/avocates (partout au Canada) et notaires (au Québec)
41101.00,Cabinets d'avocats,Avocats/avocates (partout au Canada) et notaires (au Québec)
41101.00,Administrations municipales,Avocats/avocates (partout au Canada) et notaires (au Québec)
41101.00,Bureaux de notaire,Avocats/avocates (partout au Canada) et notaires (au Québec)
41101.00,Bureaux de procureurs,Avocats/avocates (partout au Canada) et notaires (au Québec)
41101.00,Gouvernements provinciaux,Avocats/avocates (partout au Canada) et notaires (au Québec)
41101.00,Travailleurs autonomes,Avocats/avocates (partout au Canada) et notaires (au Québec)
41200.00,Collèges et Universités,Professeurs/professeures et chargés/chargées de cours au niveau universitaire
41201.01,Cégeps,Assistants/assistantes d'enseignement au niveau postsecondaire
41201.01,Collèges,Assistants/assistantes d'enseignement au niveau postsecondaire
41201.01,Universités,Assistants/assistantes d'enseignement au niveau postsecondaire
41201.02,Cégeps,Assistants/assistantes de recherche au niveau postsecondaire
41201.02,Collèges,Assistants/assistantes de recherche au niveau postsecondaire
41201.02,Universités,Assistants/assistantes de recherche au niveau postsecondaire
41210.00,Collèges d'agriculture,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41210.00,Cégeps,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41210.00,Agences de services communautaires,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41210.00,Collèges communautaires,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41210.00,Compagnies,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41210.00,Écoles de langues,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41210.00,Établissements d'enseignement privé,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41210.00,Collèges et instituts techniques,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41210.00,Écoles de formation professionnelle,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41220.00,Écoles secondaires privées,Enseignants/enseignantes au niveau secondaire
41220.00,Écoles secondaires publiques,Enseignants/enseignantes au niveau secondaire
41221.00,Écoles primaires privées,Enseignants/enseignantes aux niveaux primaire et préscolaire
41221.00,Écoles primaires publiques,Enseignants/enseignantes aux niveaux primaire et préscolaire
41300.00,Conseil de bandes autochtones,Travailleurs sociaux/travailleuses sociales
41300.00,Sociétés d’aide à l’enfance,Travailleurs sociaux/travailleuses sociales
41300.00,Agences de services communautaires,Travailleurs sociaux/travailleuses sociales
41300.00,Établissements correctionnels,Travailleurs sociaux/travailleuses sociales
41300.00,Programmes d'aide aux employés,Travailleurs sociaux/travailleuses sociales
41300.00,Centres hospitaliers,Travailleurs sociaux/travailleuses sociales
41300.00,Cabinets privés,Travailleurs sociaux/travailleuses sociales
41300.00,Conseils ou commissions scolaires,Travailleurs sociaux/travailleuses sociales
41300.00,Agences de services sociaux,Travailleurs sociaux/travailleuses sociales
41301.00,Centres de counseling,Thérapeutes en counseling et thérapies spécialisées connexes
41301.00,Centres de thérapie familiale,Thérapeutes en counseling et thérapies spécialisées connexes
41301.00,Agences gouvernementales,Thérapeutes en counseling et thérapies spécialisées connexes
41301.00,Foyers de groupes,Thérapeutes en counseling et thérapies spécialisées connexes
41301.00,Cliniques en soins de santé et en réadaptation,Thérapeutes en counseling et thérapies spécialisées connexes
41301.00,Centres hospitaliers,Thérapeutes en counseling et thérapies spécialisées connexes
41301.00,Stations de radio,Thérapeutes en counseling et thérapies spécialisées connexes
41301.00,Agences de services sociaux,Thérapeutes en counseling et thérapies spécialisées connexes
41302.00,Églises,Chefs religieux
41302.00,"Établissements tels que les écoles, les centres hospitaliers et les établissements correctionnels",Chefs religieux
41302.00,Lieux de culte,Chefs religieux
41302.00,Synagogues,Chefs religieux
41302.00,Temples,Chefs religieux
41310.01,Gouvernement fédéral,Enquêteurs/enquêteuses de police et autres professions d’enquête
41310.01,Administrations municipales,Enquêteurs/enquêteuses de police et autres professions d’enquête
41310.01,Gouvernements provinciaux,Enquêteurs/enquêteuses de police et autres professions d’enquête
41310.02,Gouvernement fédéral,Coroners et médecins légistes
41310.02,Administrations municipales,Coroners et médecins légistes
41310.02,Gouvernements provinciaux,Coroners et médecins légistes
41311.00,Établissements correctionnels et organismes communautaires,Agents/agentes de probation et de libération conditionnelle
41311.00,Services gouvernementaux fédéraux,Agents/agentes de probation et de libération conditionnelle
41311.00,Services gouvernementaux provinciaux,Agents/agentes de probation et de libération conditionnelle
41320.00,Installations de recherche et d'établissements d'enseignement post-secondaire,Conseillers/conseillères en information scolaire
41320.00,Conseils ou commissions scolaires,Conseillers/conseillères en information scolaire
41321.00,Firmes d'experts-conseils,Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation)
41321.00,Établissements correctionnels,Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation)
41321.00,Organismes de services d'emploi,Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation)
41321.00,Gouvernements fédéral et provinciaux,Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation)
41321.00,Directions des ressources humaines des établissements,Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation)
41400.01,Entreprises de fabrication d'ordinateurs,Ergonomes
41400.01,Firmes d'experts-conseils,Ergonomes
41400.01,Établissements d'enseignement,Ergonomes
41400.01,Organisations environnementales et de conservation,Ergonomes
41400.01,Gouvernement fédéral,Ergonomes
41400.01,Administrations municipales,Ergonomes
41400.01,Entreprises de fabrication d'ordinateurs et de mobilier de bureau,Ergonomes
41400.01,Gouvernements provinciaux,Ergonomes
41400.01,Organismes de recherche,Ergonomes
41400.01,Travail autonome,Ergonomes
41400.02,Entreprises de fabrication d'ordinateurs,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Firmes d'experts-conseils,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Établissements d'enseignement,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Organisations environnementales et de conservation,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Gouvernement fédéral,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Administrations municipales,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Entreprises de fabrication d'ordinateurs et de mobilier de bureau,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Gouvernements provinciaux,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Organismes de recherche,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.02,Travail autonome,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.03,Firmes d'experts-conseils,Agents/agentes de brevets
41400.03,Gouvernement fédéral,Agents/agentes de brevets
41400.03,Administrations municipales,Agents/agentes de brevets
41400.03,Gouvernements provinciaux,Agents/agentes de brevets
41400.03,Organismes de recherche,Agents/agentes de brevets
41400.03,Travail autonome,Agents/agentes de brevets
41400.04,Entreprises de fabrication d'ordinateurs,Agents/agentes de programmes et de politiques de la science
41400.04,Firmes d'experts-conseils,Agents/agentes de programmes et de politiques de la science
41400.04,Établissements d'enseignement,Agents/agentes de programmes et de politiques de la science
41400.04,Organisations environnementales et de conservation,Agents/agentes de programmes et de politiques de la science
41400.04,Gouvernement fédéral,Agents/agentes de programmes et de politiques de la science
41400.04,Administrations municipales,Agents/agentes de programmes et de politiques de la science
41400.04,Gouvernements provinciaux,Agents/agentes de programmes et de politiques de la science
